,p_hat,method
7,0.713,Independent Node2Vec
15,0.165,Independent Node2Vec
23,0.0,Independent Node2Vec
31,0.094,Independent Node2Vec
39,0.012,Independent Node2Vec
47,0.005,Independent Node2Vec
55,0.275,Independent Node2Vec
63,0.073,Independent Node2Vec
71,0.0,Independent Node2Vec
79,0.18,Independent Node2Vec
87,0.40800000000000003,Independent Node2Vec
95,0.0,Independent Node2Vec
103,0.0,Independent Node2Vec
111,0.705,Independent Node2Vec
119,0.391,Independent Node2Vec
127,0.0,Independent Node2Vec
135,0.491,Independent Node2Vec
143,0.977,Independent Node2Vec
151,0.308,Independent Node2Vec
159,0.005,Independent Node2Vec
167,0.067,Independent Node2Vec
175,0.005,Independent Node2Vec
183,0.019,Independent Node2Vec
191,0.0,Independent Node2Vec
199,0.577,Independent Node2Vec
207,0.302,Independent Node2Vec
215,0.0,Independent Node2Vec
223,0.033,Independent Node2Vec
231,0.881,Independent Node2Vec
239,0.059000000000000004,Independent Node2Vec
247,0.154,Independent Node2Vec
255,0.219,Independent Node2Vec
263,0.157,Independent Node2Vec
271,0.523,Independent Node2Vec
279,0.199,Independent Node2Vec
287,0.055,Independent Node2Vec
295,0.0,Independent Node2Vec
303,0.17300000000000001,Independent Node2Vec
311,0.008,Independent Node2Vec
319,0.5640000000000001,Independent Node2Vec
327,0.726,Independent Node2Vec
335,0.009000000000000001,Independent Node2Vec
343,0.001,Independent Node2Vec
351,0.0,Independent Node2Vec
359,0.0,Independent Node2Vec
367,0.0,Independent Node2Vec
375,0.0,Independent Node2Vec
383,0.047,Independent Node2Vec
391,0.126,Independent Node2Vec
399,0.14200000000000002,Independent Node2Vec
407,0.002,Independent Node2Vec
415,0.019,Independent Node2Vec
423,0.517,Independent Node2Vec
431,0.843,Independent Node2Vec
439,0.5640000000000001,Independent Node2Vec
447,0.0,Independent Node2Vec
455,0.788,Independent Node2Vec
463,0.577,Independent Node2Vec
471,0.466,Independent Node2Vec
479,0.199,Independent Node2Vec
487,0.588,Independent Node2Vec
495,0.437,Independent Node2Vec
503,0.056,Independent Node2Vec
511,0.095,Independent Node2Vec
519,0.0,Independent Node2Vec
527,0.722,Independent Node2Vec
535,0.0,Independent Node2Vec
543,0.017,Independent Node2Vec
551,0.255,Independent Node2Vec
559,0.303,Independent Node2Vec
567,0.224,Independent Node2Vec
575,0.971,Independent Node2Vec
583,0.177,Independent Node2Vec
591,0.076,Independent Node2Vec
599,0.542,Independent Node2Vec
607,0.356,Independent Node2Vec
615,0.261,Independent Node2Vec
623,0.317,Independent Node2Vec
631,0.0,Independent Node2Vec
639,0.404,Independent Node2Vec
647,0.295,Independent Node2Vec
655,0.596,Independent Node2Vec
663,0.74,Independent Node2Vec
671,0.0,Independent Node2Vec
679,0.588,Independent Node2Vec
687,0.596,Independent Node2Vec
695,0.12,Independent Node2Vec
703,0.902,Independent Node2Vec
711,0.0,Independent Node2Vec
719,0.038,Independent Node2Vec
727,0.34400000000000003,Independent Node2Vec
735,0.13,Independent Node2Vec
743,0.045,Independent Node2Vec
751,0.0,Independent Node2Vec
759,0.0,Independent Node2Vec
767,0.973,Independent Node2Vec
775,0.0,Independent Node2Vec
783,0.063,Independent Node2Vec
791,0.0,Independent Node2Vec
799,0.03,Independent Node2Vec
807,0.97,Independent Node2Vec
815,0.08700000000000001,Independent Node2Vec
823,0.006,Independent Node2Vec
831,0.758,Independent Node2Vec
839,0.0,Independent Node2Vec
847,0.009000000000000001,Independent Node2Vec
855,0.0,Independent Node2Vec
863,0.218,Independent Node2Vec
871,0.013000000000000001,Independent Node2Vec
879,0.28600000000000003,Independent Node2Vec
887,0.35100000000000003,Independent Node2Vec
895,0.0,Independent Node2Vec
903,0.0,Independent Node2Vec
911,0.0,Independent Node2Vec
919,0.045,Independent Node2Vec
927,0.761,Independent Node2Vec
935,0.001,Independent Node2Vec
943,0.06,Independent Node2Vec
951,0.874,Independent Node2Vec
959,0.0,Independent Node2Vec
967,0.28600000000000003,Independent Node2Vec
975,0.019,Independent Node2Vec
983,0.075,Independent Node2Vec
991,0.0,Independent Node2Vec
999,0.9520000000000001,Independent Node2Vec
1007,0.466,Independent Node2Vec
1015,0.5650000000000001,Independent Node2Vec
1023,0.0,Independent Node2Vec
1031,0.88,Independent Node2Vec
1039,0.439,Independent Node2Vec
1047,0.003,Independent Node2Vec
1055,0.002,Independent Node2Vec
1063,0.8220000000000001,Independent Node2Vec
1071,0.20500000000000002,Independent Node2Vec
1079,0.048,Independent Node2Vec
1087,0.128,Independent Node2Vec
1095,0.531,Independent Node2Vec
1103,0.516,Independent Node2Vec
1111,0.133,Independent Node2Vec
1119,0.089,Independent Node2Vec
1127,0.0,Independent Node2Vec
1135,0.187,Independent Node2Vec
1143,0.0,Independent Node2Vec
1151,0.155,Independent Node2Vec
1159,0.0,Independent Node2Vec
1167,0.558,Independent Node2Vec
1175,0.275,Independent Node2Vec
1183,0.332,Independent Node2Vec
1191,0.717,Independent Node2Vec
1199,0.029,Independent Node2Vec
