,p_hat,method
2,0.9460000000000001,OMNI
10,0.881,OMNI
18,0.5730000000000001,OMNI
26,0.073,OMNI
34,0.867,OMNI
42,0.362,OMNI
50,0.907,OMNI
58,0.886,OMNI
66,0.358,OMNI
74,0.973,OMNI
82,0.834,OMNI
90,0.037,OMNI
98,0.874,OMNI
106,0.963,OMNI
114,0.968,OMNI
122,0.8290000000000001,OMNI
130,0.641,OMNI
138,0.81,OMNI
146,0.234,OMNI
154,0.105,OMNI
162,0.81,OMNI
170,0.077,OMNI
178,0.47100000000000003,OMNI
186,0.65,OMNI
194,0.395,OMNI
202,0.536,OMNI
210,0.808,OMNI
218,0.538,OMNI
226,0.579,OMNI
234,0.536,OMNI
242,0.599,OMNI
250,0.668,OMNI
258,0.452,OMNI
266,0.498,OMNI
274,0.066,OMNI
282,0.0,OMNI
290,0.364,OMNI
298,0.972,OMNI
306,0.764,OMNI
314,0.096,OMNI
322,0.542,OMNI
330,0.88,OMNI
338,0.117,OMNI
346,0.653,OMNI
354,0.56,OMNI
362,0.784,OMNI
370,0.722,OMNI
378,0.224,OMNI
386,0.223,OMNI
394,0.424,OMNI
402,0.302,OMNI
410,0.923,OMNI
418,0.429,OMNI
426,0.298,OMNI
434,0.8,OMNI
442,0.9400000000000001,OMNI
450,0.166,OMNI
458,0.386,OMNI
466,0.5700000000000001,OMNI
474,0.464,OMNI
482,0.134,OMNI
490,0.157,OMNI
498,0.533,OMNI
506,0.766,OMNI
514,0.193,OMNI
522,0.613,OMNI
530,0.988,OMNI
538,0.529,OMNI
546,0.8240000000000001,OMNI
554,0.928,OMNI
562,0.676,OMNI
570,0.512,OMNI
578,0.749,OMNI
586,0.8190000000000001,OMNI
594,0.139,OMNI
602,0.491,OMNI
610,0.738,OMNI
618,0.341,OMNI
626,0.488,OMNI
634,0.088,OMNI
642,0.269,OMNI
650,0.23600000000000002,OMNI
658,0.34700000000000003,OMNI
666,0.727,OMNI
674,0.17,OMNI
682,0.464,OMNI
690,0.171,OMNI
698,0.562,OMNI
706,0.483,OMNI
714,0.657,OMNI
722,0.812,OMNI
730,0.242,OMNI
738,0.28500000000000003,OMNI
746,0.445,OMNI
754,0.483,OMNI
762,0.343,OMNI
770,0.097,OMNI
778,0.812,OMNI
786,0.725,OMNI
794,0.9560000000000001,OMNI
802,0.542,OMNI
810,0.534,OMNI
818,0.023,OMNI
826,0.428,OMNI
834,0.315,OMNI
842,0.58,OMNI
850,0.787,OMNI
858,0.321,OMNI
866,0.425,OMNI
874,0.513,OMNI
882,0.46,OMNI
890,0.061,OMNI
898,0.919,OMNI
906,0.268,OMNI
914,0.11900000000000001,OMNI
922,0.252,OMNI
930,0.985,OMNI
938,0.99,OMNI
946,0.776,OMNI
954,0.885,OMNI
962,0.857,OMNI
970,0.188,OMNI
978,0.005,OMNI
986,0.524,OMNI
994,0.195,OMNI
1002,0.9590000000000001,OMNI
1010,0.718,OMNI
1018,0.837,OMNI
1026,0.293,OMNI
1034,0.931,OMNI
1042,0.666,OMNI
1050,0.9460000000000001,OMNI
1058,0.976,OMNI
1066,0.222,OMNI
1074,0.772,OMNI
1082,0.686,OMNI
1090,0.116,OMNI
1098,0.642,OMNI
1106,0.62,OMNI
1114,0.728,OMNI
1122,0.178,OMNI
1130,0.918,OMNI
1138,0.012,OMNI
1146,0.992,OMNI
1154,0.099,OMNI
1162,0.41300000000000003,OMNI
1170,0.17400000000000002,OMNI
1178,0.808,OMNI
1186,0.499,OMNI
1194,0.833,OMNI
1202,0.006,OMNI
1210,0.462,OMNI
1218,0.9470000000000001,OMNI
1226,0.531,OMNI
1234,0.17,OMNI
1242,0.612,OMNI
1250,0.972,OMNI
1258,0.996,OMNI
1266,0.137,OMNI
1274,0.252,OMNI
1282,0.298,OMNI
1290,0.152,OMNI
1298,0.063,OMNI
1306,0.6910000000000001,OMNI
1314,0.786,OMNI
1322,0.925,OMNI
1330,0.651,OMNI
1338,0.863,OMNI
1346,0.47000000000000003,OMNI
1354,0.581,OMNI
1362,0.088,OMNI
1370,0.962,OMNI
1378,0.358,OMNI
1386,0.431,OMNI
1394,0.371,OMNI
1402,0.801,OMNI
1410,0.711,OMNI
1418,0.584,OMNI
1426,0.3,OMNI
1434,0.04,OMNI
1442,0.136,OMNI
1450,0.10200000000000001,OMNI
1458,0.116,OMNI
1466,0.215,OMNI
1474,0.47500000000000003,OMNI
1482,0.715,OMNI
1490,0.334,OMNI
1498,0.428,OMNI
1506,0.523,OMNI
1514,0.765,OMNI
1522,0.487,OMNI
1530,0.657,OMNI
1538,0.533,OMNI
1546,0.444,OMNI
1554,0.273,OMNI
1562,0.776,OMNI
1570,0.8150000000000001,OMNI
1578,0.99,OMNI
1586,0.601,OMNI
1594,0.357,OMNI
