,p_hat,method
4,0.0,SSE Procrustes
12,0.75,SSE Procrustes
20,0.113,SSE Procrustes
28,0.038,SSE Procrustes
36,0.001,SSE Procrustes
44,0.113,SSE Procrustes
52,0.507,SSE Procrustes
60,0.747,SSE Procrustes
68,0.805,SSE Procrustes
76,0.051000000000000004,SSE Procrustes
84,0.092,SSE Procrustes
92,0.031,SSE Procrustes
100,0.0,SSE Procrustes
108,0.20500000000000002,SSE Procrustes
116,0.018000000000000002,SSE Procrustes
124,0.875,SSE Procrustes
132,0.057,SSE Procrustes
140,0.343,SSE Procrustes
148,0.003,SSE Procrustes
156,0.96,SSE Procrustes
164,0.244,SSE Procrustes
172,0.417,SSE Procrustes
180,0.447,SSE Procrustes
188,0.019,SSE Procrustes
196,0.456,SSE Procrustes
204,0.0,SSE Procrustes
212,0.549,SSE Procrustes
220,0.188,SSE Procrustes
228,0.12,SSE Procrustes
236,0.043000000000000003,SSE Procrustes
244,0.10300000000000001,SSE Procrustes
252,0.065,SSE Procrustes
260,0.34500000000000003,SSE Procrustes
268,0.256,SSE Procrustes
276,0.022,SSE Procrustes
284,0.419,SSE Procrustes
292,0.0,SSE Procrustes
300,0.359,SSE Procrustes
308,0.542,SSE Procrustes
316,0.526,SSE Procrustes
324,0.001,SSE Procrustes
332,0.732,SSE Procrustes
340,0.515,SSE Procrustes
348,0.002,SSE Procrustes
356,0.184,SSE Procrustes
364,0.47400000000000003,SSE Procrustes
372,0.756,SSE Procrustes
380,0.015,SSE Procrustes
388,0.0,SSE Procrustes
396,0.014,SSE Procrustes
404,0.08700000000000001,SSE Procrustes
412,0.095,SSE Procrustes
420,0.165,SSE Procrustes
428,0.004,SSE Procrustes
436,0.318,SSE Procrustes
444,0.19,SSE Procrustes
452,0.045,SSE Procrustes
460,0.077,SSE Procrustes
468,0.047,SSE Procrustes
476,0.511,SSE Procrustes
484,0.274,SSE Procrustes
492,0.185,SSE Procrustes
500,0.7000000000000001,SSE Procrustes
508,0.079,SSE Procrustes
516,0.47700000000000004,SSE Procrustes
524,0.7020000000000001,SSE Procrustes
532,0.002,SSE Procrustes
540,0.708,SSE Procrustes
548,0.14,SSE Procrustes
556,0.076,SSE Procrustes
564,0.373,SSE Procrustes
572,0.54,SSE Procrustes
580,0.493,SSE Procrustes
588,0.654,SSE Procrustes
596,0.47600000000000003,SSE Procrustes
604,0.037,SSE Procrustes
612,0.657,SSE Procrustes
620,0.0,SSE Procrustes
628,0.0,SSE Procrustes
636,0.023,SSE Procrustes
644,0.492,SSE Procrustes
652,0.599,SSE Procrustes
660,0.023,SSE Procrustes
668,0.674,SSE Procrustes
676,0.0,SSE Procrustes
684,0.035,SSE Procrustes
692,0.003,SSE Procrustes
700,0.084,SSE Procrustes
708,0.8170000000000001,SSE Procrustes
716,0.034,SSE Procrustes
724,0.643,SSE Procrustes
732,0.723,SSE Procrustes
740,0.258,SSE Procrustes
748,0.594,SSE Procrustes
756,0.329,SSE Procrustes
764,0.156,SSE Procrustes
772,0.922,SSE Procrustes
780,0.002,SSE Procrustes
788,0.106,SSE Procrustes
796,0.0,SSE Procrustes
804,0.0,SSE Procrustes
812,0.6960000000000001,SSE Procrustes
820,0.005,SSE Procrustes
828,0.0,SSE Procrustes
836,0.961,SSE Procrustes
844,0.633,SSE Procrustes
852,0.064,SSE Procrustes
860,0.799,SSE Procrustes
868,0.093,SSE Procrustes
876,0.446,SSE Procrustes
884,0.35000000000000003,SSE Procrustes
892,0.001,SSE Procrustes
900,0.529,SSE Procrustes
908,0.394,SSE Procrustes
916,0.77,SSE Procrustes
924,0.9540000000000001,SSE Procrustes
932,0.197,SSE Procrustes
940,0.9400000000000001,SSE Procrustes
948,0.247,SSE Procrustes
956,0.17300000000000001,SSE Procrustes
964,0.013000000000000001,SSE Procrustes
972,0.035,SSE Procrustes
980,0.36,SSE Procrustes
988,0.771,SSE Procrustes
996,0.052000000000000005,SSE Procrustes
1004,0.003,SSE Procrustes
1012,0.9390000000000001,SSE Procrustes
1020,0.041,SSE Procrustes
1028,0.791,SSE Procrustes
1036,0.109,SSE Procrustes
1044,0.03,SSE Procrustes
1052,0.9470000000000001,SSE Procrustes
1060,0.6890000000000001,SSE Procrustes
1068,0.0,SSE Procrustes
1076,0.016,SSE Procrustes
1084,0.016,SSE Procrustes
1092,0.005,SSE Procrustes
1100,0.20600000000000002,SSE Procrustes
1108,0.25,SSE Procrustes
1116,0.874,SSE Procrustes
1124,0.343,SSE Procrustes
1132,0.521,SSE Procrustes
1140,0.6980000000000001,SSE Procrustes
1148,0.47100000000000003,SSE Procrustes
1156,0.053,SSE Procrustes
1164,0.642,SSE Procrustes
1172,0.082,SSE Procrustes
1180,0.608,SSE Procrustes
1188,0.859,SSE Procrustes
1196,0.41500000000000004,SSE Procrustes
1204,0.604,SSE Procrustes
1212,0.0,SSE Procrustes
1220,0.483,SSE Procrustes
1228,0.125,SSE Procrustes
1236,0.777,SSE Procrustes
1244,0.518,SSE Procrustes
1252,0.55,SSE Procrustes
1260,0.376,SSE Procrustes
1268,0.0,SSE Procrustes
1276,0.054,SSE Procrustes
1284,0.677,SSE Procrustes
1292,0.717,SSE Procrustes
1300,0.645,SSE Procrustes
1308,0.384,SSE Procrustes
1316,0.0,SSE Procrustes
1324,0.844,SSE Procrustes
1332,0.028,SSE Procrustes
1340,0.898,SSE Procrustes
1348,0.704,SSE Procrustes
1356,0.546,SSE Procrustes
1364,0.101,SSE Procrustes
1372,0.427,SSE Procrustes
1380,0.509,SSE Procrustes
1388,0.136,SSE Procrustes
1396,0.788,SSE Procrustes
1404,0.005,SSE Procrustes
1412,0.733,SSE Procrustes
1420,0.808,SSE Procrustes
1428,0.914,SSE Procrustes
1436,0.006,SSE Procrustes
1444,0.458,SSE Procrustes
1452,0.41500000000000004,SSE Procrustes
1460,0.41200000000000003,SSE Procrustes
1468,0.624,SSE Procrustes
1476,0.0,SSE Procrustes
1484,0.518,SSE Procrustes
1492,0.314,SSE Procrustes
1500,0.483,SSE Procrustes
1508,0.8300000000000001,SSE Procrustes
1516,0.9500000000000001,SSE Procrustes
1524,0.768,SSE Procrustes
1532,0.578,SSE Procrustes
1540,0.003,SSE Procrustes
1548,0.28200000000000003,SSE Procrustes
1556,0.0,SSE Procrustes
1564,0.0,SSE Procrustes
1572,0.153,SSE Procrustes
1580,0.6990000000000001,SSE Procrustes
1588,0.197,SSE Procrustes
1596,0.185,SSE Procrustes
