,p_hat,method
3,0.0,SSE
11,0.767,SSE
19,0.129,SSE
27,0.049,SSE
35,0.0,SSE
43,0.11,SSE
51,0.494,SSE
59,0.741,SSE
67,0.8250000000000001,SSE
75,0.036000000000000004,SSE
83,0.084,SSE
91,0.038,SSE
99,0.0,SSE
107,0.195,SSE
115,0.029,SSE
123,0.877,SSE
131,0.048,SSE
139,0.341,SSE
147,0.002,SSE
155,0.9490000000000001,SSE
163,0.253,SSE
171,0.402,SSE
179,0.438,SSE
187,0.02,SSE
195,0.447,SSE
203,0.0,SSE
211,0.529,SSE
219,0.163,SSE
227,0.097,SSE
235,0.038,SSE
243,0.10300000000000001,SSE
251,0.06,SSE
259,0.359,SSE
267,0.281,SSE
275,0.025,SSE
283,0.41500000000000004,SSE
291,0.0,SSE
299,0.301,SSE
307,0.523,SSE
315,0.507,SSE
323,0.001,SSE
331,0.766,SSE
339,0.496,SSE
347,0.001,SSE
355,0.197,SSE
363,0.47800000000000004,SSE
371,0.776,SSE
379,0.022,SSE
387,0.0,SSE
395,0.014,SSE
403,0.073,SSE
411,0.131,SSE
419,0.157,SSE
427,0.002,SSE
435,0.317,SSE
443,0.213,SSE
451,0.039,SSE
459,0.074,SSE
467,0.046,SSE
475,0.539,SSE
483,0.256,SSE
491,0.17500000000000002,SSE
499,0.624,SSE
507,0.079,SSE
515,0.449,SSE
523,0.6910000000000001,SSE
531,0.001,SSE
539,0.678,SSE
547,0.14300000000000002,SSE
555,0.084,SSE
563,0.387,SSE
571,0.521,SSE
579,0.513,SSE
587,0.654,SSE
595,0.456,SSE
603,0.054,SSE
611,0.682,SSE
619,0.0,SSE
627,0.0,SSE
635,0.02,SSE
643,0.528,SSE
651,0.5640000000000001,SSE
659,0.018000000000000002,SSE
667,0.6910000000000001,SSE
675,0.0,SSE
683,0.055,SSE
691,0.0,SSE
699,0.08,SSE
707,0.779,SSE
715,0.048,SSE
723,0.662,SSE
731,0.716,SSE
739,0.28400000000000003,SSE
747,0.595,SSE
755,0.327,SSE
763,0.149,SSE
771,0.912,SSE
779,0.002,SSE
787,0.124,SSE
795,0.0,SSE
803,0.0,SSE
811,0.7020000000000001,SSE
819,0.005,SSE
827,0.0,SSE
835,0.961,SSE
843,0.604,SSE
851,0.051000000000000004,SSE
859,0.8140000000000001,SSE
867,0.081,SSE
875,0.421,SSE
883,0.373,SSE
891,0.0,SSE
899,0.536,SSE
907,0.374,SSE
915,0.774,SSE
923,0.9510000000000001,SSE
931,0.216,SSE
939,0.9440000000000001,SSE
947,0.224,SSE
955,0.17200000000000001,SSE
963,0.01,SSE
971,0.032,SSE
979,0.395,SSE
987,0.81,SSE
995,0.052000000000000005,SSE
1003,0.011,SSE
1011,0.9460000000000001,SSE
1019,0.059000000000000004,SSE
1027,0.786,SSE
1035,0.10200000000000001,SSE
1043,0.027,SSE
1051,0.9490000000000001,SSE
1059,0.675,SSE
1067,0.001,SSE
1075,0.025,SSE
1083,0.01,SSE
1091,0.008,SSE
1099,0.157,SSE
1107,0.247,SSE
1115,0.876,SSE
1123,0.358,SSE
1131,0.501,SSE
1139,0.683,SSE
1147,0.436,SSE
1155,0.054,SSE
1163,0.678,SSE
1171,0.08,SSE
1179,0.644,SSE
1187,0.848,SSE
1195,0.369,SSE
1203,0.621,SSE
1211,0.0,SSE
1219,0.42,SSE
1227,0.138,SSE
1235,0.761,SSE
1243,0.525,SSE
1251,0.505,SSE
1259,0.394,SSE
1267,0.0,SSE
1275,0.053,SSE
1283,0.654,SSE
1291,0.678,SSE
1299,0.631,SSE
1307,0.388,SSE
1315,0.0,SSE
1323,0.845,SSE
1331,0.031,SSE
1339,0.9,SSE
1347,0.6910000000000001,SSE
1355,0.529,SSE
1363,0.088,SSE
1371,0.402,SSE
1379,0.523,SSE
1387,0.146,SSE
1395,0.793,SSE
1403,0.008,SSE
1411,0.76,SSE
1419,0.8230000000000001,SSE
1427,0.895,SSE
1435,0.005,SSE
1443,0.486,SSE
1451,0.425,SSE
1459,0.429,SSE
1467,0.6,SSE
1475,0.0,SSE
1483,0.51,SSE
1491,0.28800000000000003,SSE
1499,0.504,SSE
1507,0.8290000000000001,SSE
1515,0.9480000000000001,SSE
1523,0.783,SSE
1531,0.589,SSE
1539,0.003,SSE
1547,0.28700000000000003,SSE
1555,0.0,SSE
1563,0.0,SSE
1571,0.181,SSE
1579,0.6940000000000001,SSE
1587,0.199,SSE
1595,0.178,SSE
