,p_hat,method
1,0.836,UASE
9,0.392,UASE
17,0.663,UASE
25,0.222,UASE
33,0.708,UASE
41,0.872,UASE
49,0.708,UASE
57,0.626,UASE
65,0.9,UASE
73,0.965,UASE
81,0.8190000000000001,UASE
89,0.597,UASE
97,0.6920000000000001,UASE
105,0.784,UASE
113,0.77,UASE
121,0.9510000000000001,UASE
129,0.5650000000000001,UASE
137,0.9460000000000001,UASE
145,0.244,UASE
153,0.107,UASE
161,0.233,UASE
169,0.226,UASE
177,0.795,UASE
185,0.8300000000000001,UASE
193,0.912,UASE
201,0.854,UASE
209,0.909,UASE
217,0.485,UASE
225,0.377,UASE
233,0.89,UASE
241,0.776,UASE
249,0.36,UASE
257,0.903,UASE
265,0.55,UASE
273,0.743,UASE
281,0.014,UASE
289,0.28600000000000003,UASE
297,0.487,UASE
305,0.661,UASE
313,0.315,UASE
321,0.8170000000000001,UASE
329,0.162,UASE
337,0.299,UASE
345,0.612,UASE
353,0.757,UASE
361,0.20600000000000002,UASE
369,0.512,UASE
377,0.638,UASE
385,0.081,UASE
393,0.936,UASE
401,0.934,UASE
409,0.885,UASE
417,0.721,UASE
425,0.967,UASE
433,0.489,UASE
441,0.935,UASE
449,0.424,UASE
457,0.169,UASE
465,0.619,UASE
473,0.638,UASE
481,0.337,UASE
489,0.505,UASE
497,0.8170000000000001,UASE
505,0.554,UASE
513,0.582,UASE
521,0.772,UASE
529,0.6890000000000001,UASE
537,0.436,UASE
545,0.854,UASE
553,0.192,UASE
561,0.542,UASE
569,0.761,UASE
577,0.503,UASE
585,0.72,UASE
593,0.324,UASE
601,0.23800000000000002,UASE
609,0.791,UASE
617,0.892,UASE
625,0.9540000000000001,UASE
633,0.229,UASE
641,0.5670000000000001,UASE
649,0.932,UASE
657,0.227,UASE
665,0.397,UASE
673,0.5,UASE
681,0.189,UASE
689,0.253,UASE
697,0.932,UASE
705,0.279,UASE
713,0.966,UASE
721,0.747,UASE
729,0.498,UASE
737,0.215,UASE
745,0.731,UASE
753,0.352,UASE
761,0.162,UASE
769,0.162,UASE
777,0.441,UASE
785,0.458,UASE
793,0.853,UASE
801,0.5630000000000001,UASE
809,0.275,UASE
817,0.044,UASE
825,0.9480000000000001,UASE
833,0.145,UASE
841,0.168,UASE
849,0.597,UASE
857,0.406,UASE
865,0.424,UASE
873,0.615,UASE
881,0.844,UASE
889,0.04,UASE
897,0.931,UASE
905,0.734,UASE
913,0.077,UASE
921,0.077,UASE
929,0.908,UASE
937,0.515,UASE
945,0.646,UASE
953,0.291,UASE
961,0.772,UASE
969,0.052000000000000005,UASE
977,0.096,UASE
985,0.8130000000000001,UASE
993,0.333,UASE
1001,0.466,UASE
1009,0.991,UASE
1017,0.5700000000000001,UASE
1025,0.708,UASE
1033,0.6960000000000001,UASE
1041,0.538,UASE
1049,0.234,UASE
1057,0.872,UASE
1065,0.393,UASE
1073,0.75,UASE
1081,0.836,UASE
1089,0.889,UASE
1097,0.402,UASE
1105,0.47600000000000003,UASE
1113,0.47900000000000004,UASE
1121,0.881,UASE
1129,0.8260000000000001,UASE
1137,0.049,UASE
1145,0.62,UASE
1153,0.279,UASE
1161,0.5690000000000001,UASE
1169,0.363,UASE
1177,0.659,UASE
1185,0.45,UASE
1193,1.0,UASE
1201,0.002,UASE
1209,0.178,UASE
1217,0.602,UASE
1225,0.896,UASE
1233,0.801,UASE
1241,0.249,UASE
1249,0.653,UASE
1257,0.34,UASE
1265,0.31,UASE
1273,0.155,UASE
1281,0.209,UASE
1289,0.455,UASE
1297,0.039,UASE
1305,0.967,UASE
1313,0.797,UASE
1321,0.5690000000000001,UASE
1329,0.6930000000000001,UASE
1337,0.304,UASE
1345,0.7010000000000001,UASE
1353,0.155,UASE
1361,0.5690000000000001,UASE
1369,0.9540000000000001,UASE
1377,0.271,UASE
1385,0.249,UASE
1393,0.586,UASE
1401,0.833,UASE
1409,0.587,UASE
1417,0.269,UASE
1425,0.875,UASE
1433,0.031,UASE
1441,0.158,UASE
1449,0.011,UASE
1457,0.34800000000000003,UASE
1465,0.58,UASE
1473,0.185,UASE
1481,0.853,UASE
1489,0.23900000000000002,UASE
1497,0.397,UASE
1505,0.932,UASE
1513,0.647,UASE
1521,0.042,UASE
1529,0.586,UASE
1537,0.759,UASE
1545,0.519,UASE
1553,0.20800000000000002,UASE
1561,0.8,UASE
1569,0.864,UASE
1577,0.98,UASE
1585,0.145,UASE
1593,0.339,UASE
