,p_hat,method
0,0.8250000000000001,URLSE
1,0.797,URLSE
2,0.042,URLSE
3,0.281,URLSE
4,0.518,URLSE
5,0.167,URLSE
6,0.859,URLSE
7,0.972,URLSE
8,0.43,URLSE
9,0.627,URLSE
10,0.761,URLSE
11,0.28700000000000003,URLSE
12,0.34600000000000003,URLSE
13,0.458,URLSE
14,0.867,URLSE
15,0.176,URLSE
16,0.437,URLSE
17,0.359,URLSE
18,0.0,URLSE
19,0.132,URLSE
20,0.744,URLSE
21,0.327,URLSE
22,0.451,URLSE
23,0.756,URLSE
24,0.8130000000000001,URLSE
25,0.019,URLSE
26,0.015,URLSE
27,0.609,URLSE
28,0.643,URLSE
29,0.937,URLSE
30,0.506,URLSE
31,0.041,URLSE
32,0.47600000000000003,URLSE
33,0.528,URLSE
34,0.47700000000000004,URLSE
35,0.908,URLSE
36,0.93,URLSE
37,0.535,URLSE
38,0.8230000000000001,URLSE
39,0.23500000000000001,URLSE
40,0.835,URLSE
41,0.859,URLSE
42,0.148,URLSE
43,0.856,URLSE
44,0.34500000000000003,URLSE
45,0.076,URLSE
46,0.364,URLSE
47,0.098,URLSE
48,0.725,URLSE
49,0.316,URLSE
50,0.157,URLSE
51,0.23800000000000002,URLSE
52,0.5720000000000001,URLSE
53,0.21,URLSE
54,0.8190000000000001,URLSE
55,0.839,URLSE
56,0.781,URLSE
57,0.152,URLSE
58,0.707,URLSE
59,0.808,URLSE
60,0.856,URLSE
61,0.048,URLSE
62,0.658,URLSE
63,0.9490000000000001,URLSE
64,0.161,URLSE
65,0.095,URLSE
66,0.5640000000000001,URLSE
67,0.986,URLSE
68,0.059000000000000004,URLSE
69,0.241,URLSE
70,0.163,URLSE
71,0.8150000000000001,URLSE
72,0.905,URLSE
73,0.595,URLSE
74,0.84,URLSE
75,0.931,URLSE
76,0.523,URLSE
77,0.043000000000000003,URLSE
78,0.8200000000000001,URLSE
79,0.108,URLSE
80,0.895,URLSE
81,0.018000000000000002,URLSE
82,0.446,URLSE
83,0.731,URLSE
84,0.771,URLSE
85,0.792,URLSE
86,0.6980000000000001,URLSE
87,0.164,URLSE
88,0.912,URLSE
89,0.619,URLSE
90,0.558,URLSE
91,0.329,URLSE
92,0.11,URLSE
93,0.916,URLSE
94,0.752,URLSE
95,0.096,URLSE
96,0.162,URLSE
97,0.888,URLSE
98,0.622,URLSE
99,0.962,URLSE
100,0.154,URLSE
101,0.99,URLSE
102,0.632,URLSE
103,0.868,URLSE
104,0.65,URLSE
105,0.731,URLSE
106,0.47300000000000003,URLSE
107,0.6910000000000001,URLSE
108,0.154,URLSE
109,0.406,URLSE
110,0.40700000000000003,URLSE
111,0.07200000000000001,URLSE
112,0.5650000000000001,URLSE
113,0.704,URLSE
114,0.326,URLSE
115,0.403,URLSE
116,0.506,URLSE
117,0.451,URLSE
118,0.008,URLSE
119,0.494,URLSE
120,0.061,URLSE
121,0.748,URLSE
122,0.882,URLSE
123,0.76,URLSE
124,0.435,URLSE
125,0.202,URLSE
126,0.308,URLSE
127,0.856,URLSE
128,0.917,URLSE
129,0.434,URLSE
130,0.577,URLSE
131,0.901,URLSE
132,0.663,URLSE
133,0.988,URLSE
134,0.9,URLSE
135,0.17200000000000001,URLSE
136,0.807,URLSE
137,0.998,URLSE
138,0.51,URLSE
139,0.9470000000000001,URLSE
140,0.706,URLSE
141,0.511,URLSE
142,0.07200000000000001,URLSE
143,0.724,URLSE
144,0.85,URLSE
145,0.364,URLSE
146,0.603,URLSE
147,0.338,URLSE
148,0.679,URLSE
149,0.715,URLSE
150,0.218,URLSE
151,0.183,URLSE
152,0.555,URLSE
153,0.218,URLSE
154,0.795,URLSE
155,0.497,URLSE
156,0.053,URLSE
157,0.432,URLSE
158,0.502,URLSE
159,0.612,URLSE
160,0.977,URLSE
161,0.6990000000000001,URLSE
162,0.262,URLSE
163,0.868,URLSE
164,0.022,URLSE
165,0.588,URLSE
166,0.791,URLSE
167,0.33,URLSE
168,0.617,URLSE
169,0.607,URLSE
170,0.524,URLSE
171,0.042,URLSE
172,0.423,URLSE
173,0.6950000000000001,URLSE
174,0.26,URLSE
175,0.896,URLSE
176,0.851,URLSE
177,0.47100000000000003,URLSE
178,0.512,URLSE
179,0.664,URLSE
180,0.932,URLSE
181,0.586,URLSE
182,0.147,URLSE
183,0.561,URLSE
184,0.339,URLSE
185,0.122,URLSE
186,0.062,URLSE
187,0.28500000000000003,URLSE
188,0.329,URLSE
189,0.253,URLSE
190,0.655,URLSE
191,0.056,URLSE
192,0.553,URLSE
193,0.43,URLSE
194,0.048,URLSE
195,0.296,URLSE
196,0.601,URLSE
197,0.975,URLSE
198,0.735,URLSE
199,0.75,URLSE
