,p_hat,method
6,0.451,Unfolded Node2Vec
14,0.791,Unfolded Node2Vec
22,0.655,Unfolded Node2Vec
30,0.053,Unfolded Node2Vec
38,0.896,Unfolded Node2Vec
46,0.47700000000000004,Unfolded Node2Vec
54,0.53,Unfolded Node2Vec
62,0.501,Unfolded Node2Vec
70,0.425,Unfolded Node2Vec
78,0.762,Unfolded Node2Vec
86,0.364,Unfolded Node2Vec
94,0.22,Unfolded Node2Vec
102,0.853,Unfolded Node2Vec
110,0.733,Unfolded Node2Vec
118,0.588,Unfolded Node2Vec
126,0.651,Unfolded Node2Vec
134,0.359,Unfolded Node2Vec
142,0.52,Unfolded Node2Vec
150,0.148,Unfolded Node2Vec
158,0.073,Unfolded Node2Vec
166,0.427,Unfolded Node2Vec
174,0.618,Unfolded Node2Vec
182,0.6880000000000001,Unfolded Node2Vec
190,0.559,Unfolded Node2Vec
198,0.9,Unfolded Node2Vec
206,0.85,Unfolded Node2Vec
214,0.015,Unfolded Node2Vec
222,0.9,Unfolded Node2Vec
230,0.91,Unfolded Node2Vec
238,0.6960000000000001,Unfolded Node2Vec
246,0.6950000000000001,Unfolded Node2Vec
254,0.835,Unfolded Node2Vec
262,0.8300000000000001,Unfolded Node2Vec
270,0.196,Unfolded Node2Vec
278,0.123,Unfolded Node2Vec
286,0.244,Unfolded Node2Vec
294,0.261,Unfolded Node2Vec
302,0.88,Unfolded Node2Vec
310,0.581,Unfolded Node2Vec
318,0.363,Unfolded Node2Vec
326,0.66,Unfolded Node2Vec
334,0.034,Unfolded Node2Vec
342,0.706,Unfolded Node2Vec
350,0.848,Unfolded Node2Vec
358,0.606,Unfolded Node2Vec
366,0.01,Unfolded Node2Vec
374,0.232,Unfolded Node2Vec
382,0.8300000000000001,Unfolded Node2Vec
390,0.778,Unfolded Node2Vec
398,0.308,Unfolded Node2Vec
406,0.623,Unfolded Node2Vec
414,0.452,Unfolded Node2Vec
422,0.432,Unfolded Node2Vec
430,0.9410000000000001,Unfolded Node2Vec
438,0.184,Unfolded Node2Vec
446,0.851,Unfolded Node2Vec
454,0.111,Unfolded Node2Vec
462,0.884,Unfolded Node2Vec
470,0.433,Unfolded Node2Vec
478,0.726,Unfolded Node2Vec
486,0.67,Unfolded Node2Vec
494,0.592,Unfolded Node2Vec
502,0.658,Unfolded Node2Vec
510,0.066,Unfolded Node2Vec
