,p_hat,method
2,0.032,OMNI
9,0.002,OMNI
16,0.966,OMNI
23,0.012,OMNI
30,0.178,OMNI
37,0.227,OMNI
44,0.10200000000000001,OMNI
51,0.256,OMNI
58,0.045,OMNI
65,0.035,OMNI
72,0.34800000000000003,OMNI
79,0.301,OMNI
86,0.498,OMNI
93,0.053,OMNI
100,0.341,OMNI
107,0.092,OMNI
114,0.7000000000000001,OMNI
121,0.23600000000000002,OMNI
128,0.233,OMNI
135,0.005,OMNI
142,0.132,OMNI
149,0.112,OMNI
156,0.021,OMNI
163,0.292,OMNI
170,0.139,OMNI
177,0.037,OMNI
184,0.011,OMNI
191,0.063,OMNI
198,0.138,OMNI
205,0.031,OMNI
212,0.419,OMNI
219,0.748,OMNI
226,0.113,OMNI
233,0.148,OMNI
240,0.045,OMNI
247,0.056,OMNI
254,0.075,OMNI
261,0.719,OMNI
268,0.455,OMNI
275,0.056,OMNI
282,0.855,OMNI
289,0.14200000000000002,OMNI
296,0.393,OMNI
303,0.293,OMNI
310,0.001,OMNI
317,0.358,OMNI
324,0.041,OMNI
331,0.0,OMNI
338,0.002,OMNI
345,0.8320000000000001,OMNI
352,0.016,OMNI
359,0.294,OMNI
366,0.009000000000000001,OMNI
373,0.20800000000000002,OMNI
380,0.004,OMNI
387,0.138,OMNI
394,0.077,OMNI
401,0.156,OMNI
408,0.466,OMNI
415,0.999,OMNI
422,0.775,OMNI
429,0.11900000000000001,OMNI
436,0.0,OMNI
443,0.002,OMNI
450,0.036000000000000004,OMNI
457,0.013000000000000001,OMNI
464,0.34900000000000003,OMNI
471,0.109,OMNI
478,0.32,OMNI
485,0.035,OMNI
492,0.145,OMNI
499,0.045,OMNI
506,0.329,OMNI
513,0.081,OMNI
520,0.327,OMNI
527,0.08700000000000001,OMNI
534,0.005,OMNI
541,0.057,OMNI
548,0.289,OMNI
555,0.127,OMNI
562,0.007,OMNI
569,0.08700000000000001,OMNI
576,0.03,OMNI
583,0.014,OMNI
590,0.047,OMNI
597,0.9430000000000001,OMNI
604,0.896,OMNI
611,0.20800000000000002,OMNI
618,0.146,OMNI
625,0.874,OMNI
632,0.011,OMNI
639,0.058,OMNI
646,0.113,OMNI
653,0.251,OMNI
660,0.256,OMNI
667,0.667,OMNI
674,0.28700000000000003,OMNI
681,0.324,OMNI
688,0.46900000000000003,OMNI
695,0.145,OMNI
702,0.14,OMNI
709,0.018000000000000002,OMNI
716,0.187,OMNI
723,0.046,OMNI
730,0.155,OMNI
737,0.457,OMNI
744,0.31,OMNI
751,0.003,OMNI
758,0.116,OMNI
765,0.113,OMNI
772,0.276,OMNI
779,0.243,OMNI
786,0.441,OMNI
793,0.521,OMNI
800,0.017,OMNI
807,0.002,OMNI
814,0.017,OMNI
821,0.497,OMNI
828,0.051000000000000004,OMNI
835,0.002,OMNI
842,0.743,OMNI
849,0.005,OMNI
856,0.002,OMNI
863,0.028,OMNI
870,0.015,OMNI
877,0.765,OMNI
884,0.001,OMNI
891,0.093,OMNI
898,0.562,OMNI
905,0.291,OMNI
912,0.037,OMNI
919,0.726,OMNI
926,0.116,OMNI
933,0.07200000000000001,OMNI
940,0.064,OMNI
947,0.486,OMNI
954,0.026000000000000002,OMNI
961,0.006,OMNI
968,0.333,OMNI
975,0.177,OMNI
982,0.012,OMNI
989,0.113,OMNI
996,0.042,OMNI
1003,0.625,OMNI
1010,0.518,OMNI
1017,0.188,OMNI
1024,0.228,OMNI
1031,0.001,OMNI
1038,0.369,OMNI
1045,0.22,OMNI
1052,0.724,OMNI
1059,0.11800000000000001,OMNI
1066,0.458,OMNI
1073,0.65,OMNI
1080,0.085,OMNI
1087,0.277,OMNI
1094,0.011,OMNI
1101,0.11,OMNI
1108,0.154,OMNI
1115,0.19,OMNI
1122,0.045,OMNI
1129,0.35100000000000003,OMNI
1136,0.028,OMNI
1143,0.106,OMNI
1150,0.066,OMNI
1157,0.062,OMNI
1164,0.108,OMNI
1171,0.51,OMNI
1178,0.0,OMNI
1185,0.111,OMNI
1192,0.768,OMNI
1199,0.079,OMNI
1206,0.493,OMNI
1213,0.844,OMNI
1220,0.7010000000000001,OMNI
1227,0.061,OMNI
1234,0.004,OMNI
1241,0.053,OMNI
1248,0.15,OMNI
1255,0.337,OMNI
1262,0.105,OMNI
1269,0.20400000000000001,OMNI
1276,0.026000000000000002,OMNI
1283,0.107,OMNI
1290,0.521,OMNI
1297,0.083,OMNI
1304,0.133,OMNI
1311,0.059000000000000004,OMNI
1318,0.15,OMNI
1325,0.386,OMNI
1332,0.001,OMNI
1339,0.658,OMNI
1346,0.126,OMNI
1353,0.268,OMNI
1360,0.189,OMNI
1367,0.328,OMNI
1374,0.594,OMNI
1381,0.908,OMNI
1388,0.8300000000000001,OMNI
1395,0.159,OMNI
