,p_hat,method
1,0.0,SSE Procrustes
8,0.0,SSE Procrustes
15,0.0,SSE Procrustes
22,0.0,SSE Procrustes
29,0.0,SSE Procrustes
36,0.0,SSE Procrustes
43,0.0,SSE Procrustes
50,0.0,SSE Procrustes
57,0.0,SSE Procrustes
64,0.0,SSE Procrustes
71,0.0,SSE Procrustes
78,0.0,SSE Procrustes
85,0.0,SSE Procrustes
92,0.0,SSE Procrustes
99,0.0,SSE Procrustes
106,0.0,SSE Procrustes
113,0.0,SSE Procrustes
120,0.0,SSE Procrustes
127,0.0,SSE Procrustes
134,0.0,SSE Procrustes
141,0.0,SSE Procrustes
148,0.0,SSE Procrustes
155,0.0,SSE Procrustes
162,0.0,SSE Procrustes
169,0.0,SSE Procrustes
176,0.0,SSE Procrustes
183,0.0,SSE Procrustes
190,0.0,SSE Procrustes
197,0.0,SSE Procrustes
204,0.0,SSE Procrustes
211,0.0,SSE Procrustes
218,0.0,SSE Procrustes
225,0.0,SSE Procrustes
232,0.0,SSE Procrustes
239,0.0,SSE Procrustes
246,0.0,SSE Procrustes
253,0.0,SSE Procrustes
260,0.0,SSE Procrustes
267,0.0,SSE Procrustes
274,0.0,SSE Procrustes
281,0.0,SSE Procrustes
288,0.0,SSE Procrustes
295,0.0,SSE Procrustes
302,0.0,SSE Procrustes
309,0.0,SSE Procrustes
316,0.0,SSE Procrustes
323,0.0,SSE Procrustes
330,0.0,SSE Procrustes
337,0.0,SSE Procrustes
344,0.0,SSE Procrustes
351,0.0,SSE Procrustes
358,0.0,SSE Procrustes
365,0.0,SSE Procrustes
372,0.0,SSE Procrustes
379,0.0,SSE Procrustes
386,0.0,SSE Procrustes
393,0.0,SSE Procrustes
400,0.0,SSE Procrustes
407,0.0,SSE Procrustes
414,0.0,SSE Procrustes
421,0.0,SSE Procrustes
428,0.0,SSE Procrustes
435,0.0,SSE Procrustes
442,0.0,SSE Procrustes
449,0.0,SSE Procrustes
456,0.0,SSE Procrustes
463,0.0,SSE Procrustes
470,0.0,SSE Procrustes
477,0.0,SSE Procrustes
484,0.0,SSE Procrustes
491,0.0,SSE Procrustes
498,0.0,SSE Procrustes
505,0.0,SSE Procrustes
512,0.0,SSE Procrustes
519,0.0,SSE Procrustes
526,0.0,SSE Procrustes
533,0.0,SSE Procrustes
540,0.0,SSE Procrustes
547,0.0,SSE Procrustes
554,0.0,SSE Procrustes
561,0.0,SSE Procrustes
568,0.0,SSE Procrustes
575,0.0,SSE Procrustes
582,0.0,SSE Procrustes
589,0.0,SSE Procrustes
596,0.0,SSE Procrustes
603,0.0,SSE Procrustes
610,0.0,SSE Procrustes
617,0.0,SSE Procrustes
624,0.0,SSE Procrustes
631,0.0,SSE Procrustes
638,0.0,SSE Procrustes
645,0.0,SSE Procrustes
652,0.0,SSE Procrustes
659,0.0,SSE Procrustes
666,0.0,SSE Procrustes
673,0.0,SSE Procrustes
680,0.0,SSE Procrustes
687,0.0,SSE Procrustes
694,0.0,SSE Procrustes
701,0.0,SSE Procrustes
708,0.0,SSE Procrustes
715,0.0,SSE Procrustes
722,0.0,SSE Procrustes
729,0.0,SSE Procrustes
736,0.0,SSE Procrustes
743,0.0,SSE Procrustes
750,0.0,SSE Procrustes
757,0.0,SSE Procrustes
764,0.0,SSE Procrustes
771,0.0,SSE Procrustes
778,0.0,SSE Procrustes
785,0.0,SSE Procrustes
792,0.0,SSE Procrustes
799,0.0,SSE Procrustes
806,0.0,SSE Procrustes
813,0.0,SSE Procrustes
820,0.0,SSE Procrustes
827,0.0,SSE Procrustes
834,0.0,SSE Procrustes
841,0.0,SSE Procrustes
848,0.0,SSE Procrustes
855,0.0,SSE Procrustes
862,0.0,SSE Procrustes
869,0.0,SSE Procrustes
876,0.0,SSE Procrustes
883,0.0,SSE Procrustes
890,0.0,SSE Procrustes
897,0.0,SSE Procrustes
904,0.0,SSE Procrustes
911,0.0,SSE Procrustes
918,0.0,SSE Procrustes
925,0.0,SSE Procrustes
932,0.0,SSE Procrustes
939,0.0,SSE Procrustes
946,0.0,SSE Procrustes
953,0.0,SSE Procrustes
960,0.0,SSE Procrustes
967,0.0,SSE Procrustes
974,0.0,SSE Procrustes
981,0.0,SSE Procrustes
988,0.0,SSE Procrustes
995,0.0,SSE Procrustes
1002,0.0,SSE Procrustes
1009,0.0,SSE Procrustes
1016,0.0,SSE Procrustes
1023,0.0,SSE Procrustes
1030,0.0,SSE Procrustes
1037,0.0,SSE Procrustes
1044,0.0,SSE Procrustes
1051,0.0,SSE Procrustes
1058,0.0,SSE Procrustes
1065,0.0,SSE Procrustes
1072,0.0,SSE Procrustes
1079,0.0,SSE Procrustes
1086,0.0,SSE Procrustes
1093,0.0,SSE Procrustes
1100,0.0,SSE Procrustes
1107,0.0,SSE Procrustes
1114,0.0,SSE Procrustes
1121,0.0,SSE Procrustes
1128,0.0,SSE Procrustes
1135,0.0,SSE Procrustes
1142,0.0,SSE Procrustes
1149,0.0,SSE Procrustes
1156,0.0,SSE Procrustes
1163,0.0,SSE Procrustes
1170,0.0,SSE Procrustes
1177,0.0,SSE Procrustes
1184,0.0,SSE Procrustes
1191,0.0,SSE Procrustes
1198,0.0,SSE Procrustes
1205,0.0,SSE Procrustes
1212,0.0,SSE Procrustes
1219,0.0,SSE Procrustes
1226,0.0,SSE Procrustes
1233,0.0,SSE Procrustes
1240,0.0,SSE Procrustes
1247,0.0,SSE Procrustes
1254,0.0,SSE Procrustes
1261,0.0,SSE Procrustes
1268,0.0,SSE Procrustes
1275,0.0,SSE Procrustes
1282,0.0,SSE Procrustes
1289,0.0,SSE Procrustes
1296,0.0,SSE Procrustes
1303,0.0,SSE Procrustes
1310,0.0,SSE Procrustes
1317,0.0,SSE Procrustes
1324,0.0,SSE Procrustes
1331,0.0,SSE Procrustes
1338,0.0,SSE Procrustes
1345,0.0,SSE Procrustes
1352,0.0,SSE Procrustes
1359,0.0,SSE Procrustes
1366,0.0,SSE Procrustes
1373,0.0,SSE Procrustes
1380,0.0,SSE Procrustes
1387,0.0,SSE Procrustes
1394,0.0,SSE Procrustes
