,p_hat,method
0,0.014,UASE
3,0.125,UASE
6,0.257,UASE
9,0.191,UASE
12,0.44,UASE
15,0.023,UASE
18,0.017,UASE
21,0.431,UASE
24,0.146,UASE
27,0.0,UASE
30,0.387,UASE
33,0.109,UASE
36,0.022,UASE
39,0.003,UASE
42,0.22,UASE
45,0.357,UASE
48,0.035,UASE
51,0.419,UASE
54,0.279,UASE
57,0.333,UASE
60,0.271,UASE
63,0.243,UASE
66,0.078,UASE
69,0.762,UASE
72,0.337,UASE
75,0.177,UASE
78,0.977,UASE
81,0.363,UASE
84,0.244,UASE
87,0.06,UASE
90,0.968,UASE
93,0.46900000000000003,UASE
96,0.47500000000000003,UASE
99,0.684,UASE
102,0.307,UASE
105,0.091,UASE
108,0.217,UASE
111,0.9,UASE
114,0.111,UASE
117,0.15,UASE
120,0.767,UASE
123,0.003,UASE
126,0.043000000000000003,UASE
129,0.023,UASE
132,0.8220000000000001,UASE
135,0.5710000000000001,UASE
138,0.051000000000000004,UASE
141,0.357,UASE
144,0.461,UASE
147,0.518,UASE
150,0.447,UASE
153,0.358,UASE
156,0.059000000000000004,UASE
159,0.23500000000000001,UASE
162,0.34,UASE
165,0.091,UASE
168,0.537,UASE
171,0.47300000000000003,UASE
174,0.9460000000000001,UASE
177,0.546,UASE
180,0.996,UASE
183,0.92,UASE
186,0.274,UASE
189,0.056,UASE
192,0.155,UASE
195,0.11900000000000001,UASE
198,0.47500000000000003,UASE
201,0.436,UASE
204,0.431,UASE
207,0.001,UASE
210,0.886,UASE
213,0.632,UASE
216,0.153,UASE
219,0.868,UASE
222,0.22,UASE
225,0.272,UASE
228,0.08,UASE
231,0.01,UASE
234,0.377,UASE
237,0.046,UASE
240,0.867,UASE
243,0.359,UASE
246,0.197,UASE
249,0.057,UASE
252,0.878,UASE
255,0.098,UASE
258,0.793,UASE
261,0.915,UASE
264,0.261,UASE
267,0.091,UASE
270,0.058,UASE
273,0.044,UASE
276,0.202,UASE
279,0.40900000000000003,UASE
282,0.029,UASE
285,0.192,UASE
288,0.677,UASE
291,0.681,UASE
294,0.8300000000000001,UASE
297,0.11900000000000001,UASE
300,0.485,UASE
303,0.075,UASE
306,0.722,UASE
309,0.097,UASE
312,0.045,UASE
315,0.136,UASE
318,0.758,UASE
321,0.107,UASE
324,0.392,UASE
327,0.06,UASE
330,0.153,UASE
333,0.014,UASE
336,0.586,UASE
339,0.853,UASE
342,0.678,UASE
345,0.096,UASE
348,0.261,UASE
351,0.023,UASE
354,0.199,UASE
357,0.768,UASE
360,0.858,UASE
363,0.035,UASE
366,0.27,UASE
369,0.049,UASE
372,0.131,UASE
375,0.733,UASE
378,0.17300000000000001,UASE
381,0.202,UASE
384,0.274,UASE
387,0.084,UASE
390,0.618,UASE
393,0.9,UASE
396,0.323,UASE
399,0.533,UASE
402,0.971,UASE
405,0.176,UASE
408,0.317,UASE
411,0.794,UASE
414,0.036000000000000004,UASE
417,0.751,UASE
420,0.914,UASE
423,0.359,UASE
426,0.244,UASE
429,0.20500000000000002,UASE
432,0.617,UASE
435,0.267,UASE
438,0.795,UASE
441,0.052000000000000005,UASE
444,0.29,UASE
447,0.989,UASE
450,0.548,UASE
453,0.329,UASE
456,0.047,UASE
459,0.396,UASE
462,0.516,UASE
465,0.017,UASE
468,0.081,UASE
471,0.372,UASE
474,0.068,UASE
477,0.169,UASE
480,0.223,UASE
483,0.027,UASE
486,0.791,UASE
489,0.365,UASE
492,0.376,UASE
495,0.891,UASE
498,0.233,UASE
501,0.672,UASE
504,0.846,UASE
507,0.23600000000000002,UASE
510,0.056,UASE
513,0.158,UASE
516,0.585,UASE
519,0.38,UASE
522,0.431,UASE
525,0.7030000000000001,UASE
528,0.032,UASE
531,0.486,UASE
534,0.123,UASE
537,0.123,UASE
540,0.373,UASE
543,0.543,UASE
546,0.672,UASE
549,0.73,UASE
552,0.561,UASE
555,0.353,UASE
558,0.988,UASE
561,0.841,UASE
564,0.843,UASE
567,0.281,UASE
570,0.389,UASE
573,0.115,UASE
576,0.595,UASE
579,0.495,UASE
582,0.359,UASE
585,0.061,UASE
588,0.081,UASE
591,0.061,UASE
594,0.653,UASE
597,0.635,UASE
