,p_hat,method
1,0.585,ULSE
4,0.14400000000000002,ULSE
7,0.2,ULSE
10,0.112,ULSE
13,0.501,ULSE
16,0.014,ULSE
19,0.0,ULSE
22,0.856,ULSE
25,0.463,ULSE
28,0.025,ULSE
31,0.002,ULSE
34,0.984,ULSE
37,0.094,ULSE
40,0.429,ULSE
43,0.41400000000000003,ULSE
46,0.036000000000000004,ULSE
49,0.007,ULSE
52,0.807,ULSE
55,0.178,ULSE
58,0.516,ULSE
61,0.874,ULSE
64,0.018000000000000002,ULSE
67,0.117,ULSE
70,0.026000000000000002,ULSE
73,0.401,ULSE
76,0.203,ULSE
79,0.9460000000000001,ULSE
82,0.431,ULSE
85,0.14,ULSE
88,0.041,ULSE
91,0.987,ULSE
94,0.394,ULSE
97,0.188,ULSE
100,0.836,ULSE
103,0.004,ULSE
106,0.258,ULSE
109,0.0,ULSE
112,0.671,ULSE
115,0.062,ULSE
118,0.048,ULSE
121,0.962,ULSE
124,0.047,ULSE
127,0.02,ULSE
130,0.048,ULSE
133,0.674,ULSE
136,0.801,ULSE
139,0.083,ULSE
142,0.787,ULSE
145,0.8260000000000001,ULSE
148,0.14200000000000002,ULSE
151,0.14400000000000002,ULSE
154,0.338,ULSE
157,0.038,ULSE
160,0.201,ULSE
163,0.265,ULSE
166,0.131,ULSE
169,0.278,ULSE
172,0.004,ULSE
175,0.804,ULSE
178,0.022,ULSE
181,0.52,ULSE
184,0.001,ULSE
187,0.611,ULSE
190,0.057,ULSE
193,0.14300000000000002,ULSE
196,0.128,ULSE
199,0.9390000000000001,ULSE
202,0.403,ULSE
205,0.785,ULSE
208,0.047,ULSE
211,0.459,ULSE
214,0.866,ULSE
217,0.11,ULSE
220,0.073,ULSE
223,0.048,ULSE
226,0.038,ULSE
229,0.262,ULSE
232,0.02,ULSE
235,0.097,ULSE
238,0.34,ULSE
241,0.246,ULSE
244,0.899,ULSE
247,0.083,ULSE
250,0.878,ULSE
253,0.838,ULSE
256,0.273,ULSE
259,0.863,ULSE
262,0.249,ULSE
265,0.301,ULSE
268,0.01,ULSE
271,0.021,ULSE
274,0.029,ULSE
277,0.792,ULSE
280,0.001,ULSE
283,0.8180000000000001,ULSE
286,0.08600000000000001,ULSE
289,0.291,ULSE
292,0.0,ULSE
295,0.199,ULSE
298,0.333,ULSE
301,0.53,ULSE
304,0.444,ULSE
307,0.496,ULSE
310,0.643,ULSE
313,0.014,ULSE
316,0.189,ULSE
319,0.004,ULSE
322,0.361,ULSE
325,0.338,ULSE
328,0.015,ULSE
331,0.252,ULSE
334,0.008,ULSE
337,0.85,ULSE
340,0.6900000000000001,ULSE
343,0.339,ULSE
346,0.036000000000000004,ULSE
349,0.398,ULSE
352,0.182,ULSE
355,0.809,ULSE
358,0.394,ULSE
361,0.385,ULSE
364,0.073,ULSE
367,0.662,ULSE
370,0.008,ULSE
373,0.621,ULSE
376,0.037,ULSE
379,0.488,ULSE
382,0.007,ULSE
385,0.02,ULSE
388,0.579,ULSE
391,0.037,ULSE
394,0.057,ULSE
397,0.044,ULSE
400,0.47200000000000003,ULSE
403,0.004,ULSE
406,0.52,ULSE
409,0.428,ULSE
412,0.863,ULSE
415,0.057,ULSE
418,0.668,ULSE
421,0.837,ULSE
424,0.262,ULSE
427,0.279,ULSE
430,0.027,ULSE
433,0.019,ULSE
436,0.438,ULSE
439,0.117,ULSE
442,0.155,ULSE
445,0.128,ULSE
448,0.033,ULSE
451,0.964,ULSE
454,0.027,ULSE
457,0.121,ULSE
460,0.12,ULSE
463,0.005,ULSE
466,0.155,ULSE
469,0.503,ULSE
472,0.394,ULSE
475,0.096,ULSE
478,0.377,ULSE
481,0.14300000000000002,ULSE
484,0.096,ULSE
487,0.033,ULSE
490,0.291,ULSE
493,0.08700000000000001,ULSE
496,0.508,ULSE
499,0.187,ULSE
502,0.936,ULSE
505,0.891,ULSE
508,0.045,ULSE
511,0.176,ULSE
514,0.082,ULSE
517,0.718,ULSE
520,0.012,ULSE
523,0.074,ULSE
526,0.5650000000000001,ULSE
529,0.001,ULSE
532,0.209,ULSE
535,0.059000000000000004,ULSE
538,0.20500000000000002,ULSE
541,0.375,ULSE
544,0.251,ULSE
547,0.074,ULSE
550,0.659,ULSE
553,0.001,ULSE
556,0.629,ULSE
559,0.726,ULSE
562,1.0,ULSE
565,0.632,ULSE
568,0.012,ULSE
571,0.096,ULSE
574,0.665,ULSE
577,0.08700000000000001,ULSE
580,0.516,ULSE
583,0.759,ULSE
586,0.02,ULSE
589,0.81,ULSE
592,0.629,ULSE
595,0.723,ULSE
598,0.085,ULSE
