,p_hat,method
2,0.24,URLSE
5,0.633,URLSE
8,0.0,URLSE
11,0.052000000000000005,URLSE
14,0.182,URLSE
17,0.035,URLSE
20,0.001,URLSE
23,0.185,URLSE
26,0.775,URLSE
29,0.015,URLSE
32,0.193,URLSE
35,0.7030000000000001,URLSE
38,0.028,URLSE
41,0.29,URLSE
44,0.599,URLSE
47,0.117,URLSE
50,0.061,URLSE
53,0.438,URLSE
56,0.021,URLSE
59,0.06,URLSE
62,0.856,URLSE
65,0.0,URLSE
68,0.633,URLSE
71,0.10400000000000001,URLSE
74,0.034,URLSE
77,0.424,URLSE
80,0.5690000000000001,URLSE
83,0.665,URLSE
86,0.298,URLSE
89,0.012,URLSE
92,0.96,URLSE
95,0.352,URLSE
98,0.002,URLSE
101,0.192,URLSE
104,0.004,URLSE
107,0.466,URLSE
110,0.001,URLSE
113,0.41300000000000003,URLSE
116,0.006,URLSE
119,0.492,URLSE
122,0.783,URLSE
125,0.446,URLSE
128,0.026000000000000002,URLSE
131,0.003,URLSE
134,0.779,URLSE
137,0.318,URLSE
140,0.10200000000000001,URLSE
143,0.028,URLSE
146,0.361,URLSE
149,0.096,URLSE
152,0.8320000000000001,URLSE
155,0.704,URLSE
158,0.529,URLSE
161,0.334,URLSE
164,0.724,URLSE
167,0.07200000000000001,URLSE
170,0.8240000000000001,URLSE
173,0.014,URLSE
176,0.987,URLSE
179,0.23900000000000002,URLSE
182,0.026000000000000002,URLSE
185,0.0,URLSE
188,0.025,URLSE
191,0.015,URLSE
194,0.5740000000000001,URLSE
197,0.8170000000000001,URLSE
200,0.359,URLSE
203,0.03,URLSE
206,0.34400000000000003,URLSE
209,0.121,URLSE
212,0.403,URLSE
215,0.846,URLSE
218,0.042,URLSE
221,0.224,URLSE
224,0.132,URLSE
227,0.215,URLSE
230,0.065,URLSE
233,0.012,URLSE
236,0.635,URLSE
239,0.115,URLSE
242,0.091,URLSE
245,0.561,URLSE
248,0.066,URLSE
251,0.314,URLSE
254,0.46900000000000003,URLSE
257,0.31,URLSE
260,0.42,URLSE
263,0.429,URLSE
266,0.099,URLSE
269,0.185,URLSE
272,0.331,URLSE
275,0.054,URLSE
278,0.625,URLSE
281,0.001,URLSE
284,0.005,URLSE
287,0.004,URLSE
290,0.053,URLSE
293,0.0,URLSE
296,0.365,URLSE
299,0.674,URLSE
302,0.378,URLSE
305,0.032,URLSE
308,0.458,URLSE
311,0.10200000000000001,URLSE
314,0.057,URLSE
317,0.18,URLSE
320,0.002,URLSE
323,0.591,URLSE
326,0.17,URLSE
329,0.067,URLSE
332,0.5,URLSE
335,0.0,URLSE
338,0.117,URLSE
341,0.756,URLSE
344,0.271,URLSE
347,0.007,URLSE
350,0.099,URLSE
353,0.296,URLSE
356,0.114,URLSE
359,0.977,URLSE
362,0.009000000000000001,URLSE
365,0.021,URLSE
368,0.356,URLSE
371,0.0,URLSE
374,0.079,URLSE
377,0.147,URLSE
380,0.305,URLSE
383,0.001,URLSE
386,0.369,URLSE
389,0.001,URLSE
392,0.042,URLSE
395,0.021,URLSE
398,0.007,URLSE
401,0.003,URLSE
404,0.02,URLSE
407,0.01,URLSE
410,0.1,URLSE
413,0.735,URLSE
416,0.002,URLSE
419,0.006,URLSE
422,0.374,URLSE
425,0.011,URLSE
428,0.368,URLSE
431,0.178,URLSE
434,0.017,URLSE
437,0.145,URLSE
440,0.065,URLSE
443,0.093,URLSE
446,0.772,URLSE
449,0.052000000000000005,URLSE
452,0.40700000000000003,URLSE
455,0.326,URLSE
458,0.009000000000000001,URLSE
461,0.137,URLSE
464,0.001,URLSE
467,0.007,URLSE
470,0.837,URLSE
473,0.322,URLSE
476,0.28800000000000003,URLSE
479,0.619,URLSE
482,0.309,URLSE
485,0.017,URLSE
488,0.08600000000000001,URLSE
491,0.456,URLSE
494,0.122,URLSE
497,0.849,URLSE
500,0.027,URLSE
503,0.897,URLSE
506,0.5630000000000001,URLSE
509,0.004,URLSE
512,0.082,URLSE
515,0.116,URLSE
518,0.769,URLSE
521,0.004,URLSE
524,0.017,URLSE
527,0.887,URLSE
530,0.0,URLSE
533,0.498,URLSE
536,0.425,URLSE
539,0.002,URLSE
542,0.557,URLSE
545,0.203,URLSE
548,0.005,URLSE
551,0.932,URLSE
554,0.0,URLSE
557,0.81,URLSE
560,0.882,URLSE
563,0.936,URLSE
566,0.986,URLSE
569,0.007,URLSE
572,0.484,URLSE
575,0.777,URLSE
578,0.393,URLSE
581,0.163,URLSE
584,0.242,URLSE
587,0.058,URLSE
590,0.549,URLSE
593,0.22,URLSE
596,0.27,URLSE
599,0.001,URLSE
