,p_hat,method
6,0.784,Unfolded Node2Vec
13,0.34400000000000003,Unfolded Node2Vec
20,0.138,Unfolded Node2Vec
27,0.092,Unfolded Node2Vec
34,0.361,Unfolded Node2Vec
41,0.11,Unfolded Node2Vec
48,0.53,Unfolded Node2Vec
55,0.096,Unfolded Node2Vec
62,0.841,Unfolded Node2Vec
69,0.032,Unfolded Node2Vec
76,0.481,Unfolded Node2Vec
83,0.809,Unfolded Node2Vec
90,0.354,Unfolded Node2Vec
97,0.668,Unfolded Node2Vec
104,0.501,Unfolded Node2Vec
111,0.08,Unfolded Node2Vec
118,0.995,Unfolded Node2Vec
125,0.921,Unfolded Node2Vec
132,0.65,Unfolded Node2Vec
139,0.482,Unfolded Node2Vec
146,0.772,Unfolded Node2Vec
153,0.505,Unfolded Node2Vec
160,0.082,Unfolded Node2Vec
167,0.81,Unfolded Node2Vec
174,0.544,Unfolded Node2Vec
181,0.587,Unfolded Node2Vec
188,0.001,Unfolded Node2Vec
195,0.8270000000000001,Unfolded Node2Vec
202,0.067,Unfolded Node2Vec
209,0.618,Unfolded Node2Vec
216,0.068,Unfolded Node2Vec
223,0.47900000000000004,Unfolded Node2Vec
230,0.894,Unfolded Node2Vec
237,0.23,Unfolded Node2Vec
244,0.41400000000000003,Unfolded Node2Vec
251,0.064,Unfolded Node2Vec
258,0.922,Unfolded Node2Vec
265,0.108,Unfolded Node2Vec
272,0.78,Unfolded Node2Vec
279,0.035,Unfolded Node2Vec
286,0.6910000000000001,Unfolded Node2Vec
293,0.665,Unfolded Node2Vec
300,0.161,Unfolded Node2Vec
307,0.4,Unfolded Node2Vec
314,0.491,Unfolded Node2Vec
321,0.251,Unfolded Node2Vec
328,0.04,Unfolded Node2Vec
335,0.532,Unfolded Node2Vec
342,0.14100000000000001,Unfolded Node2Vec
349,0.672,Unfolded Node2Vec
356,0.241,Unfolded Node2Vec
363,0.8220000000000001,Unfolded Node2Vec
370,0.105,Unfolded Node2Vec
377,0.382,Unfolded Node2Vec
384,0.036000000000000004,Unfolded Node2Vec
391,0.0,Unfolded Node2Vec
398,0.0,Unfolded Node2Vec
405,0.647,Unfolded Node2Vec
412,0.467,Unfolded Node2Vec
419,0.491,Unfolded Node2Vec
426,0.786,Unfolded Node2Vec
433,0.9590000000000001,Unfolded Node2Vec
440,0.292,Unfolded Node2Vec
447,0.019,Unfolded Node2Vec
454,0.805,Unfolded Node2Vec
461,0.438,Unfolded Node2Vec
468,0.503,Unfolded Node2Vec
475,0.23900000000000002,Unfolded Node2Vec
482,0.044,Unfolded Node2Vec
489,0.861,Unfolded Node2Vec
496,0.29,Unfolded Node2Vec
503,0.759,Unfolded Node2Vec
510,0.081,Unfolded Node2Vec
517,0.773,Unfolded Node2Vec
524,0.905,Unfolded Node2Vec
531,0.403,Unfolded Node2Vec
538,0.07,Unfolded Node2Vec
545,0.858,Unfolded Node2Vec
552,0.738,Unfolded Node2Vec
559,0.038,Unfolded Node2Vec
566,0.197,Unfolded Node2Vec
573,0.196,Unfolded Node2Vec
580,0.342,Unfolded Node2Vec
587,0.318,Unfolded Node2Vec
594,0.518,Unfolded Node2Vec
601,0.49,Unfolded Node2Vec
608,0.40800000000000003,Unfolded Node2Vec
615,0.043000000000000003,Unfolded Node2Vec
622,0.007,Unfolded Node2Vec
629,0.742,Unfolded Node2Vec
636,0.158,Unfolded Node2Vec
643,0.025,Unfolded Node2Vec
650,0.308,Unfolded Node2Vec
657,0.002,Unfolded Node2Vec
664,0.089,Unfolded Node2Vec
671,0.26,Unfolded Node2Vec
678,0.125,Unfolded Node2Vec
685,0.035,Unfolded Node2Vec
692,0.382,Unfolded Node2Vec
