,p_hat,method
2,0.001,OMNI
9,0.216,OMNI
16,0.23500000000000001,OMNI
23,0.536,OMNI
30,0.47100000000000003,OMNI
37,0.002,OMNI
44,0.27,OMNI
51,0.001,OMNI
58,0.006,OMNI
65,0.202,OMNI
72,0.007,OMNI
79,0.006,OMNI
86,0.001,OMNI
93,0.069,OMNI
100,0.065,OMNI
107,0.194,OMNI
114,0.024,OMNI
121,0.529,OMNI
128,0.485,OMNI
135,0.0,OMNI
142,0.004,OMNI
149,0.002,OMNI
156,0.002,OMNI
163,0.051000000000000004,OMNI
170,0.0,OMNI
177,0.012,OMNI
184,0.641,OMNI
191,0.128,OMNI
198,0.011,OMNI
205,0.013000000000000001,OMNI
212,0.11900000000000001,OMNI
219,0.049,OMNI
226,0.451,OMNI
233,0.077,OMNI
240,0.609,OMNI
247,0.08600000000000001,OMNI
254,0.0,OMNI
261,0.0,OMNI
268,0.033,OMNI
275,0.177,OMNI
282,0.003,OMNI
289,0.0,OMNI
296,0.015,OMNI
303,0.008,OMNI
310,0.096,OMNI
317,0.07100000000000001,OMNI
324,0.133,OMNI
331,0.0,OMNI
338,0.005,OMNI
345,0.0,OMNI
352,0.017,OMNI
359,0.002,OMNI
366,0.607,OMNI
373,0.006,OMNI
380,0.019,OMNI
387,0.8200000000000001,OMNI
394,0.0,OMNI
401,0.006,OMNI
408,0.022,OMNI
415,0.01,OMNI
422,0.39,OMNI
429,0.0,OMNI
436,0.041,OMNI
443,0.121,OMNI
450,0.078,OMNI
457,0.629,OMNI
464,0.496,OMNI
471,0.085,OMNI
478,0.003,OMNI
485,0.165,OMNI
492,0.036000000000000004,OMNI
499,0.07200000000000001,OMNI
506,0.0,OMNI
513,0.002,OMNI
520,0.0,OMNI
527,0.8,OMNI
534,0.028,OMNI
541,0.0,OMNI
548,0.642,OMNI
555,0.255,OMNI
562,0.105,OMNI
569,0.0,OMNI
576,0.0,OMNI
583,0.006,OMNI
590,0.633,OMNI
597,0.014,OMNI
604,0.013000000000000001,OMNI
611,0.0,OMNI
618,0.294,OMNI
625,0.01,OMNI
632,0.006,OMNI
639,0.06,OMNI
646,0.023,OMNI
653,0.0,OMNI
660,0.022,OMNI
667,0.002,OMNI
674,0.655,OMNI
681,0.0,OMNI
688,0.0,OMNI
695,0.012,OMNI
702,0.28800000000000003,OMNI
709,0.739,OMNI
716,0.001,OMNI
723,0.031,OMNI
730,0.255,OMNI
737,0.0,OMNI
744,0.0,OMNI
751,0.599,OMNI
758,0.004,OMNI
765,0.012,OMNI
772,0.036000000000000004,OMNI
779,0.0,OMNI
786,0.149,OMNI
793,0.008,OMNI
800,0.052000000000000005,OMNI
807,0.028,OMNI
814,0.02,OMNI
821,0.036000000000000004,OMNI
828,0.037,OMNI
835,0.0,OMNI
842,0.681,OMNI
849,0.041,OMNI
856,0.009000000000000001,OMNI
863,0.012,OMNI
870,0.0,OMNI
877,0.002,OMNI
884,0.007,OMNI
891,0.008,OMNI
898,0.2,OMNI
905,0.008,OMNI
912,0.023,OMNI
919,0.025,OMNI
926,0.005,OMNI
933,0.116,OMNI
940,0.429,OMNI
947,0.004,OMNI
954,0.0,OMNI
961,0.671,OMNI
968,0.771,OMNI
975,0.105,OMNI
982,0.0,OMNI
989,0.34900000000000003,OMNI
996,0.017,OMNI
1003,0.021,OMNI
1010,0.027,OMNI
1017,0.607,OMNI
1024,0.40700000000000003,OMNI
1031,0.08700000000000001,OMNI
1038,0.068,OMNI
1045,0.733,OMNI
1052,0.011,OMNI
1059,0.013000000000000001,OMNI
1066,0.0,OMNI
1073,0.047,OMNI
1080,0.001,OMNI
1087,0.0,OMNI
1094,0.0,OMNI
1101,0.002,OMNI
1108,0.533,OMNI
1115,0.033,OMNI
1122,0.494,OMNI
1129,0.0,OMNI
1136,0.023,OMNI
1143,0.0,OMNI
1150,0.027,OMNI
1157,0.0,OMNI
1164,0.018000000000000002,OMNI
1171,0.004,OMNI
1178,0.031,OMNI
1185,0.146,OMNI
1192,0.0,OMNI
1199,0.674,OMNI
1206,0.026000000000000002,OMNI
1213,0.0,OMNI
1220,0.011,OMNI
1227,0.001,OMNI
1234,0.003,OMNI
1241,0.018000000000000002,OMNI
1248,0.0,OMNI
1255,0.036000000000000004,OMNI
1262,0.0,OMNI
1269,0.224,OMNI
1276,0.005,OMNI
1283,0.765,OMNI
1290,0.002,OMNI
1297,0.001,OMNI
1304,0.004,OMNI
1311,0.224,OMNI
1318,0.008,OMNI
1325,0.733,OMNI
1332,0.008,OMNI
1339,0.224,OMNI
1346,0.273,OMNI
1353,0.0,OMNI
1360,0.0,OMNI
1367,0.005,OMNI
1374,0.062,OMNI
1381,0.023,OMNI
1388,0.001,OMNI
1395,0.063,OMNI
