,p_hat,method
0,0.0,SSE
7,0.0,SSE
14,0.0,SSE
21,0.0,SSE
28,0.0,SSE
35,0.0,SSE
42,0.0,SSE
49,0.0,SSE
56,0.0,SSE
63,0.0,SSE
70,0.0,SSE
77,0.0,SSE
84,0.0,SSE
91,0.0,SSE
98,0.0,SSE
105,0.0,SSE
112,0.0,SSE
119,0.0,SSE
126,0.0,SSE
133,0.0,SSE
140,0.0,SSE
147,0.0,SSE
154,0.0,SSE
161,0.0,SSE
168,0.0,SSE
175,0.0,SSE
182,0.0,SSE
189,0.0,SSE
196,0.0,SSE
203,0.0,SSE
210,0.0,SSE
217,0.0,SSE
224,0.0,SSE
231,0.0,SSE
238,0.0,SSE
245,0.0,SSE
252,0.0,SSE
259,0.0,SSE
266,0.0,SSE
273,0.0,SSE
280,0.0,SSE
287,0.0,SSE
294,0.0,SSE
301,0.0,SSE
308,0.0,SSE
315,0.0,SSE
322,0.0,SSE
329,0.0,SSE
336,0.0,SSE
343,0.0,SSE
350,0.0,SSE
357,0.0,SSE
364,0.0,SSE
371,0.0,SSE
378,0.0,SSE
385,0.0,SSE
392,0.0,SSE
399,0.0,SSE
406,0.0,SSE
413,0.0,SSE
420,0.0,SSE
427,0.0,SSE
434,0.0,SSE
441,0.0,SSE
448,0.0,SSE
455,0.0,SSE
462,0.0,SSE
469,0.0,SSE
476,0.0,SSE
483,0.0,SSE
490,0.0,SSE
497,0.0,SSE
504,0.0,SSE
511,0.0,SSE
518,0.0,SSE
525,0.0,SSE
532,0.0,SSE
539,0.0,SSE
546,0.0,SSE
553,0.0,SSE
560,0.0,SSE
567,0.0,SSE
574,0.0,SSE
581,0.0,SSE
588,0.0,SSE
595,0.0,SSE
602,0.0,SSE
609,0.0,SSE
616,0.0,SSE
623,0.0,SSE
630,0.0,SSE
637,0.0,SSE
644,0.0,SSE
651,0.0,SSE
658,0.0,SSE
665,0.0,SSE
672,0.0,SSE
679,0.0,SSE
686,0.0,SSE
693,0.0,SSE
700,0.0,SSE
707,0.0,SSE
714,0.0,SSE
721,0.0,SSE
728,0.0,SSE
735,0.0,SSE
742,0.0,SSE
749,0.0,SSE
756,0.0,SSE
763,0.0,SSE
770,0.0,SSE
777,0.0,SSE
784,0.0,SSE
791,0.0,SSE
798,0.0,SSE
805,0.0,SSE
812,0.0,SSE
819,0.0,SSE
826,0.0,SSE
833,0.0,SSE
840,0.0,SSE
847,0.0,SSE
854,0.0,SSE
861,0.0,SSE
868,0.0,SSE
875,0.0,SSE
882,0.0,SSE
889,0.0,SSE
896,0.0,SSE
903,0.0,SSE
910,0.0,SSE
917,0.0,SSE
924,0.0,SSE
931,0.0,SSE
938,0.0,SSE
945,0.0,SSE
952,0.0,SSE
959,0.0,SSE
966,0.0,SSE
973,0.0,SSE
980,0.0,SSE
987,0.0,SSE
994,0.0,SSE
1001,0.0,SSE
1008,0.0,SSE
1015,0.0,SSE
1022,0.0,SSE
1029,0.0,SSE
1036,0.0,SSE
1043,0.0,SSE
1050,0.0,SSE
1057,0.0,SSE
1064,0.0,SSE
1071,0.0,SSE
1078,0.0,SSE
1085,0.0,SSE
1092,0.0,SSE
1099,0.0,SSE
1106,0.0,SSE
1113,0.0,SSE
1120,0.0,SSE
1127,0.0,SSE
1134,0.0,SSE
1141,0.0,SSE
1148,0.0,SSE
1155,0.0,SSE
1162,0.0,SSE
1169,0.0,SSE
1176,0.0,SSE
1183,0.0,SSE
1190,0.0,SSE
1197,0.0,SSE
1204,0.0,SSE
1211,0.0,SSE
1218,0.0,SSE
1225,0.0,SSE
1232,0.0,SSE
1239,0.0,SSE
1246,0.0,SSE
1253,0.0,SSE
1260,0.0,SSE
1267,0.0,SSE
1274,0.0,SSE
1281,0.0,SSE
1288,0.0,SSE
1295,0.0,SSE
1302,0.0,SSE
1309,0.0,SSE
1316,0.0,SSE
1323,0.0,SSE
1330,0.0,SSE
1337,0.0,SSE
1344,0.0,SSE
1351,0.0,SSE
1358,0.0,SSE
1365,0.0,SSE
1372,0.0,SSE
1379,0.0,SSE
1386,0.0,SSE
1393,0.0,SSE
