,p_hat,method
3,0.0,UASE
10,0.41300000000000003,UASE
17,0.025,UASE
24,0.0,UASE
31,0.07200000000000001,UASE
38,0.0,UASE
45,0.0,UASE
52,0.0,UASE
59,0.0,UASE
66,0.0,UASE
73,0.0,UASE
80,0.0,UASE
87,0.0,UASE
94,0.0,UASE
101,0.0,UASE
108,0.001,UASE
115,0.0,UASE
122,0.001,UASE
129,0.033,UASE
136,0.0,UASE
143,0.0,UASE
150,0.0,UASE
157,0.0,UASE
164,0.0,UASE
171,0.0,UASE
178,0.0,UASE
185,0.001,UASE
192,0.0,UASE
199,0.0,UASE
206,0.0,UASE
213,0.0,UASE
220,0.017,UASE
227,0.23500000000000001,UASE
234,0.0,UASE
241,0.002,UASE
248,0.012,UASE
255,0.0,UASE
262,0.0,UASE
269,0.0,UASE
276,0.0,UASE
283,0.001,UASE
290,0.0,UASE
297,0.11800000000000001,UASE
304,0.0,UASE
311,0.0,UASE
318,0.0,UASE
325,0.0,UASE
332,0.0,UASE
339,0.0,UASE
346,0.0,UASE
353,0.0,UASE
360,0.0,UASE
367,0.401,UASE
374,0.0,UASE
381,0.0,UASE
388,0.044,UASE
395,0.0,UASE
402,0.0,UASE
409,0.0,UASE
416,0.0,UASE
423,0.192,UASE
430,0.0,UASE
437,0.0,UASE
444,0.0,UASE
451,0.0,UASE
458,0.022,UASE
465,0.015,UASE
472,0.001,UASE
479,0.003,UASE
486,0.015,UASE
493,0.0,UASE
500,0.0,UASE
507,0.0,UASE
514,0.265,UASE
521,0.008,UASE
528,0.002,UASE
535,0.0,UASE
542,0.0,UASE
549,0.006,UASE
556,0.0,UASE
563,0.001,UASE
570,0.0,UASE
577,0.0,UASE
584,0.0,UASE
591,0.195,UASE
598,0.009000000000000001,UASE
605,0.0,UASE
612,0.0,UASE
619,0.007,UASE
626,0.0,UASE
633,0.0,UASE
640,0.0,UASE
647,0.0,UASE
654,0.0,UASE
661,0.0,UASE
668,0.001,UASE
675,0.312,UASE
682,0.0,UASE
689,0.0,UASE
696,0.0,UASE
703,0.0,UASE
710,0.001,UASE
717,0.0,UASE
724,0.007,UASE
731,0.156,UASE
738,0.0,UASE
745,0.0,UASE
752,0.018000000000000002,UASE
759,0.0,UASE
766,0.0,UASE
773,0.0,UASE
780,0.0,UASE
787,0.0,UASE
794,0.0,UASE
801,0.0,UASE
808,0.0,UASE
815,0.0,UASE
822,0.0,UASE
829,0.0,UASE
836,0.0,UASE
843,0.088,UASE
850,0.454,UASE
857,0.0,UASE
864,0.003,UASE
871,0.0,UASE
878,0.0,UASE
885,0.047,UASE
892,0.0,UASE
899,0.0,UASE
906,0.0,UASE
913,0.0,UASE
920,0.0,UASE
927,0.045,UASE
934,0.0,UASE
941,0.004,UASE
948,0.0,UASE
955,0.0,UASE
962,0.005,UASE
969,0.006,UASE
976,0.0,UASE
983,0.0,UASE
990,0.088,UASE
997,0.0,UASE
1004,0.0,UASE
1011,0.0,UASE
1018,0.007,UASE
1025,0.0,UASE
1032,0.486,UASE
1039,0.062,UASE
1046,0.015,UASE
1053,0.0,UASE
1060,0.0,UASE
1067,0.0,UASE
1074,0.0,UASE
1081,0.017,UASE
1088,0.0,UASE
1095,0.0,UASE
1102,0.0,UASE
1109,0.0,UASE
1116,0.0,UASE
1123,0.037,UASE
1130,0.0,UASE
1137,0.0,UASE
1144,0.0,UASE
1151,0.0,UASE
1158,0.0,UASE
1165,0.0,UASE
1172,0.0,UASE
1179,0.0,UASE
1186,0.157,UASE
1193,0.0,UASE
1200,0.06,UASE
1207,0.0,UASE
1214,0.0,UASE
1221,0.0,UASE
1228,0.0,UASE
1235,0.007,UASE
1242,0.0,UASE
1249,0.0,UASE
1256,0.0,UASE
1263,0.0,UASE
1270,0.273,UASE
1277,0.0,UASE
1284,0.046,UASE
1291,0.0,UASE
1298,0.0,UASE
1305,0.0,UASE
1312,0.038,UASE
1319,0.0,UASE
1326,0.014,UASE
1333,0.0,UASE
1340,0.005,UASE
1347,0.0,UASE
1354,0.0,UASE
1361,0.0,UASE
1368,0.0,UASE
1375,0.001,UASE
1382,0.0,UASE
1389,0.0,UASE
1396,0.0,UASE
