,p_hat,method
4,0.003,URLSE
11,0.342,URLSE
18,0.149,URLSE
25,0.0,URLSE
32,0.909,URLSE
39,0.0,URLSE
46,0.062,URLSE
53,0.088,URLSE
60,0.016,URLSE
67,0.001,URLSE
74,0.221,URLSE
81,0.101,URLSE
88,0.007,URLSE
95,0.005,URLSE
102,0.012,URLSE
109,0.179,URLSE
116,0.002,URLSE
123,0.026000000000000002,URLSE
130,0.035,URLSE
137,0.004,URLSE
144,0.021,URLSE
151,0.0,URLSE
158,0.069,URLSE
165,0.032,URLSE
172,0.497,URLSE
179,0.005,URLSE
186,0.202,URLSE
193,0.001,URLSE
200,0.026000000000000002,URLSE
207,0.294,URLSE
214,0.101,URLSE
221,0.008,URLSE
228,0.198,URLSE
235,0.159,URLSE
242,0.022,URLSE
249,0.053,URLSE
256,0.0,URLSE
263,0.012,URLSE
270,0.008,URLSE
277,0.336,URLSE
284,0.223,URLSE
291,0.095,URLSE
298,0.015,URLSE
305,0.053,URLSE
312,0.068,URLSE
319,0.11900000000000001,URLSE
326,0.004,URLSE
333,0.019,URLSE
340,0.0,URLSE
347,0.0,URLSE
354,0.007,URLSE
361,0.047,URLSE
368,0.47500000000000003,URLSE
375,0.056,URLSE
382,0.057,URLSE
389,0.321,URLSE
396,0.001,URLSE
403,0.176,URLSE
410,0.14200000000000002,URLSE
417,0.017,URLSE
424,0.321,URLSE
431,0.094,URLSE
438,0.0,URLSE
445,0.066,URLSE
452,0.108,URLSE
459,0.27,URLSE
466,0.187,URLSE
473,0.177,URLSE
480,0.096,URLSE
487,0.965,URLSE
494,0.0,URLSE
501,0.054,URLSE
508,0.68,URLSE
515,0.746,URLSE
522,0.012,URLSE
529,0.0,URLSE
536,0.234,URLSE
543,0.785,URLSE
550,0.154,URLSE
557,0.006,URLSE
564,0.274,URLSE
571,0.0,URLSE
578,0.032,URLSE
585,0.015,URLSE
592,0.184,URLSE
599,0.013000000000000001,URLSE
606,0.17400000000000002,URLSE
613,0.002,URLSE
620,0.109,URLSE
627,0.046,URLSE
634,0.325,URLSE
641,0.014,URLSE
648,0.0,URLSE
655,0.037,URLSE
662,0.054,URLSE
669,0.262,URLSE
676,0.526,URLSE
683,0.012,URLSE
690,0.109,URLSE
697,0.01,URLSE
704,0.004,URLSE
711,0.012,URLSE
718,0.005,URLSE
725,0.244,URLSE
732,0.14,URLSE
739,0.0,URLSE
746,0.054,URLSE
753,0.201,URLSE
760,0.014,URLSE
767,0.0,URLSE
774,0.003,URLSE
781,0.0,URLSE
788,0.0,URLSE
795,0.0,URLSE
802,0.131,URLSE
809,0.051000000000000004,URLSE
816,0.684,URLSE
823,0.064,URLSE
830,0.0,URLSE
837,0.215,URLSE
844,0.273,URLSE
851,0.228,URLSE
858,0.019,URLSE
865,0.018000000000000002,URLSE
872,0.09,URLSE
879,0.036000000000000004,URLSE
886,0.03,URLSE
893,0.004,URLSE
900,0.001,URLSE
907,0.0,URLSE
914,0.069,URLSE
921,0.558,URLSE
928,0.177,URLSE
935,0.107,URLSE
942,0.034,URLSE
949,0.007,URLSE
956,0.0,URLSE
963,0.334,URLSE
970,0.022,URLSE
977,0.002,URLSE
984,0.004,URLSE
991,0.093,URLSE
998,0.0,URLSE
1005,0.20400000000000001,URLSE
1012,0.512,URLSE
1019,0.009000000000000001,URLSE
1026,0.383,URLSE
1033,0.843,URLSE
1040,0.369,URLSE
1047,0.194,URLSE
1054,0.17200000000000001,URLSE
1061,0.527,URLSE
1068,0.0,URLSE
1075,0.388,URLSE
1082,0.0,URLSE
1089,0.114,URLSE
1096,0.163,URLSE
1103,0.028,URLSE
1110,0.234,URLSE
1117,0.0,URLSE
1124,0.014,URLSE
1131,0.035,URLSE
1138,0.0,URLSE
1145,0.0,URLSE
1152,0.0,URLSE
1159,0.014,URLSE
1166,0.083,URLSE
1173,0.079,URLSE
1180,0.059000000000000004,URLSE
1187,0.05,URLSE
1194,0.004,URLSE
1201,0.008,URLSE
1208,0.0,URLSE
1215,0.133,URLSE
1222,0.0,URLSE
1229,0.0,URLSE
1236,0.0,URLSE
1243,0.319,URLSE
1250,0.012,URLSE
1257,0.005,URLSE
1264,0.0,URLSE
1271,0.078,URLSE
1278,0.0,URLSE
1285,0.0,URLSE
1292,0.459,URLSE
1299,0.008,URLSE
1306,0.0,URLSE
1313,0.089,URLSE
1320,0.162,URLSE
1327,0.191,URLSE
1334,0.015,URLSE
1341,0.045,URLSE
1348,0.028,URLSE
1355,0.096,URLSE
1362,0.003,URLSE
1369,0.646,URLSE
1376,0.017,URLSE
1383,0.074,URLSE
1390,0.014,URLSE
1397,0.134,URLSE
