,p_hat,method
6,0.001,Unfolded Node2Vec
13,0.036000000000000004,Unfolded Node2Vec
20,0.0,Unfolded Node2Vec
27,0.022,Unfolded Node2Vec
34,0.066,Unfolded Node2Vec
41,0.011,Unfolded Node2Vec
48,0.0,Unfolded Node2Vec
55,0.036000000000000004,Unfolded Node2Vec
62,0.02,Unfolded Node2Vec
69,0.007,Unfolded Node2Vec
76,0.015,Unfolded Node2Vec
83,0.0,Unfolded Node2Vec
90,0.038,Unfolded Node2Vec
97,0.006,Unfolded Node2Vec
104,0.0,Unfolded Node2Vec
111,0.07100000000000001,Unfolded Node2Vec
118,0.033,Unfolded Node2Vec
125,0.20500000000000002,Unfolded Node2Vec
132,0.68,Unfolded Node2Vec
139,0.03,Unfolded Node2Vec
146,0.812,Unfolded Node2Vec
153,0.001,Unfolded Node2Vec
160,0.018000000000000002,Unfolded Node2Vec
167,0.0,Unfolded Node2Vec
174,0.002,Unfolded Node2Vec
181,0.011,Unfolded Node2Vec
188,0.0,Unfolded Node2Vec
195,0.0,Unfolded Node2Vec
202,0.146,Unfolded Node2Vec
209,0.07100000000000001,Unfolded Node2Vec
216,0.024,Unfolded Node2Vec
223,0.075,Unfolded Node2Vec
230,0.001,Unfolded Node2Vec
237,0.062,Unfolded Node2Vec
244,0.0,Unfolded Node2Vec
251,0.0,Unfolded Node2Vec
258,0.033,Unfolded Node2Vec
265,0.0,Unfolded Node2Vec
272,0.106,Unfolded Node2Vec
279,0.027,Unfolded Node2Vec
286,0.001,Unfolded Node2Vec
293,0.004,Unfolded Node2Vec
300,0.0,Unfolded Node2Vec
307,0.022,Unfolded Node2Vec
314,0.012,Unfolded Node2Vec
321,0.005,Unfolded Node2Vec
328,0.002,Unfolded Node2Vec
335,0.007,Unfolded Node2Vec
342,0.002,Unfolded Node2Vec
349,0.47400000000000003,Unfolded Node2Vec
356,0.006,Unfolded Node2Vec
363,0.008,Unfolded Node2Vec
370,0.064,Unfolded Node2Vec
377,0.032,Unfolded Node2Vec
384,0.049,Unfolded Node2Vec
391,0.195,Unfolded Node2Vec
398,0.024,Unfolded Node2Vec
405,0.02,Unfolded Node2Vec
412,0.053,Unfolded Node2Vec
419,0.002,Unfolded Node2Vec
426,0.01,Unfolded Node2Vec
433,0.02,Unfolded Node2Vec
440,0.04,Unfolded Node2Vec
447,0.004,Unfolded Node2Vec
454,0.02,Unfolded Node2Vec
461,0.023,Unfolded Node2Vec
468,0.0,Unfolded Node2Vec
475,0.59,Unfolded Node2Vec
482,0.423,Unfolded Node2Vec
489,0.16,Unfolded Node2Vec
496,0.018000000000000002,Unfolded Node2Vec
503,0.01,Unfolded Node2Vec
510,0.036000000000000004,Unfolded Node2Vec
517,0.135,Unfolded Node2Vec
524,0.929,Unfolded Node2Vec
531,0.0,Unfolded Node2Vec
538,0.01,Unfolded Node2Vec
545,0.017,Unfolded Node2Vec
552,0.012,Unfolded Node2Vec
559,0.40800000000000003,Unfolded Node2Vec
566,0.097,Unfolded Node2Vec
573,0.001,Unfolded Node2Vec
580,0.0,Unfolded Node2Vec
587,0.011,Unfolded Node2Vec
594,0.146,Unfolded Node2Vec
601,0.5650000000000001,Unfolded Node2Vec
608,0.038,Unfolded Node2Vec
615,0.015,Unfolded Node2Vec
622,0.64,Unfolded Node2Vec
629,0.003,Unfolded Node2Vec
636,0.0,Unfolded Node2Vec
643,0.022,Unfolded Node2Vec
650,0.733,Unfolded Node2Vec
657,0.006,Unfolded Node2Vec
664,0.001,Unfolded Node2Vec
671,0.001,Unfolded Node2Vec
678,0.061,Unfolded Node2Vec
685,0.065,Unfolded Node2Vec
692,0.028,Unfolded Node2Vec
699,0.137,Unfolded Node2Vec
706,0.0,Unfolded Node2Vec
713,0.011,Unfolded Node2Vec
720,0.0,Unfolded Node2Vec
727,0.008,Unfolded Node2Vec
734,0.001,Unfolded Node2Vec
741,0.015,Unfolded Node2Vec
748,0.009000000000000001,Unfolded Node2Vec
755,0.844,Unfolded Node2Vec
762,0.015,Unfolded Node2Vec
769,0.06,Unfolded Node2Vec
776,0.003,Unfolded Node2Vec
783,0.004,Unfolded Node2Vec
790,0.331,Unfolded Node2Vec
797,0.02,Unfolded Node2Vec
804,0.044,Unfolded Node2Vec
811,0.009000000000000001,Unfolded Node2Vec
818,0.056,Unfolded Node2Vec
825,0.025,Unfolded Node2Vec
832,0.032,Unfolded Node2Vec
839,0.064,Unfolded Node2Vec
846,0.032,Unfolded Node2Vec
853,0.254,Unfolded Node2Vec
860,0.026000000000000002,Unfolded Node2Vec
867,0.23600000000000002,Unfolded Node2Vec
874,0.019,Unfolded Node2Vec
881,0.028,Unfolded Node2Vec
888,0.009000000000000001,Unfolded Node2Vec
895,0.022,Unfolded Node2Vec
902,0.006,Unfolded Node2Vec
909,0.024,Unfolded Node2Vec
916,0.026000000000000002,Unfolded Node2Vec
923,0.011,Unfolded Node2Vec
930,0.0,Unfolded Node2Vec
937,0.004,Unfolded Node2Vec
944,0.044,Unfolded Node2Vec
951,0.009000000000000001,Unfolded Node2Vec
958,0.008,Unfolded Node2Vec
965,0.061,Unfolded Node2Vec
972,0.0,Unfolded Node2Vec
979,0.0,Unfolded Node2Vec
986,0.031,Unfolded Node2Vec
993,0.305,Unfolded Node2Vec
1000,0.052000000000000005,Unfolded Node2Vec
1007,0.034,Unfolded Node2Vec
1014,0.003,Unfolded Node2Vec
1021,0.0,Unfolded Node2Vec
1028,0.0,Unfolded Node2Vec
1035,0.044,Unfolded Node2Vec
1042,0.009000000000000001,Unfolded Node2Vec
1049,0.013000000000000001,Unfolded Node2Vec
1056,0.0,Unfolded Node2Vec
1063,0.07,Unfolded Node2Vec
1070,0.08600000000000001,Unfolded Node2Vec
1077,0.6960000000000001,Unfolded Node2Vec
1084,0.005,Unfolded Node2Vec
1091,0.018000000000000002,Unfolded Node2Vec
1098,0.004,Unfolded Node2Vec
1105,0.001,Unfolded Node2Vec
1112,0.0,Unfolded Node2Vec
1119,0.007,Unfolded Node2Vec
1126,0.027,Unfolded Node2Vec
1133,0.002,Unfolded Node2Vec
1140,0.132,Unfolded Node2Vec
1147,0.033,Unfolded Node2Vec
1154,0.0,Unfolded Node2Vec
1161,0.017,Unfolded Node2Vec
1168,0.214,Unfolded Node2Vec
1175,0.096,Unfolded Node2Vec
1182,0.003,Unfolded Node2Vec
1189,0.044,Unfolded Node2Vec
1196,0.057,Unfolded Node2Vec
1203,0.0,Unfolded Node2Vec
1210,0.0,Unfolded Node2Vec
1217,0.005,Unfolded Node2Vec
1224,0.02,Unfolded Node2Vec
1231,0.004,Unfolded Node2Vec
1238,0.002,Unfolded Node2Vec
1245,0.044,Unfolded Node2Vec
1252,0.005,Unfolded Node2Vec
1259,0.009000000000000001,Unfolded Node2Vec
1266,0.006,Unfolded Node2Vec
1273,0.036000000000000004,Unfolded Node2Vec
1280,0.002,Unfolded Node2Vec
1287,0.03,Unfolded Node2Vec
1294,0.043000000000000003,Unfolded Node2Vec
1301,0.003,Unfolded Node2Vec
1308,0.07200000000000001,Unfolded Node2Vec
1315,0.096,Unfolded Node2Vec
1322,0.019,Unfolded Node2Vec
1329,0.048,Unfolded Node2Vec
1336,0.015,Unfolded Node2Vec
1343,0.006,Unfolded Node2Vec
1350,0.002,Unfolded Node2Vec
1357,0.037,Unfolded Node2Vec
1364,0.029,Unfolded Node2Vec
1371,0.0,Unfolded Node2Vec
1378,0.056,Unfolded Node2Vec
1385,0.025,Unfolded Node2Vec
1392,0.011,Unfolded Node2Vec
1399,0.07100000000000001,Unfolded Node2Vec
