,p_hat,method
0,0.0,UASE
3,0.0,UASE
6,0.0,UASE
9,0.0,UASE
12,0.0,UASE
15,0.0,UASE
18,0.0,UASE
21,0.0,UASE
24,0.0,UASE
27,0.0,UASE
30,0.0,UASE
33,0.0,UASE
36,0.0,UASE
39,0.0,UASE
42,0.0,UASE
45,0.0,UASE
48,0.0,UASE
51,0.0,UASE
54,0.0,UASE
57,0.0,UASE
60,0.0,UASE
63,0.0,UASE
66,0.0,UASE
69,0.0,UASE
72,0.0,UASE
75,0.0,UASE
78,0.0,UASE
81,0.0,UASE
84,0.0,UASE
87,0.0,UASE
90,0.0,UASE
93,0.0,UASE
96,0.0,UASE
99,0.0,UASE
102,0.0,UASE
105,0.0,UASE
108,0.0,UASE
111,0.0,UASE
114,0.0,UASE
117,0.0,UASE
120,0.0,UASE
123,0.0,UASE
126,0.0,UASE
129,0.0,UASE
132,0.0,UASE
135,0.0,UASE
138,0.0,UASE
141,0.0,UASE
144,0.0,UASE
147,0.0,UASE
150,0.0,UASE
153,0.0,UASE
156,0.0,UASE
159,0.0,UASE
162,0.0,UASE
165,0.0,UASE
168,0.0,UASE
171,0.0,UASE
174,0.0,UASE
177,0.0,UASE
180,0.0,UASE
183,0.0,UASE
186,0.0,UASE
189,0.0,UASE
192,0.0,UASE
195,0.0,UASE
198,0.0,UASE
201,0.0,UASE
204,0.0,UASE
207,0.0,UASE
210,0.0,UASE
213,0.0,UASE
216,0.0,UASE
219,0.0,UASE
222,0.0,UASE
225,0.0,UASE
228,0.0,UASE
231,0.0,UASE
234,0.0,UASE
237,0.0,UASE
240,0.0,UASE
243,0.0,UASE
246,0.0,UASE
249,0.0,UASE
252,0.0,UASE
255,0.0,UASE
258,0.0,UASE
261,0.0,UASE
264,0.0,UASE
267,0.0,UASE
270,0.0,UASE
273,0.0,UASE
276,0.0,UASE
279,0.0,UASE
282,0.0,UASE
285,0.0,UASE
288,0.0,UASE
291,0.0,UASE
294,0.0,UASE
297,0.0,UASE
300,0.0,UASE
303,0.0,UASE
306,0.0,UASE
309,0.0,UASE
312,0.0,UASE
315,0.0,UASE
318,0.0,UASE
321,0.0,UASE
324,0.0,UASE
327,0.0,UASE
330,0.0,UASE
333,0.0,UASE
336,0.0,UASE
339,0.0,UASE
342,0.0,UASE
345,0.0,UASE
348,0.0,UASE
351,0.0,UASE
354,0.0,UASE
357,0.0,UASE
360,0.0,UASE
363,0.0,UASE
366,0.0,UASE
369,0.0,UASE
372,0.0,UASE
375,0.0,UASE
378,0.0,UASE
381,0.0,UASE
384,0.0,UASE
387,0.0,UASE
390,0.0,UASE
393,0.0,UASE
396,0.0,UASE
399,0.0,UASE
402,0.0,UASE
405,0.0,UASE
408,0.0,UASE
411,0.0,UASE
414,0.0,UASE
417,0.0,UASE
420,0.0,UASE
423,0.0,UASE
426,0.0,UASE
429,0.0,UASE
432,0.0,UASE
435,0.0,UASE
438,0.0,UASE
441,0.0,UASE
444,0.0,UASE
447,0.0,UASE
450,0.0,UASE
453,0.0,UASE
456,0.0,UASE
459,0.0,UASE
462,0.0,UASE
465,0.0,UASE
468,0.0,UASE
471,0.0,UASE
474,0.0,UASE
477,0.0,UASE
480,0.0,UASE
483,0.0,UASE
486,0.0,UASE
489,0.0,UASE
492,0.0,UASE
495,0.0,UASE
498,0.0,UASE
501,0.0,UASE
504,0.0,UASE
507,0.0,UASE
510,0.0,UASE
513,0.0,UASE
516,0.0,UASE
519,0.0,UASE
522,0.0,UASE
525,0.0,UASE
528,0.0,UASE
531,0.0,UASE
534,0.0,UASE
537,0.0,UASE
540,0.0,UASE
543,0.0,UASE
546,0.0,UASE
549,0.0,UASE
552,0.0,UASE
555,0.0,UASE
558,0.0,UASE
561,0.0,UASE
564,0.0,UASE
567,0.0,UASE
570,0.0,UASE
573,0.0,UASE
576,0.0,UASE
579,0.0,UASE
582,0.0,UASE
585,0.0,UASE
588,0.0,UASE
591,0.0,UASE
594,0.0,UASE
597,0.0,UASE
