,p_hat,method
1,0.094,ULSE
4,0.234,ULSE
7,0.935,ULSE
10,0.242,ULSE
13,0.9,ULSE
16,0.484,ULSE
19,0.781,ULSE
22,0.046,ULSE
25,0.371,ULSE
28,0.398,ULSE
31,0.035,ULSE
34,0.334,ULSE
37,0.061,ULSE
40,0.011,ULSE
43,0.545,ULSE
46,0.862,ULSE
49,0.5650000000000001,ULSE
52,0.377,ULSE
55,0.389,ULSE
58,0.135,ULSE
61,0.724,ULSE
64,0.0,ULSE
67,0.012,ULSE
70,0.26,ULSE
73,0.117,ULSE
76,0.006,ULSE
79,0.374,ULSE
82,0.017,ULSE
85,0.386,ULSE
88,0.923,ULSE
91,0.514,ULSE
94,0.41500000000000004,ULSE
97,0.17500000000000002,ULSE
100,0.20600000000000002,ULSE
103,0.41100000000000003,ULSE
106,0.559,ULSE
109,0.386,ULSE
112,0.304,ULSE
115,0.018000000000000002,ULSE
118,0.089,ULSE
121,0.509,ULSE
124,0.34500000000000003,ULSE
127,0.673,ULSE
130,0.745,ULSE
133,0.757,ULSE
136,0.6950000000000001,ULSE
139,0.8270000000000001,ULSE
142,0.526,ULSE
145,0.008,ULSE
148,0.483,ULSE
151,0.111,ULSE
154,0.334,ULSE
157,0.121,ULSE
160,0.646,ULSE
163,0.68,ULSE
166,0.281,ULSE
169,0.088,ULSE
172,0.719,ULSE
175,0.588,ULSE
178,0.9380000000000001,ULSE
181,0.232,ULSE
184,0.593,ULSE
187,0.077,ULSE
190,0.551,ULSE
193,0.058,ULSE
196,0.598,ULSE
199,0.158,ULSE
202,0.382,ULSE
205,0.708,ULSE
208,0.232,ULSE
211,0.096,ULSE
214,0.153,ULSE
217,0.11900000000000001,ULSE
220,0.999,ULSE
223,0.668,ULSE
226,0.05,ULSE
229,0.914,ULSE
232,0.754,ULSE
235,0.14300000000000002,ULSE
238,0.035,ULSE
241,0.589,ULSE
244,0.299,ULSE
247,0.506,ULSE
250,0.812,ULSE
253,0.05,ULSE
256,0.436,ULSE
259,0.0,ULSE
262,0.266,ULSE
265,0.996,ULSE
268,0.685,ULSE
271,0.201,ULSE
274,0.755,ULSE
277,0.509,ULSE
280,0.757,ULSE
283,0.388,ULSE
286,0.2,ULSE
289,0.276,ULSE
292,0.254,ULSE
295,0.052000000000000005,ULSE
298,0.024,ULSE
301,0.014,ULSE
304,0.116,ULSE
307,0.007,ULSE
310,0.21,ULSE
313,0.112,ULSE
316,0.043000000000000003,ULSE
319,0.0,ULSE
322,0.449,ULSE
325,0.789,ULSE
328,0.316,ULSE
331,0.065,ULSE
334,0.909,ULSE
337,0.454,ULSE
340,0.361,ULSE
343,0.783,ULSE
346,0.403,ULSE
349,0.342,ULSE
352,0.099,ULSE
355,0.466,ULSE
358,0.08700000000000001,ULSE
361,0.034,ULSE
364,0.391,ULSE
367,0.41000000000000003,ULSE
370,0.857,ULSE
373,0.012,ULSE
376,0.709,ULSE
379,0.182,ULSE
382,0.455,ULSE
385,0.164,ULSE
388,0.15,ULSE
391,0.645,ULSE
394,0.614,ULSE
397,0.258,ULSE
400,0.124,ULSE
403,0.168,ULSE
406,0.226,ULSE
409,0.495,ULSE
412,0.68,ULSE
415,0.0,ULSE
418,0.08,ULSE
421,0.47100000000000003,ULSE
424,0.024,ULSE
427,0.64,ULSE
430,0.8310000000000001,ULSE
433,0.077,ULSE
436,0.02,ULSE
439,0.018000000000000002,ULSE
442,0.177,ULSE
445,0.307,ULSE
448,0.004,ULSE
451,0.135,ULSE
454,0.03,ULSE
457,0.519,ULSE
460,0.982,ULSE
463,0.367,ULSE
466,0.243,ULSE
469,0.643,ULSE
472,0.085,ULSE
475,0.608,ULSE
478,0.192,ULSE
481,0.017,ULSE
484,0.177,ULSE
487,0.38,ULSE
490,0.889,ULSE
493,0.638,ULSE
496,0.5750000000000001,ULSE
499,0.137,ULSE
502,0.852,ULSE
505,0.273,ULSE
508,0.038,ULSE
511,0.268,ULSE
514,0.018000000000000002,ULSE
517,0.738,ULSE
520,0.805,ULSE
523,0.001,ULSE
526,0.5690000000000001,ULSE
529,0.677,ULSE
532,0.969,ULSE
535,0.137,ULSE
538,0.146,ULSE
541,0.546,ULSE
544,0.113,ULSE
547,0.156,ULSE
550,0.40900000000000003,ULSE
553,0.368,ULSE
556,0.125,ULSE
559,0.8280000000000001,ULSE
562,0.353,ULSE
565,0.387,ULSE
568,0.098,ULSE
571,0.788,ULSE
574,0.003,ULSE
577,0.054,ULSE
580,0.023,ULSE
583,0.435,ULSE
586,0.8230000000000001,ULSE
589,0.653,ULSE
592,0.856,ULSE
595,0.662,ULSE
598,0.263,ULSE
