,p_hat,method
2,0.089,URLSE
5,0.307,URLSE
8,0.898,URLSE
11,0.74,URLSE
14,0.8250000000000001,URLSE
17,0.34600000000000003,URLSE
20,0.725,URLSE
23,0.117,URLSE
26,0.544,URLSE
29,0.044,URLSE
32,0.158,URLSE
35,0.488,URLSE
38,0.074,URLSE
41,0.001,URLSE
44,0.303,URLSE
47,0.931,URLSE
50,0.378,URLSE
53,0.046,URLSE
56,0.37,URLSE
59,0.038,URLSE
62,0.273,URLSE
65,0.01,URLSE
68,0.47100000000000003,URLSE
71,0.28200000000000003,URLSE
74,0.012,URLSE
77,0.01,URLSE
80,0.214,URLSE
83,0.397,URLSE
86,0.526,URLSE
89,0.99,URLSE
92,0.638,URLSE
95,0.156,URLSE
98,0.177,URLSE
101,0.169,URLSE
104,0.165,URLSE
107,0.423,URLSE
110,0.149,URLSE
113,0.8,URLSE
116,0.40900000000000003,URLSE
119,0.398,URLSE
122,0.609,URLSE
125,0.035,URLSE
128,0.084,URLSE
131,0.318,URLSE
134,0.498,URLSE
137,0.494,URLSE
140,0.243,URLSE
143,0.262,URLSE
146,0.016,URLSE
149,0.031,URLSE
152,0.02,URLSE
155,0.059000000000000004,URLSE
158,0.058,URLSE
161,0.65,URLSE
164,0.894,URLSE
167,0.005,URLSE
170,0.664,URLSE
173,0.617,URLSE
176,0.20500000000000002,URLSE
179,0.78,URLSE
182,0.231,URLSE
185,0.998,URLSE
188,0.636,URLSE
191,0.181,URLSE
194,0.186,URLSE
197,0.39,URLSE
200,0.134,URLSE
203,0.47900000000000004,URLSE
206,0.367,URLSE
209,0.198,URLSE
212,0.809,URLSE
215,0.05,URLSE
218,0.051000000000000004,URLSE
221,0.5730000000000001,URLSE
224,0.32,URLSE
227,0.595,URLSE
230,0.76,URLSE
233,0.581,URLSE
236,0.129,URLSE
239,0.027,URLSE
242,0.385,URLSE
245,0.083,URLSE
248,0.041,URLSE
251,0.188,URLSE
254,0.311,URLSE
257,0.067,URLSE
260,0.0,URLSE
263,0.121,URLSE
266,0.488,URLSE
269,0.061,URLSE
272,0.212,URLSE
275,0.7010000000000001,URLSE
278,0.809,URLSE
281,0.5730000000000001,URLSE
284,0.182,URLSE
287,0.514,URLSE
290,0.502,URLSE
293,0.271,URLSE
296,0.135,URLSE
299,0.001,URLSE
302,0.35100000000000003,URLSE
305,0.387,URLSE
308,0.0,URLSE
311,0.491,URLSE
314,0.661,URLSE
317,0.001,URLSE
320,0.099,URLSE
323,0.67,URLSE
326,0.964,URLSE
329,0.248,URLSE
332,0.055,URLSE
335,0.07200000000000001,URLSE
338,0.312,URLSE
341,0.034,URLSE
344,0.886,URLSE
347,0.40700000000000003,URLSE
350,0.257,URLSE
353,0.307,URLSE
356,0.627,URLSE
359,0.17300000000000001,URLSE
362,0.195,URLSE
365,0.018000000000000002,URLSE
368,0.153,URLSE
371,0.6880000000000001,URLSE
374,0.008,URLSE
377,0.07,URLSE
380,0.25,URLSE
383,0.337,URLSE
386,0.454,URLSE
389,0.428,URLSE
392,0.557,URLSE
395,0.435,URLSE
398,0.259,URLSE
401,0.215,URLSE
404,0.675,URLSE
407,0.021,URLSE
410,0.008,URLSE
413,0.759,URLSE
416,0.0,URLSE
419,0.186,URLSE
422,0.096,URLSE
425,0.007,URLSE
428,0.138,URLSE
431,0.835,URLSE
434,0.393,URLSE
437,0.234,URLSE
440,0.076,URLSE
443,0.647,URLSE
446,0.358,URLSE
449,0.002,URLSE
452,0.34900000000000003,URLSE
455,0.049,URLSE
458,0.113,URLSE
461,0.931,URLSE
464,0.017,URLSE
467,0.293,URLSE
470,0.801,URLSE
473,0.07200000000000001,URLSE
476,0.48,URLSE
479,0.157,URLSE
482,0.10400000000000001,URLSE
485,0.005,URLSE
488,0.037,URLSE
491,0.786,URLSE
494,0.20600000000000002,URLSE
497,0.274,URLSE
500,0.006,URLSE
503,0.841,URLSE
506,0.354,URLSE
509,0.39,URLSE
512,0.391,URLSE
515,0.075,URLSE
518,0.363,URLSE
521,0.985,URLSE
524,0.012,URLSE
527,0.762,URLSE
530,0.526,URLSE
533,0.8250000000000001,URLSE
536,0.366,URLSE
539,0.042,URLSE
542,0.724,URLSE
545,0.847,URLSE
548,0.316,URLSE
551,0.738,URLSE
554,0.776,URLSE
557,0.462,URLSE
560,0.879,URLSE
563,0.394,URLSE
566,0.044,URLSE
569,0.019,URLSE
572,0.86,URLSE
575,0.34600000000000003,URLSE
578,0.11,URLSE
581,0.095,URLSE
584,0.003,URLSE
587,0.049,URLSE
590,0.296,URLSE
593,0.985,URLSE
596,0.386,URLSE
599,0.18,URLSE
