,p_hat,method
6,0.0,GloDyNE
14,0.0,GloDyNE
22,0.0,GloDyNE
30,0.0,GloDyNE
38,0.0,GloDyNE
46,0.0,GloDyNE
54,0.0,GloDyNE
62,0.0,GloDyNE
70,0.0,GloDyNE
78,0.0,GloDyNE
86,0.0,GloDyNE
94,0.0,GloDyNE
102,0.0,GloDyNE
110,0.0,GloDyNE
118,0.0,GloDyNE
126,0.0,GloDyNE
134,0.0,GloDyNE
142,0.0,GloDyNE
150,0.0,GloDyNE
158,0.0,GloDyNE
166,0.0,GloDyNE
174,0.0,GloDyNE
182,0.0,GloDyNE
190,0.0,GloDyNE
198,0.0,GloDyNE
206,0.0,GloDyNE
214,0.0,GloDyNE
222,0.0,GloDyNE
230,0.0,GloDyNE
238,0.0,GloDyNE
246,0.0,GloDyNE
254,0.0,GloDyNE
262,0.0,GloDyNE
270,0.0,GloDyNE
278,0.0,GloDyNE
286,0.0,GloDyNE
294,0.0,GloDyNE
302,0.0,GloDyNE
310,0.0,GloDyNE
318,0.0,GloDyNE
326,0.0,GloDyNE
334,0.0,GloDyNE
342,0.0,GloDyNE
350,0.0,GloDyNE
358,0.0,GloDyNE
366,0.0,GloDyNE
374,0.0,GloDyNE
382,0.0,GloDyNE
390,0.0,GloDyNE
398,0.0,GloDyNE
406,0.0,GloDyNE
414,0.0,GloDyNE
422,0.0,GloDyNE
430,0.0,GloDyNE
438,0.0,GloDyNE
446,0.0,GloDyNE
454,0.0,GloDyNE
462,0.0,GloDyNE
470,0.0,GloDyNE
478,0.0,GloDyNE
486,0.0,GloDyNE
494,0.0,GloDyNE
502,0.0,GloDyNE
510,0.0,GloDyNE
518,0.0,GloDyNE
526,0.0,GloDyNE
534,0.0,GloDyNE
542,0.0,GloDyNE
550,0.0,GloDyNE
558,0.0,GloDyNE
566,0.0,GloDyNE
574,0.0,GloDyNE
582,0.0,GloDyNE
590,0.0,GloDyNE
598,0.0,GloDyNE
606,0.0,GloDyNE
614,0.0,GloDyNE
622,0.0,GloDyNE
630,0.0,GloDyNE
638,0.0,GloDyNE
646,0.0,GloDyNE
654,0.0,GloDyNE
662,0.0,GloDyNE
670,0.0,GloDyNE
678,0.0,GloDyNE
686,0.0,GloDyNE
694,0.0,GloDyNE
702,0.0,GloDyNE
710,0.0,GloDyNE
718,0.0,GloDyNE
726,0.0,GloDyNE
734,0.0,GloDyNE
742,0.0,GloDyNE
750,0.0,GloDyNE
758,0.0,GloDyNE
766,0.0,GloDyNE
774,0.0,GloDyNE
782,0.0,GloDyNE
790,0.0,GloDyNE
798,0.0,GloDyNE
806,0.0,GloDyNE
814,0.0,GloDyNE
822,0.0,GloDyNE
830,0.0,GloDyNE
838,0.0,GloDyNE
846,0.0,GloDyNE
854,0.0,GloDyNE
862,0.0,GloDyNE
870,0.0,GloDyNE
878,0.0,GloDyNE
886,0.0,GloDyNE
894,0.0,GloDyNE
902,0.0,GloDyNE
910,0.0,GloDyNE
918,0.0,GloDyNE
926,0.0,GloDyNE
934,0.0,GloDyNE
942,0.0,GloDyNE
950,0.0,GloDyNE
958,0.0,GloDyNE
966,0.0,GloDyNE
974,0.0,GloDyNE
982,0.0,GloDyNE
990,0.0,GloDyNE
998,0.0,GloDyNE
1006,0.0,GloDyNE
1014,0.0,GloDyNE
1022,0.0,GloDyNE
1030,0.0,GloDyNE
1038,0.0,GloDyNE
1046,0.0,GloDyNE
1054,0.0,GloDyNE
1062,0.0,GloDyNE
1070,0.0,GloDyNE
1078,0.0,GloDyNE
1086,0.0,GloDyNE
1094,0.0,GloDyNE
1102,0.0,GloDyNE
1110,0.0,GloDyNE
1118,0.0,GloDyNE
1126,0.0,GloDyNE
1134,0.0,GloDyNE
1142,0.0,GloDyNE
1150,0.0,GloDyNE
1158,0.0,GloDyNE
1166,0.0,GloDyNE
1174,0.0,GloDyNE
1182,0.0,GloDyNE
1190,0.0,GloDyNE
1198,0.0,GloDyNE
1206,0.0,GloDyNE
1214,0.0,GloDyNE
1222,0.0,GloDyNE
1230,0.0,GloDyNE
1238,0.0,GloDyNE
1246,0.0,GloDyNE
1254,0.0,GloDyNE
1262,0.0,GloDyNE
1270,0.0,GloDyNE
1278,0.0,GloDyNE
1286,0.0,GloDyNE
1294,0.0,GloDyNE
1302,0.0,GloDyNE
1310,0.0,GloDyNE
1318,0.0,GloDyNE
1326,0.0,GloDyNE
1334,0.0,GloDyNE
1342,0.0,GloDyNE
1350,0.0,GloDyNE
1358,0.0,GloDyNE
1366,0.0,GloDyNE
1374,0.0,GloDyNE
1382,0.0,GloDyNE
1390,0.0,GloDyNE
1398,0.0,GloDyNE
1406,0.0,GloDyNE
1414,0.0,GloDyNE
1422,0.0,GloDyNE
1430,0.0,GloDyNE
1438,0.0,GloDyNE
1446,0.0,GloDyNE
1454,0.0,GloDyNE
1462,0.0,GloDyNE
1470,0.0,GloDyNE
1478,0.0,GloDyNE
1486,0.0,GloDyNE
1494,0.0,GloDyNE
1502,0.0,GloDyNE
1510,0.0,GloDyNE
1518,0.0,GloDyNE
1526,0.0,GloDyNE
1534,0.0,GloDyNE
1542,0.0,GloDyNE
1550,0.0,GloDyNE
1558,0.0,GloDyNE
1566,0.0,GloDyNE
1574,0.0,GloDyNE
1582,0.0,GloDyNE
1590,0.0,GloDyNE
1598,0.0,GloDyNE
