,p_hat,method
5,0.026000000000000002,Independent Node2Vec
13,0.975,Independent Node2Vec
21,0.52,Independent Node2Vec
29,0.0,Independent Node2Vec
37,0.187,Independent Node2Vec
45,0.17200000000000001,Independent Node2Vec
53,0.199,Independent Node2Vec
61,0.0,Independent Node2Vec
69,0.882,Independent Node2Vec
77,0.192,Independent Node2Vec
85,0.012,Independent Node2Vec
93,0.03,Independent Node2Vec
101,0.495,Independent Node2Vec
109,0.883,Independent Node2Vec
117,0.013000000000000001,Independent Node2Vec
125,0.586,Independent Node2Vec
133,0.14200000000000002,Independent Node2Vec
141,0.0,Independent Node2Vec
149,0.197,Independent Node2Vec
157,0.422,Independent Node2Vec
165,0.441,Independent Node2Vec
173,0.111,Independent Node2Vec
181,0.044,Independent Node2Vec
189,0.002,Independent Node2Vec
197,0.259,Independent Node2Vec
205,0.898,Independent Node2Vec
213,0.117,Independent Node2Vec
221,0.0,Independent Node2Vec
229,0.363,Independent Node2Vec
237,0.583,Independent Node2Vec
245,0.725,Independent Node2Vec
253,0.0,Independent Node2Vec
261,0.292,Independent Node2Vec
269,0.9380000000000001,Independent Node2Vec
277,0.012,Independent Node2Vec
285,0.121,Independent Node2Vec
293,0.424,Independent Node2Vec
301,0.052000000000000005,Independent Node2Vec
309,0.227,Independent Node2Vec
317,0.168,Independent Node2Vec
325,0.258,Independent Node2Vec
333,0.602,Independent Node2Vec
341,0.04,Independent Node2Vec
349,0.132,Independent Node2Vec
357,0.8290000000000001,Independent Node2Vec
365,0.048,Independent Node2Vec
373,0.772,Independent Node2Vec
381,0.0,Independent Node2Vec
389,0.0,Independent Node2Vec
397,0.124,Independent Node2Vec
405,0.0,Independent Node2Vec
413,0.388,Independent Node2Vec
421,0.716,Independent Node2Vec
429,0.401,Independent Node2Vec
437,0.275,Independent Node2Vec
445,0.687,Independent Node2Vec
453,0.577,Independent Node2Vec
461,0.0,Independent Node2Vec
469,0.2,Independent Node2Vec
477,0.084,Independent Node2Vec
485,0.399,Independent Node2Vec
493,0.638,Independent Node2Vec
501,0.067,Independent Node2Vec
509,0.998,Independent Node2Vec
517,0.011,Independent Node2Vec
525,0.032,Independent Node2Vec
533,0.0,Independent Node2Vec
541,0.038,Independent Node2Vec
549,0.209,Independent Node2Vec
557,0.0,Independent Node2Vec
565,0.101,Independent Node2Vec
573,0.0,Independent Node2Vec
581,0.425,Independent Node2Vec
589,0.198,Independent Node2Vec
597,0.843,Independent Node2Vec
605,0.088,Independent Node2Vec
613,0.015,Independent Node2Vec
621,0.372,Independent Node2Vec
629,0.724,Independent Node2Vec
637,0.757,Independent Node2Vec
645,0.338,Independent Node2Vec
653,0.149,Independent Node2Vec
661,0.189,Independent Node2Vec
669,0.623,Independent Node2Vec
677,0.254,Independent Node2Vec
685,0.0,Independent Node2Vec
693,0.9430000000000001,Independent Node2Vec
701,0.835,Independent Node2Vec
709,0.401,Independent Node2Vec
717,0.0,Independent Node2Vec
725,0.0,Independent Node2Vec
733,0.065,Independent Node2Vec
741,0.552,Independent Node2Vec
749,0.277,Independent Node2Vec
757,0.091,Independent Node2Vec
765,0.493,Independent Node2Vec
773,0.47000000000000003,Independent Node2Vec
781,0.022,Independent Node2Vec
789,0.068,Independent Node2Vec
797,0.807,Independent Node2Vec
805,0.0,Independent Node2Vec
813,0.0,Independent Node2Vec
821,0.886,Independent Node2Vec
829,0.088,Independent Node2Vec
837,0.266,Independent Node2Vec
845,0.0,Independent Node2Vec
853,0.253,Independent Node2Vec
861,0.045,Independent Node2Vec
869,0.187,Independent Node2Vec
877,0.006,Independent Node2Vec
885,0.155,Independent Node2Vec
893,0.217,Independent Node2Vec
901,0.033,Independent Node2Vec
909,0.0,Independent Node2Vec
917,0.0,Independent Node2Vec
925,0.039,Independent Node2Vec
933,0.014,Independent Node2Vec
941,0.0,Independent Node2Vec
949,0.59,Independent Node2Vec
957,0.0,Independent Node2Vec
965,0.0,Independent Node2Vec
973,0.586,Independent Node2Vec
981,0.031,Independent Node2Vec
989,0.35000000000000003,Independent Node2Vec
997,0.0,Independent Node2Vec
1005,0.019,Independent Node2Vec
1013,0.0,Independent Node2Vec
1021,0.909,Independent Node2Vec
1029,0.258,Independent Node2Vec
1037,0.0,Independent Node2Vec
1045,0.779,Independent Node2Vec
1053,0.0,Independent Node2Vec
1061,0.231,Independent Node2Vec
1069,0.0,Independent Node2Vec
1077,0.097,Independent Node2Vec
1085,0.038,Independent Node2Vec
1093,0.108,Independent Node2Vec
1101,0.074,Independent Node2Vec
1109,0.9530000000000001,Independent Node2Vec
1117,0.049,Independent Node2Vec
1125,0.136,Independent Node2Vec
1133,0.14,Independent Node2Vec
1141,0.979,Independent Node2Vec
1149,0.0,Independent Node2Vec
1157,0.377,Independent Node2Vec
1165,0.0,Independent Node2Vec
1173,0.15,Independent Node2Vec
1181,0.001,Independent Node2Vec
1189,0.134,Independent Node2Vec
1197,0.54,Independent Node2Vec
1205,0.917,Independent Node2Vec
1213,0.456,Independent Node2Vec
1221,0.132,Independent Node2Vec
1229,0.67,Independent Node2Vec
1237,0.0,Independent Node2Vec
1245,0.78,Independent Node2Vec
1253,0.314,Independent Node2Vec
1261,0.34800000000000003,Independent Node2Vec
1269,0.0,Independent Node2Vec
1277,0.032,Independent Node2Vec
1285,0.248,Independent Node2Vec
1293,0.10400000000000001,Independent Node2Vec
1301,0.81,Independent Node2Vec
1309,0.0,Independent Node2Vec
1317,0.807,Independent Node2Vec
1325,0.9520000000000001,Independent Node2Vec
1333,0.641,Independent Node2Vec
1341,0.343,Independent Node2Vec
1349,0.485,Independent Node2Vec
1357,0.0,Independent Node2Vec
1365,0.9510000000000001,Independent Node2Vec
1373,0.59,Independent Node2Vec
1381,0.0,Independent Node2Vec
1389,0.38,Independent Node2Vec
1397,0.729,Independent Node2Vec
1405,0.022,Independent Node2Vec
1413,0.0,Independent Node2Vec
1421,0.799,Independent Node2Vec
1429,0.637,Independent Node2Vec
1437,0.679,Independent Node2Vec
1445,0.41300000000000003,Independent Node2Vec
1453,0.0,Independent Node2Vec
1461,0.055,Independent Node2Vec
1469,0.004,Independent Node2Vec
1477,0.026000000000000002,Independent Node2Vec
1485,0.07,Independent Node2Vec
1493,0.0,Independent Node2Vec
1501,0.03,Independent Node2Vec
1509,0.0,Independent Node2Vec
1517,0.914,Independent Node2Vec
1525,0.266,Independent Node2Vec
1533,0.0,Independent Node2Vec
1541,0.6940000000000001,Independent Node2Vec
1549,0.002,Independent Node2Vec
1557,0.595,Independent Node2Vec
1565,0.9420000000000001,Independent Node2Vec
1573,0.001,Independent Node2Vec
1581,0.159,Independent Node2Vec
1589,0.189,Independent Node2Vec
1597,0.28,Independent Node2Vec
