,p_hat,method
2,0.509,OMNI
10,0.607,OMNI
18,0.639,OMNI
26,0.14100000000000001,OMNI
34,0.66,OMNI
42,0.41500000000000004,OMNI
50,0.063,OMNI
58,0.163,OMNI
66,0.317,OMNI
74,0.512,OMNI
82,0.383,OMNI
90,0.449,OMNI
98,0.895,OMNI
106,0.8230000000000001,OMNI
114,0.203,OMNI
122,0.256,OMNI
130,0.718,OMNI
138,0.373,OMNI
146,0.997,OMNI
154,0.748,OMNI
162,0.155,OMNI
170,0.131,OMNI
178,0.517,OMNI
186,0.492,OMNI
194,0.275,OMNI
202,0.446,OMNI
210,0.611,OMNI
218,0.063,OMNI
226,0.17500000000000002,OMNI
234,0.742,OMNI
242,0.968,OMNI
250,0.985,OMNI
258,0.46,OMNI
266,0.518,OMNI
274,0.11900000000000001,OMNI
282,0.608,OMNI
290,0.223,OMNI
298,0.101,OMNI
306,0.517,OMNI
314,0.627,OMNI
322,0.673,OMNI
330,0.92,OMNI
338,0.42,OMNI
346,0.931,OMNI
354,0.534,OMNI
362,0.35100000000000003,OMNI
370,0.584,OMNI
378,0.043000000000000003,OMNI
386,0.467,OMNI
394,0.609,OMNI
402,0.219,OMNI
410,0.436,OMNI
418,0.838,OMNI
426,0.39,OMNI
434,0.64,OMNI
442,0.14200000000000002,OMNI
450,0.225,OMNI
458,0.093,OMNI
466,0.203,OMNI
474,0.993,OMNI
482,0.972,OMNI
490,0.56,OMNI
498,0.975,OMNI
506,0.074,OMNI
514,0.558,OMNI
522,0.014,OMNI
530,0.41400000000000003,OMNI
538,0.911,OMNI
546,0.38,OMNI
554,0.425,OMNI
562,0.14,OMNI
570,0.149,OMNI
578,0.748,OMNI
586,0.633,OMNI
594,0.775,OMNI
602,0.902,OMNI
610,0.862,OMNI
618,0.311,OMNI
626,0.727,OMNI
634,0.169,OMNI
642,0.554,OMNI
650,0.187,OMNI
658,0.447,OMNI
666,0.317,OMNI
674,0.785,OMNI
682,0.445,OMNI
690,0.324,OMNI
698,0.855,OMNI
706,0.748,OMNI
714,0.264,OMNI
722,0.5710000000000001,OMNI
730,0.859,OMNI
738,0.757,OMNI
746,0.062,OMNI
754,0.108,OMNI
762,0.296,OMNI
770,0.28300000000000003,OMNI
778,0.558,OMNI
786,0.897,OMNI
794,0.025,OMNI
802,0.753,OMNI
810,0.273,OMNI
818,0.222,OMNI
826,0.47200000000000003,OMNI
834,0.458,OMNI
842,0.446,OMNI
850,0.065,OMNI
858,0.909,OMNI
866,0.0,OMNI
874,0.168,OMNI
882,0.062,OMNI
890,0.742,OMNI
898,0.729,OMNI
906,0.006,OMNI
914,0.07200000000000001,OMNI
922,0.134,OMNI
930,0.9450000000000001,OMNI
938,0.134,OMNI
946,0.467,OMNI
954,0.865,OMNI
962,0.215,OMNI
970,0.873,OMNI
978,0.764,OMNI
986,0.263,OMNI
994,0.758,OMNI
1002,0.417,OMNI
1010,0.613,OMNI
1018,0.481,OMNI
1026,0.339,OMNI
1034,0.019,OMNI
1042,0.07,OMNI
1050,0.9530000000000001,OMNI
1058,0.7020000000000001,OMNI
1066,0.17300000000000001,OMNI
1074,0.6960000000000001,OMNI
1082,0.227,OMNI
1090,0.967,OMNI
1098,0.0,OMNI
1106,0.633,OMNI
1114,0.23700000000000002,OMNI
1122,0.158,OMNI
1130,0.436,OMNI
1138,0.606,OMNI
1146,0.005,OMNI
1154,0.096,OMNI
1162,0.646,OMNI
1170,0.903,OMNI
1178,0.931,OMNI
1186,0.242,OMNI
1194,0.215,OMNI
1202,0.15,OMNI
1210,0.784,OMNI
1218,0.53,OMNI
1226,0.49,OMNI
1234,0.356,OMNI
1242,0.169,OMNI
1250,0.23500000000000001,OMNI
1258,0.381,OMNI
1266,0.388,OMNI
1274,0.742,OMNI
1282,0.373,OMNI
1290,0.007,OMNI
1298,0.28800000000000003,OMNI
1306,0.279,OMNI
1314,0.105,OMNI
1322,0.462,OMNI
1330,0.108,OMNI
1338,0.845,OMNI
1346,0.896,OMNI
1354,0.002,OMNI
1362,0.079,OMNI
1370,0.045,OMNI
1378,0.904,OMNI
1386,0.28500000000000003,OMNI
1394,0.21,OMNI
1402,0.731,OMNI
1410,0.834,OMNI
1418,0.6970000000000001,OMNI
1426,0.8310000000000001,OMNI
1434,0.201,OMNI
1442,0.065,OMNI
1450,0.975,OMNI
1458,0.095,OMNI
1466,0.749,OMNI
1474,0.615,OMNI
1482,0.403,OMNI
1490,0.8290000000000001,OMNI
1498,0.254,OMNI
1506,0.629,OMNI
1514,0.008,OMNI
1522,0.985,OMNI
1530,0.2,OMNI
1538,0.919,OMNI
1546,0.6880000000000001,OMNI
1554,0.385,OMNI
1562,0.396,OMNI
1570,0.627,OMNI
1578,0.6910000000000001,OMNI
1586,0.105,OMNI
1594,0.856,OMNI
