,p_hat,method
1,0.34500000000000003,SSE Procrustes
9,0.717,SSE Procrustes
17,0.43,SSE Procrustes
25,0.0,SSE Procrustes
33,0.068,SSE Procrustes
41,0.927,SSE Procrustes
49,0.088,SSE Procrustes
57,0.0,SSE Procrustes
65,0.219,SSE Procrustes
73,0.248,SSE Procrustes
81,0.885,SSE Procrustes
89,0.003,SSE Procrustes
97,0.9590000000000001,SSE Procrustes
105,0.057,SSE Procrustes
113,0.0,SSE Procrustes
121,0.027,SSE Procrustes
129,0.095,SSE Procrustes
137,0.534,SSE Procrustes
145,0.465,SSE Procrustes
153,0.723,SSE Procrustes
161,0.009000000000000001,SSE Procrustes
169,0.169,SSE Procrustes
177,0.0,SSE Procrustes
185,0.07,SSE Procrustes
193,0.41600000000000004,SSE Procrustes
201,0.374,SSE Procrustes
209,0.876,SSE Procrustes
217,0.276,SSE Procrustes
225,0.728,SSE Procrustes
233,0.177,SSE Procrustes
241,0.11800000000000001,SSE Procrustes
249,0.081,SSE Procrustes
257,0.009000000000000001,SSE Procrustes
265,0.163,SSE Procrustes
273,0.739,SSE Procrustes
281,0.14300000000000002,SSE Procrustes
289,0.247,SSE Procrustes
297,0.08700000000000001,SSE Procrustes
305,0.388,SSE Procrustes
313,0.596,SSE Procrustes
321,0.02,SSE Procrustes
329,0.482,SSE Procrustes
337,0.011,SSE Procrustes
345,0.185,SSE Procrustes
353,0.131,SSE Procrustes
361,0.67,SSE Procrustes
369,0.34800000000000003,SSE Procrustes
377,0.0,SSE Procrustes
385,0.786,SSE Procrustes
393,0.0,SSE Procrustes
401,0.306,SSE Procrustes
409,0.075,SSE Procrustes
417,0.653,SSE Procrustes
425,0.0,SSE Procrustes
433,0.035,SSE Procrustes
441,0.856,SSE Procrustes
449,0.241,SSE Procrustes
457,0.5740000000000001,SSE Procrustes
465,0.011,SSE Procrustes
473,0.535,SSE Procrustes
481,0.06,SSE Procrustes
489,0.0,SSE Procrustes
497,0.291,SSE Procrustes
505,0.08700000000000001,SSE Procrustes
513,0.795,SSE Procrustes
521,0.001,SSE Procrustes
529,0.126,SSE Procrustes
537,0.878,SSE Procrustes
545,0.707,SSE Procrustes
553,0.133,SSE Procrustes
561,0.685,SSE Procrustes
569,0.0,SSE Procrustes
577,0.04,SSE Procrustes
585,0.157,SSE Procrustes
593,0.618,SSE Procrustes
601,0.925,SSE Procrustes
609,0.228,SSE Procrustes
617,0.011,SSE Procrustes
625,0.903,SSE Procrustes
633,0.904,SSE Procrustes
641,0.861,SSE Procrustes
649,0.418,SSE Procrustes
657,0.354,SSE Procrustes
665,0.328,SSE Procrustes
673,0.08,SSE Procrustes
681,0.158,SSE Procrustes
689,0.927,SSE Procrustes
697,0.501,SSE Procrustes
705,0.231,SSE Procrustes
713,0.897,SSE Procrustes
721,0.496,SSE Procrustes
729,0.85,SSE Procrustes
737,0.19,SSE Procrustes
745,0.263,SSE Procrustes
753,0.0,SSE Procrustes
761,0.154,SSE Procrustes
769,0.617,SSE Procrustes
777,0.333,SSE Procrustes
785,0.222,SSE Procrustes
793,0.503,SSE Procrustes
801,0.734,SSE Procrustes
809,0.241,SSE Procrustes
817,0.968,SSE Procrustes
825,0.028,SSE Procrustes
833,0.015,SSE Procrustes
841,0.156,SSE Procrustes
849,0.227,SSE Procrustes
857,0.253,SSE Procrustes
865,0.0,SSE Procrustes
873,0.718,SSE Procrustes
881,0.05,SSE Procrustes
889,0.799,SSE Procrustes
897,0.198,SSE Procrustes
905,0.0,SSE Procrustes
913,0.5760000000000001,SSE Procrustes
921,0.055,SSE Procrustes
929,0.247,SSE Procrustes
937,0.403,SSE Procrustes
945,0.024,SSE Procrustes
953,0.444,SSE Procrustes
961,0.033,SSE Procrustes
969,0.187,SSE Procrustes
977,0.389,SSE Procrustes
985,0.0,SSE Procrustes
993,0.725,SSE Procrustes
1001,0.9560000000000001,SSE Procrustes
1009,0.537,SSE Procrustes
1017,0.042,SSE Procrustes
1025,0.41100000000000003,SSE Procrustes
1033,0.122,SSE Procrustes
1041,0.253,SSE Procrustes
1049,0.369,SSE Procrustes
1057,0.0,SSE Procrustes
1065,0.919,SSE Procrustes
1073,0.003,SSE Procrustes
1081,0.0,SSE Procrustes
1089,0.195,SSE Procrustes
1097,0.167,SSE Procrustes
1105,0.079,SSE Procrustes
1113,0.257,SSE Procrustes
1121,0.056,SSE Procrustes
1129,0.0,SSE Procrustes
1137,0.196,SSE Procrustes
1145,0.262,SSE Procrustes
1153,0.0,SSE Procrustes
1161,0.397,SSE Procrustes
1169,0.116,SSE Procrustes
1177,0.664,SSE Procrustes
1185,0.002,SSE Procrustes
1193,0.222,SSE Procrustes
1201,0.019,SSE Procrustes
1209,0.299,SSE Procrustes
1217,0.528,SSE Procrustes
1225,0.0,SSE Procrustes
1233,0.047,SSE Procrustes
1241,0.353,SSE Procrustes
1249,0.421,SSE Procrustes
1257,0.852,SSE Procrustes
1265,0.269,SSE Procrustes
1273,0.0,SSE Procrustes
1281,0.254,SSE Procrustes
1289,0.18,SSE Procrustes
1297,0.0,SSE Procrustes
1305,0.578,SSE Procrustes
1313,0.223,SSE Procrustes
1321,0.14400000000000002,SSE Procrustes
1329,0.078,SSE Procrustes
1337,0.068,SSE Procrustes
1345,0.0,SSE Procrustes
1353,0.0,SSE Procrustes
1361,0.398,SSE Procrustes
1369,0.62,SSE Procrustes
1377,0.295,SSE Procrustes
1385,0.0,SSE Procrustes
1393,0.156,SSE Procrustes
1401,0.526,SSE Procrustes
1409,0.988,SSE Procrustes
1417,0.066,SSE Procrustes
1425,0.885,SSE Procrustes
1433,0.936,SSE Procrustes
1441,0.0,SSE Procrustes
1449,0.481,SSE Procrustes
1457,0.002,SSE Procrustes
1465,0.3,SSE Procrustes
1473,0.6920000000000001,SSE Procrustes
1481,0.741,SSE Procrustes
1489,0.004,SSE Procrustes
1497,0.844,SSE Procrustes
1505,0.417,SSE Procrustes
1513,0.0,SSE Procrustes
1521,0.618,SSE Procrustes
1529,0.011,SSE Procrustes
1537,0.0,SSE Procrustes
1545,0.168,SSE Procrustes
1553,0.004,SSE Procrustes
1561,0.194,SSE Procrustes
1569,0.312,SSE Procrustes
1577,0.8240000000000001,SSE Procrustes
1585,0.003,SSE Procrustes
1593,0.0,SSE Procrustes
