,p_hat,method
0,0.332,SSE
8,0.7010000000000001,SSE
16,0.426,SSE
24,0.0,SSE
32,0.053,SSE
40,0.929,SSE
48,0.111,SSE
56,0.0,SSE
64,0.224,SSE
72,0.232,SSE
80,0.859,SSE
88,0.001,SSE
96,0.9540000000000001,SSE
104,0.065,SSE
112,0.0,SSE
120,0.035,SSE
128,0.094,SSE
136,0.582,SSE
144,0.47800000000000004,SSE
152,0.731,SSE
160,0.007,SSE
168,0.192,SSE
176,0.0,SSE
184,0.062,SSE
192,0.404,SSE
200,0.40900000000000003,SSE
208,0.879,SSE
216,0.295,SSE
224,0.757,SSE
232,0.148,SSE
240,0.111,SSE
248,0.098,SSE
256,0.016,SSE
264,0.17,SSE
272,0.757,SSE
280,0.149,SSE
288,0.263,SSE
296,0.08600000000000001,SSE
304,0.354,SSE
312,0.603,SSE
320,0.029,SSE
328,0.486,SSE
336,0.015,SSE
344,0.187,SSE
352,0.14100000000000001,SSE
360,0.653,SSE
368,0.336,SSE
376,0.001,SSE
384,0.8170000000000001,SSE
392,0.0,SSE
400,0.295,SSE
408,0.075,SSE
416,0.654,SSE
424,0.0,SSE
432,0.034,SSE
440,0.85,SSE
448,0.279,SSE
456,0.5710000000000001,SSE
464,0.014,SSE
472,0.523,SSE
480,0.064,SSE
488,0.0,SSE
496,0.323,SSE
504,0.085,SSE
512,0.808,SSE
520,0.001,SSE
528,0.14400000000000002,SSE
536,0.871,SSE
544,0.705,SSE
552,0.134,SSE
560,0.669,SSE
568,0.0,SSE
576,0.042,SSE
584,0.14200000000000002,SSE
592,0.622,SSE
600,0.932,SSE
608,0.232,SSE
616,0.017,SSE
624,0.917,SSE
632,0.912,SSE
640,0.836,SSE
648,0.41600000000000004,SSE
656,0.369,SSE
664,0.28,SSE
672,0.089,SSE
680,0.169,SSE
688,0.9430000000000001,SSE
696,0.505,SSE
704,0.20500000000000002,SSE
712,0.886,SSE
720,0.465,SSE
728,0.837,SSE
736,0.225,SSE
744,0.247,SSE
752,0.0,SSE
760,0.14100000000000001,SSE
768,0.586,SSE
776,0.34500000000000003,SSE
784,0.212,SSE
792,0.519,SSE
800,0.74,SSE
808,0.225,SSE
816,0.9570000000000001,SSE
824,0.022,SSE
832,0.017,SSE
840,0.127,SSE
848,0.246,SSE
856,0.248,SSE
864,0.0,SSE
872,0.684,SSE
880,0.039,SSE
888,0.783,SSE
896,0.188,SSE
904,0.0,SSE
912,0.559,SSE
920,0.044,SSE
928,0.241,SSE
936,0.393,SSE
944,0.025,SSE
952,0.454,SSE
960,0.026000000000000002,SSE
968,0.178,SSE
976,0.41200000000000003,SSE
984,0.0,SSE
992,0.714,SSE
1000,0.961,SSE
1008,0.525,SSE
1016,0.04,SSE
1024,0.387,SSE
1032,0.14300000000000002,SSE
1040,0.28300000000000003,SSE
1048,0.371,SSE
1056,0.0,SSE
1064,0.933,SSE
1072,0.0,SSE
1080,0.0,SSE
1088,0.167,SSE
1096,0.18,SSE
1104,0.066,SSE
1112,0.28400000000000003,SSE
1120,0.083,SSE
1128,0.001,SSE
1136,0.20700000000000002,SSE
1144,0.289,SSE
1152,0.0,SSE
1160,0.421,SSE
1168,0.098,SSE
1176,0.651,SSE
1184,0.004,SSE
1192,0.214,SSE
1200,0.019,SSE
1208,0.28400000000000003,SSE
1216,0.523,SSE
1224,0.0,SSE
1232,0.038,SSE
1240,0.385,SSE
1248,0.41000000000000003,SSE
1256,0.8280000000000001,SSE
1264,0.247,SSE
1272,0.0,SSE
1280,0.234,SSE
1288,0.176,SSE
1296,0.0,SSE
1304,0.5670000000000001,SSE
1312,0.244,SSE
1320,0.156,SSE
1328,0.058,SSE
1336,0.068,SSE
1344,0.0,SSE
1352,0.0,SSE
1360,0.403,SSE
1368,0.608,SSE
1376,0.293,SSE
1384,0.0,SSE
1392,0.147,SSE
1400,0.519,SSE
1408,0.978,SSE
1416,0.083,SSE
1424,0.917,SSE
1432,0.9540000000000001,SSE
1440,0.0,SSE
1448,0.47200000000000003,SSE
1456,0.004,SSE
1464,0.302,SSE
1472,0.7020000000000001,SSE
1480,0.758,SSE
1488,0.003,SSE
1496,0.849,SSE
1504,0.41500000000000004,SSE
1512,0.0,SSE
1520,0.642,SSE
1528,0.008,SSE
1536,0.0,SSE
1544,0.189,SSE
1552,0.001,SSE
1560,0.157,SSE
1568,0.302,SSE
1576,0.846,SSE
1584,0.007,SSE
1592,0.0,SSE
