,p_hat,method
1,0.544,UASE
3,0.733,UASE
5,0.074,UASE
7,0.709,UASE
9,0.9560000000000001,UASE
11,0.679,UASE
13,0.08700000000000001,UASE
15,0.64,UASE
17,0.47400000000000003,UASE
19,0.771,UASE
21,0.5630000000000001,UASE
23,0.039,UASE
25,0.5760000000000001,UASE
27,0.6930000000000001,UASE
29,0.592,UASE
31,0.063,UASE
33,0.124,UASE
35,0.544,UASE
37,0.222,UASE
39,0.46,UASE
41,0.389,UASE
43,0.598,UASE
45,0.062,UASE
47,0.856,UASE
49,0.736,UASE
51,0.245,UASE
53,0.279,UASE
55,0.8210000000000001,UASE
57,0.739,UASE
59,0.149,UASE
61,0.003,UASE
63,0.5640000000000001,UASE
65,0.223,UASE
67,0.645,UASE
69,0.134,UASE
71,0.927,UASE
73,0.651,UASE
75,0.588,UASE
77,0.066,UASE
79,0.749,UASE
81,0.27,UASE
83,0.137,UASE
85,0.978,UASE
87,0.195,UASE
89,0.07100000000000001,UASE
91,0.5750000000000001,UASE
93,0.423,UASE
95,0.751,UASE
97,0.065,UASE
99,0.362,UASE
101,0.342,UASE
103,0.6890000000000001,UASE
105,0.92,UASE
107,0.223,UASE
109,0.044,UASE
111,0.384,UASE
113,0.121,UASE
115,0.216,UASE
117,0.704,UASE
119,0.7030000000000001,UASE
121,0.02,UASE
123,0.718,UASE
125,0.021,UASE
127,0.53,UASE
129,0.598,UASE
131,0.913,UASE
133,0.419,UASE
135,0.583,UASE
137,0.354,UASE
139,0.056,UASE
141,0.741,UASE
143,0.117,UASE
145,0.34500000000000003,UASE
147,0.14400000000000002,UASE
149,0.8130000000000001,UASE
151,0.115,UASE
153,0.486,UASE
155,0.6950000000000001,UASE
157,0.004,UASE
159,0.5720000000000001,UASE
161,0.9400000000000001,UASE
163,0.382,UASE
165,0.162,UASE
167,0.797,UASE
169,0.748,UASE
171,0.7010000000000001,UASE
173,0.124,UASE
175,0.37,UASE
177,0.016,UASE
179,0.148,UASE
181,0.514,UASE
183,0.933,UASE
185,0.1,UASE
187,0.898,UASE
189,0.507,UASE
191,0.123,UASE
193,0.787,UASE
195,0.34800000000000003,UASE
197,0.075,UASE
199,0.542,UASE
201,0.507,UASE
203,0.497,UASE
205,0.503,UASE
207,0.437,UASE
209,0.683,UASE
211,0.8310000000000001,UASE
213,0.385,UASE
215,0.382,UASE
217,0.47700000000000004,UASE
219,0.12,UASE
221,0.67,UASE
223,0.8290000000000001,UASE
225,0.372,UASE
227,0.8310000000000001,UASE
229,0.02,UASE
231,0.59,UASE
233,0.861,UASE
235,0.196,UASE
237,0.445,UASE
239,0.634,UASE
241,0.915,UASE
243,0.464,UASE
245,0.243,UASE
247,0.52,UASE
249,0.804,UASE
251,0.513,UASE
253,0.833,UASE
255,0.8220000000000001,UASE
257,0.5750000000000001,UASE
259,0.167,UASE
261,0.227,UASE
263,0.063,UASE
265,0.525,UASE
267,0.8270000000000001,UASE
269,0.892,UASE
271,0.511,UASE
273,0.406,UASE
275,0.93,UASE
277,0.8290000000000001,UASE
279,0.983,UASE
281,0.933,UASE
283,0.17400000000000002,UASE
285,0.275,UASE
287,0.635,UASE
289,0.152,UASE
291,0.428,UASE
293,0.264,UASE
295,0.741,UASE
297,0.359,UASE
299,0.23900000000000002,UASE
301,0.507,UASE
303,0.801,UASE
305,0.0,UASE
307,0.401,UASE
309,0.544,UASE
311,0.11800000000000001,UASE
313,0.399,UASE
315,0.748,UASE
317,0.195,UASE
319,0.789,UASE
321,0.46900000000000003,UASE
323,0.424,UASE
325,0.642,UASE
327,0.897,UASE
329,0.154,UASE
331,0.996,UASE
333,0.808,UASE
335,0.919,UASE
337,0.9500000000000001,UASE
339,0.967,UASE
341,0.2,UASE
343,0.807,UASE
345,0.541,UASE
347,0.913,UASE
349,0.793,UASE
351,0.872,UASE
353,0.125,UASE
355,0.372,UASE
357,0.91,UASE
359,0.012,UASE
361,0.493,UASE
363,0.47800000000000004,UASE
365,0.012,UASE
367,0.036000000000000004,UASE
369,0.381,UASE
371,0.895,UASE
373,0.756,UASE
375,0.001,UASE
377,0.705,UASE
379,0.8270000000000001,UASE
381,0.602,UASE
383,0.99,UASE
385,0.289,UASE
387,0.8200000000000001,UASE
389,0.179,UASE
391,0.258,UASE
393,0.5730000000000001,UASE
395,0.105,UASE
397,0.56,UASE
399,0.879,UASE
