,p_hat,method
0,0.545,URLSE
2,0.963,URLSE
4,0.128,URLSE
6,0.8250000000000001,URLSE
8,0.653,URLSE
10,0.519,URLSE
12,0.016,URLSE
14,0.6950000000000001,URLSE
16,0.446,URLSE
18,0.623,URLSE
20,0.281,URLSE
22,0.132,URLSE
24,0.9420000000000001,URLSE
26,0.202,URLSE
28,0.76,URLSE
30,0.091,URLSE
32,0.123,URLSE
34,0.8170000000000001,URLSE
36,0.23,URLSE
38,0.425,URLSE
40,0.605,URLSE
42,0.508,URLSE
44,0.018000000000000002,URLSE
46,0.46900000000000003,URLSE
48,0.771,URLSE
50,0.599,URLSE
52,0.495,URLSE
54,0.594,URLSE
56,0.871,URLSE
58,0.26,URLSE
60,0.0,URLSE
62,0.677,URLSE
64,0.251,URLSE
66,0.446,URLSE
68,0.214,URLSE
70,0.906,URLSE
72,0.8180000000000001,URLSE
74,0.234,URLSE
76,0.045,URLSE
78,0.742,URLSE
80,0.147,URLSE
82,0.14400000000000002,URLSE
84,0.925,URLSE
86,0.049,URLSE
88,0.162,URLSE
90,0.9380000000000001,URLSE
92,0.758,URLSE
94,0.524,URLSE
96,0.03,URLSE
98,0.8240000000000001,URLSE
100,0.268,URLSE
102,0.377,URLSE
104,0.493,URLSE
106,0.147,URLSE
108,0.08600000000000001,URLSE
110,0.28200000000000003,URLSE
112,0.124,URLSE
114,0.064,URLSE
116,0.28400000000000003,URLSE
118,0.6880000000000001,URLSE
120,0.024,URLSE
122,0.9580000000000001,URLSE
124,0.024,URLSE
126,0.711,URLSE
128,0.853,URLSE
130,0.399,URLSE
132,0.214,URLSE
134,0.121,URLSE
136,0.499,URLSE
138,0.08,URLSE
140,0.902,URLSE
142,0.154,URLSE
144,0.405,URLSE
146,0.393,URLSE
148,0.586,URLSE
150,0.15,URLSE
152,0.28300000000000003,URLSE
154,0.877,URLSE
156,0.021,URLSE
158,0.23,URLSE
160,0.969,URLSE
162,0.642,URLSE
164,0.281,URLSE
166,0.76,URLSE
168,0.774,URLSE
170,0.197,URLSE
172,0.07200000000000001,URLSE
174,0.244,URLSE
176,0.037,URLSE
178,0.185,URLSE
180,0.932,URLSE
182,0.798,URLSE
184,0.083,URLSE
186,0.795,URLSE
188,0.294,URLSE
190,0.021,URLSE
192,0.126,URLSE
194,0.268,URLSE
196,0.09,URLSE
198,0.338,URLSE
200,0.786,URLSE
202,0.663,URLSE
204,0.40900000000000003,URLSE
206,0.191,URLSE
208,0.8170000000000001,URLSE
210,0.25,URLSE
212,0.095,URLSE
214,0.036000000000000004,URLSE
216,0.642,URLSE
218,0.029,URLSE
220,0.981,URLSE
222,0.894,URLSE
224,0.653,URLSE
226,0.428,URLSE
228,0.158,URLSE
230,0.587,URLSE
232,0.655,URLSE
234,0.23800000000000002,URLSE
236,0.387,URLSE
238,0.404,URLSE
240,0.805,URLSE
242,0.377,URLSE
244,0.38,URLSE
246,0.243,URLSE
248,0.983,URLSE
250,0.9,URLSE
252,0.487,URLSE
254,0.901,URLSE
256,0.748,URLSE
258,0.257,URLSE
260,0.454,URLSE
262,0.057,URLSE
264,0.468,URLSE
266,0.554,URLSE
268,0.356,URLSE
270,0.882,URLSE
272,0.559,URLSE
274,0.788,URLSE
276,0.559,URLSE
278,0.641,URLSE
280,0.536,URLSE
282,0.924,URLSE
284,0.214,URLSE
286,0.548,URLSE
288,0.186,URLSE
290,0.784,URLSE
292,0.10400000000000001,URLSE
294,0.731,URLSE
296,0.307,URLSE
298,0.493,URLSE
300,0.372,URLSE
302,0.579,URLSE
304,0.004,URLSE
306,0.368,URLSE
308,0.34600000000000003,URLSE
310,0.043000000000000003,URLSE
312,0.384,URLSE
314,0.483,URLSE
316,0.40900000000000003,URLSE
318,0.45,URLSE
320,0.533,URLSE
322,0.114,URLSE
324,0.866,URLSE
326,0.623,URLSE
328,0.343,URLSE
330,0.9420000000000001,URLSE
332,0.9380000000000001,URLSE
334,0.371,URLSE
336,0.765,URLSE
338,0.904,URLSE
340,0.398,URLSE
342,0.598,URLSE
344,0.874,URLSE
346,0.599,URLSE
348,0.5690000000000001,URLSE
350,0.968,URLSE
352,0.047,URLSE
354,0.253,URLSE
356,0.8150000000000001,URLSE
358,0.01,URLSE
360,0.917,URLSE
362,0.183,URLSE
364,0.001,URLSE
366,0.043000000000000003,URLSE
368,0.6940000000000001,URLSE
370,0.898,URLSE
372,0.518,URLSE
374,0.001,URLSE
376,0.492,URLSE
378,0.8230000000000001,URLSE
380,0.35000000000000003,URLSE
382,0.62,URLSE
384,0.615,URLSE
386,0.868,URLSE
388,0.217,URLSE
390,0.776,URLSE
392,0.601,URLSE
394,0.076,URLSE
396,0.866,URLSE
398,0.989,URLSE
