,p_hat,method
7,0.669,Unfolded Node2Vec
15,0.116,Unfolded Node2Vec
23,0.233,Unfolded Node2Vec
31,0.772,Unfolded Node2Vec
39,0.562,Unfolded Node2Vec
47,0.71,Unfolded Node2Vec
55,0.008,Unfolded Node2Vec
63,0.843,Unfolded Node2Vec
71,0.716,Unfolded Node2Vec
79,0.45,Unfolded Node2Vec
87,0.874,Unfolded Node2Vec
95,0.376,Unfolded Node2Vec
103,0.117,Unfolded Node2Vec
111,0.251,Unfolded Node2Vec
119,0.593,Unfolded Node2Vec
127,0.47300000000000003,Unfolded Node2Vec
135,0.908,Unfolded Node2Vec
143,0.138,Unfolded Node2Vec
151,0.654,Unfolded Node2Vec
159,0.016,Unfolded Node2Vec
167,0.315,Unfolded Node2Vec
175,0.979,Unfolded Node2Vec
183,0.835,Unfolded Node2Vec
191,0.787,Unfolded Node2Vec
199,0.537,Unfolded Node2Vec
207,0.48,Unfolded Node2Vec
215,0.14400000000000002,Unfolded Node2Vec
223,0.8200000000000001,Unfolded Node2Vec
231,0.163,Unfolded Node2Vec
239,0.497,Unfolded Node2Vec
247,0.641,Unfolded Node2Vec
255,0.073,Unfolded Node2Vec
263,0.538,Unfolded Node2Vec
271,0.46,Unfolded Node2Vec
279,0.5660000000000001,Unfolded Node2Vec
287,0.20700000000000002,Unfolded Node2Vec
295,0.902,Unfolded Node2Vec
303,0.246,Unfolded Node2Vec
311,0.41400000000000003,Unfolded Node2Vec
319,0.44,Unfolded Node2Vec
327,0.52,Unfolded Node2Vec
335,0.465,Unfolded Node2Vec
343,0.366,Unfolded Node2Vec
351,0.745,Unfolded Node2Vec
359,0.154,Unfolded Node2Vec
367,0.452,Unfolded Node2Vec
375,0.15,Unfolded Node2Vec
383,0.753,Unfolded Node2Vec
391,0.5760000000000001,Unfolded Node2Vec
399,0.084,Unfolded Node2Vec
407,0.789,Unfolded Node2Vec
415,0.253,Unfolded Node2Vec
423,0.1,Unfolded Node2Vec
431,0.47800000000000004,Unfolded Node2Vec
439,0.341,Unfolded Node2Vec
447,0.748,Unfolded Node2Vec
455,0.918,Unfolded Node2Vec
463,0.152,Unfolded Node2Vec
471,0.162,Unfolded Node2Vec
479,0.638,Unfolded Node2Vec
487,0.114,Unfolded Node2Vec
495,0.504,Unfolded Node2Vec
503,0.772,Unfolded Node2Vec
511,0.437,Unfolded Node2Vec
519,0.72,Unfolded Node2Vec
527,0.16,Unfolded Node2Vec
535,0.96,Unfolded Node2Vec
543,0.919,Unfolded Node2Vec
551,0.965,Unfolded Node2Vec
559,0.069,Unfolded Node2Vec
567,0.362,Unfolded Node2Vec
575,0.522,Unfolded Node2Vec
583,0.183,Unfolded Node2Vec
591,0.28,Unfolded Node2Vec
599,0.725,Unfolded Node2Vec
607,0.621,Unfolded Node2Vec
615,0.966,Unfolded Node2Vec
623,0.545,Unfolded Node2Vec
631,0.758,Unfolded Node2Vec
639,0.638,Unfolded Node2Vec
647,0.645,Unfolded Node2Vec
655,0.685,Unfolded Node2Vec
663,0.6970000000000001,Unfolded Node2Vec
671,0.47900000000000004,Unfolded Node2Vec
679,0.035,Unfolded Node2Vec
687,0.884,Unfolded Node2Vec
695,0.234,Unfolded Node2Vec
703,0.503,Unfolded Node2Vec
711,0.23700000000000002,Unfolded Node2Vec
719,0.76,Unfolded Node2Vec
727,0.584,Unfolded Node2Vec
735,0.775,Unfolded Node2Vec
743,0.98,Unfolded Node2Vec
751,0.17300000000000001,Unfolded Node2Vec
759,0.674,Unfolded Node2Vec
767,0.536,Unfolded Node2Vec
775,0.9380000000000001,Unfolded Node2Vec
783,0.892,Unfolded Node2Vec
791,0.893,Unfolded Node2Vec
799,0.445,Unfolded Node2Vec
807,0.513,Unfolded Node2Vec
815,0.0,Unfolded Node2Vec
823,0.9510000000000001,Unfolded Node2Vec
831,0.079,Unfolded Node2Vec
839,0.34700000000000003,Unfolded Node2Vec
847,0.6890000000000001,Unfolded Node2Vec
855,0.371,Unfolded Node2Vec
863,0.494,Unfolded Node2Vec
871,0.465,Unfolded Node2Vec
879,0.971,Unfolded Node2Vec
887,0.783,Unfolded Node2Vec
895,0.094,Unfolded Node2Vec
903,0.716,Unfolded Node2Vec
911,0.9430000000000001,Unfolded Node2Vec
919,0.707,Unfolded Node2Vec
927,0.464,Unfolded Node2Vec
935,0.522,Unfolded Node2Vec
943,0.403,Unfolded Node2Vec
951,0.7030000000000001,Unfolded Node2Vec
959,0.48,Unfolded Node2Vec
967,0.178,Unfolded Node2Vec
975,0.131,Unfolded Node2Vec
983,0.447,Unfolded Node2Vec
991,0.9440000000000001,Unfolded Node2Vec
999,0.426,Unfolded Node2Vec
1007,0.47300000000000003,Unfolded Node2Vec
1015,0.261,Unfolded Node2Vec
1023,0.111,Unfolded Node2Vec
1031,0.489,Unfolded Node2Vec
1039,0.877,Unfolded Node2Vec
1047,0.302,Unfolded Node2Vec
1055,0.878,Unfolded Node2Vec
1063,0.74,Unfolded Node2Vec
1071,0.41000000000000003,Unfolded Node2Vec
1079,0.6990000000000001,Unfolded Node2Vec
1087,0.261,Unfolded Node2Vec
1095,0.984,Unfolded Node2Vec
1103,0.40900000000000003,Unfolded Node2Vec
1111,0.905,Unfolded Node2Vec
1119,0.28300000000000003,Unfolded Node2Vec
1127,0.654,Unfolded Node2Vec
1135,0.929,Unfolded Node2Vec
1143,0.769,Unfolded Node2Vec
1151,0.07100000000000001,Unfolded Node2Vec
1159,0.393,Unfolded Node2Vec
1167,0.932,Unfolded Node2Vec
1175,0.2,Unfolded Node2Vec
1183,0.201,Unfolded Node2Vec
1191,0.648,Unfolded Node2Vec
1199,0.738,Unfolded Node2Vec
1207,0.168,Unfolded Node2Vec
1215,0.18,Unfolded Node2Vec
1223,0.582,Unfolded Node2Vec
1231,0.895,Unfolded Node2Vec
1239,0.303,Unfolded Node2Vec
1247,0.202,Unfolded Node2Vec
1255,0.795,Unfolded Node2Vec
1263,0.214,Unfolded Node2Vec
1271,0.746,Unfolded Node2Vec
1279,0.145,Unfolded Node2Vec
1287,0.901,Unfolded Node2Vec
1295,0.042,Unfolded Node2Vec
1303,0.13,Unfolded Node2Vec
1311,0.47000000000000003,Unfolded Node2Vec
1319,0.994,Unfolded Node2Vec
1327,0.125,Unfolded Node2Vec
1335,0.375,Unfolded Node2Vec
1343,0.62,Unfolded Node2Vec
1351,0.531,Unfolded Node2Vec
1359,0.152,Unfolded Node2Vec
1367,0.775,Unfolded Node2Vec
1375,0.488,Unfolded Node2Vec
1383,0.5660000000000001,Unfolded Node2Vec
1391,0.179,Unfolded Node2Vec
1399,0.133,Unfolded Node2Vec
1407,0.857,Unfolded Node2Vec
1415,0.377,Unfolded Node2Vec
1423,0.042,Unfolded Node2Vec
1431,0.996,Unfolded Node2Vec
1439,0.455,Unfolded Node2Vec
1447,0.512,Unfolded Node2Vec
1455,0.333,Unfolded Node2Vec
1463,0.7030000000000001,Unfolded Node2Vec
1471,0.856,Unfolded Node2Vec
1479,0.034,Unfolded Node2Vec
1487,0.176,Unfolded Node2Vec
1495,0.211,Unfolded Node2Vec
1503,0.145,Unfolded Node2Vec
1511,0.652,Unfolded Node2Vec
1519,0.963,Unfolded Node2Vec
1527,0.509,Unfolded Node2Vec
1535,0.54,Unfolded Node2Vec
1543,0.23,Unfolded Node2Vec
1551,0.31,Unfolded Node2Vec
1559,0.682,Unfolded Node2Vec
1567,0.301,Unfolded Node2Vec
1575,0.798,Unfolded Node2Vec
1583,0.292,Unfolded Node2Vec
1591,0.798,Unfolded Node2Vec
1599,0.883,Unfolded Node2Vec
