,p_hat,method
7,0.029,GloDyNE
15,0.321,GloDyNE
23,0.517,GloDyNE
31,0.273,GloDyNE
39,0.394,GloDyNE
47,0.313,GloDyNE
55,0.388,GloDyNE
63,0.438,GloDyNE
71,0.265,GloDyNE
79,0.5690000000000001,GloDyNE
87,0.523,GloDyNE
95,0.196,GloDyNE
103,0.202,GloDyNE
111,0.5700000000000001,GloDyNE
119,0.017,GloDyNE
127,0.507,GloDyNE
135,0.241,GloDyNE
143,0.37,GloDyNE
151,0.47200000000000003,GloDyNE
159,0.061,GloDyNE
167,0.092,GloDyNE
175,0.396,GloDyNE
183,0.05,GloDyNE
191,0.5640000000000001,GloDyNE
199,0.462,GloDyNE
207,0.5660000000000001,GloDyNE
215,0.224,GloDyNE
223,0.151,GloDyNE
231,0.213,GloDyNE
239,0.445,GloDyNE
247,0.40700000000000003,GloDyNE
255,0.487,GloDyNE
263,0.386,GloDyNE
271,0.336,GloDyNE
279,0.314,GloDyNE
287,0.445,GloDyNE
295,0.47900000000000004,GloDyNE
303,0.621,GloDyNE
311,0.365,GloDyNE
319,0.04,GloDyNE
327,0.357,GloDyNE
335,0.378,GloDyNE
343,0.47100000000000003,GloDyNE
351,0.35100000000000003,GloDyNE
359,0.276,GloDyNE
367,0.452,GloDyNE
375,0.254,GloDyNE
383,0.372,GloDyNE
391,0.23900000000000002,GloDyNE
399,0.551,GloDyNE
407,0.019,GloDyNE
415,0.418,GloDyNE
423,0.258,GloDyNE
431,0.535,GloDyNE
439,0.505,GloDyNE
447,0.403,GloDyNE
455,0.038,GloDyNE
463,0.47100000000000003,GloDyNE
471,0.418,GloDyNE
479,0.322,GloDyNE
487,0.083,GloDyNE
495,0.532,GloDyNE
503,0.153,GloDyNE
511,0.189,GloDyNE
519,0.295,GloDyNE
527,0.342,GloDyNE
535,0.523,GloDyNE
543,0.519,GloDyNE
551,0.376,GloDyNE
559,0.34800000000000003,GloDyNE
567,0.268,GloDyNE
575,0.5750000000000001,GloDyNE
583,0.013000000000000001,GloDyNE
591,0.332,GloDyNE
599,0.23500000000000001,GloDyNE
607,0.515,GloDyNE
615,0.39,GloDyNE
623,0.671,GloDyNE
631,0.377,GloDyNE
639,0.33,GloDyNE
