,p_hat,method
2,0.017,OMNI
10,0.004,OMNI
18,0.01,OMNI
26,0.099,OMNI
34,0.046,OMNI
42,0.359,OMNI
50,0.069,OMNI
58,0.05,OMNI
66,0.032,OMNI
74,0.057,OMNI
82,0.113,OMNI
90,0.091,OMNI
98,0.022,OMNI
106,0.032,OMNI
114,0.05,OMNI
122,0.101,OMNI
130,0.151,OMNI
138,0.007,OMNI
146,0.004,OMNI
154,0.011,OMNI
162,0.019,OMNI
170,0.021,OMNI
178,0.001,OMNI
186,0.029,OMNI
194,0.001,OMNI
202,0.07,OMNI
210,0.024,OMNI
218,0.155,OMNI
226,0.044,OMNI
234,0.017,OMNI
242,0.031,OMNI
250,0.044,OMNI
258,0.014,OMNI
266,0.114,OMNI
274,0.162,OMNI
282,0.0,OMNI
290,0.014,OMNI
298,0.002,OMNI
306,0.001,OMNI
314,0.002,OMNI
322,0.24,OMNI
330,0.007,OMNI
338,0.001,OMNI
346,0.003,OMNI
354,0.025,OMNI
362,0.001,OMNI
370,0.028,OMNI
378,0.241,OMNI
386,0.105,OMNI
394,0.021,OMNI
402,0.0,OMNI
410,0.012,OMNI
418,0.115,OMNI
426,0.106,OMNI
434,0.099,OMNI
442,0.029,OMNI
450,0.061,OMNI
458,0.02,OMNI
466,0.045,OMNI
474,0.068,OMNI
482,0.08600000000000001,OMNI
490,0.032,OMNI
498,0.082,OMNI
506,0.08600000000000001,OMNI
514,0.008,OMNI
522,0.013000000000000001,OMNI
530,0.055,OMNI
538,0.054,OMNI
546,0.036000000000000004,OMNI
554,0.044,OMNI
562,0.012,OMNI
570,0.082,OMNI
578,0.037,OMNI
586,0.08600000000000001,OMNI
594,0.091,OMNI
602,0.014,OMNI
610,0.17500000000000002,OMNI
618,0.039,OMNI
626,0.139,OMNI
634,0.067,OMNI
642,0.028,OMNI
650,0.137,OMNI
658,0.265,OMNI
666,0.022,OMNI
674,0.012,OMNI
682,0.012,OMNI
690,0.02,OMNI
698,0.099,OMNI
706,0.003,OMNI
714,0.003,OMNI
722,0.006,OMNI
730,0.054,OMNI
738,0.11900000000000001,OMNI
746,0.053,OMNI
754,0.082,OMNI
762,0.065,OMNI
770,0.029,OMNI
778,0.0,OMNI
786,0.032,OMNI
794,0.023,OMNI
802,0.031,OMNI
810,0.032,OMNI
818,0.001,OMNI
826,0.157,OMNI
834,0.074,OMNI
842,0.314,OMNI
850,0.051000000000000004,OMNI
858,0.081,OMNI
866,0.038,OMNI
874,0.116,OMNI
882,0.007,OMNI
890,0.006,OMNI
898,0.085,OMNI
906,0.004,OMNI
914,0.023,OMNI
922,0.021,OMNI
930,0.14100000000000001,OMNI
938,0.083,OMNI
946,0.224,OMNI
954,0.015,OMNI
962,0.14,OMNI
970,0.164,OMNI
978,0.011,OMNI
986,0.005,OMNI
994,0.023,OMNI
1002,0.011,OMNI
1010,0.122,OMNI
1018,0.037,OMNI
1026,0.017,OMNI
1034,0.059000000000000004,OMNI
1042,0.077,OMNI
1050,0.04,OMNI
1058,0.031,OMNI
1066,0.003,OMNI
1074,0.021,OMNI
1082,0.10400000000000001,OMNI
1090,0.115,OMNI
1098,0.009000000000000001,OMNI
1106,0.04,OMNI
1114,0.028,OMNI
1122,0.057,OMNI
1130,0.0,OMNI
1138,0.196,OMNI
1146,0.082,OMNI
1154,0.047,OMNI
1162,0.023,OMNI
1170,0.039,OMNI
1178,0.008,OMNI
1186,0.063,OMNI
1194,0.197,OMNI
1202,0.01,OMNI
1210,0.016,OMNI
1218,0.042,OMNI
1226,0.024,OMNI
1234,0.0,OMNI
1242,0.009000000000000001,OMNI
1250,0.042,OMNI
1258,0.08600000000000001,OMNI
1266,0.038,OMNI
1274,0.018000000000000002,OMNI
1282,0.004,OMNI
1290,0.052000000000000005,OMNI
1298,0.007,OMNI
1306,0.024,OMNI
1314,0.028,OMNI
1322,0.057,OMNI
1330,0.06,OMNI
1338,0.005,OMNI
1346,0.0,OMNI
1354,0.004,OMNI
1362,0.023,OMNI
1370,0.005,OMNI
1378,0.013000000000000001,OMNI
1386,0.042,OMNI
1394,0.094,OMNI
1402,0.037,OMNI
1410,0.026000000000000002,OMNI
1418,0.011,OMNI
1426,0.009000000000000001,OMNI
1434,0.001,OMNI
1442,0.026000000000000002,OMNI
1450,0.085,OMNI
1458,0.112,OMNI
1466,0.003,OMNI
1474,0.014,OMNI
1482,0.014,OMNI
1490,0.025,OMNI
1498,0.058,OMNI
1506,0.026000000000000002,OMNI
1514,0.128,OMNI
1522,0.013000000000000001,OMNI
1530,0.012,OMNI
1538,0.02,OMNI
1546,0.018000000000000002,OMNI
1554,0.122,OMNI
1562,0.528,OMNI
1570,0.046,OMNI
1578,0.002,OMNI
1586,0.028,OMNI
1594,0.244,OMNI
