,p_hat,method
1,0.085,SSE Procrustes
9,0.08600000000000001,SSE Procrustes
17,0.044,SSE Procrustes
25,0.181,SSE Procrustes
33,0.033,SSE Procrustes
41,0.41400000000000003,SSE Procrustes
49,0.101,SSE Procrustes
57,0.258,SSE Procrustes
65,0.132,SSE Procrustes
73,0.341,SSE Procrustes
81,0.198,SSE Procrustes
89,0.194,SSE Procrustes
97,0.042,SSE Procrustes
105,0.068,SSE Procrustes
113,0.091,SSE Procrustes
121,0.11,SSE Procrustes
129,0.188,SSE Procrustes
137,0.241,SSE Procrustes
145,0.075,SSE Procrustes
153,0.013000000000000001,SSE Procrustes
161,0.14200000000000002,SSE Procrustes
169,0.058,SSE Procrustes
177,0.009000000000000001,SSE Procrustes
185,0.014,SSE Procrustes
193,0.182,SSE Procrustes
201,0.085,SSE Procrustes
209,0.058,SSE Procrustes
217,0.243,SSE Procrustes
225,0.123,SSE Procrustes
233,0.097,SSE Procrustes
241,0.382,SSE Procrustes
249,0.441,SSE Procrustes
257,0.053,SSE Procrustes
265,0.083,SSE Procrustes
273,0.333,SSE Procrustes
281,0.025,SSE Procrustes
289,0.088,SSE Procrustes
297,0.013000000000000001,SSE Procrustes
305,0.045,SSE Procrustes
313,0.005,SSE Procrustes
321,0.214,SSE Procrustes
329,0.023,SSE Procrustes
337,0.05,SSE Procrustes
345,0.009000000000000001,SSE Procrustes
353,0.105,SSE Procrustes
361,0.033,SSE Procrustes
369,0.065,SSE Procrustes
377,0.299,SSE Procrustes
385,0.18,SSE Procrustes
393,0.029,SSE Procrustes
401,0.008,SSE Procrustes
409,0.259,SSE Procrustes
417,0.183,SSE Procrustes
425,0.042,SSE Procrustes
433,0.187,SSE Procrustes
441,0.084,SSE Procrustes
449,0.127,SSE Procrustes
457,0.07,SSE Procrustes
465,0.089,SSE Procrustes
473,0.11,SSE Procrustes
481,0.164,SSE Procrustes
489,0.055,SSE Procrustes
497,0.298,SSE Procrustes
505,0.092,SSE Procrustes
513,0.061,SSE Procrustes
521,0.048,SSE Procrustes
529,0.117,SSE Procrustes
537,0.076,SSE Procrustes
545,0.168,SSE Procrustes
553,0.03,SSE Procrustes
561,0.11,SSE Procrustes
569,0.108,SSE Procrustes
577,0.084,SSE Procrustes
585,0.073,SSE Procrustes
593,0.246,SSE Procrustes
601,0.149,SSE Procrustes
609,0.422,SSE Procrustes
617,0.28500000000000003,SSE Procrustes
625,0.336,SSE Procrustes
633,0.182,SSE Procrustes
641,0.054,SSE Procrustes
649,0.214,SSE Procrustes
657,0.323,SSE Procrustes
665,0.199,SSE Procrustes
673,0.07100000000000001,SSE Procrustes
681,0.025,SSE Procrustes
689,0.051000000000000004,SSE Procrustes
697,0.17300000000000001,SSE Procrustes
705,0.045,SSE Procrustes
713,0.024,SSE Procrustes
721,0.116,SSE Procrustes
729,0.054,SSE Procrustes
737,0.336,SSE Procrustes
745,0.025,SSE Procrustes
