,p_hat,method
0,0.033,SSE
8,0.0,SSE
16,0.0,SSE
24,0.0,SSE
32,0.003,SSE
40,0.0,SSE
48,0.085,SSE
56,0.064,SSE
64,0.0,SSE
72,0.135,SSE
80,0.001,SSE
88,0.0,SSE
96,0.0,SSE
104,0.019,SSE
112,0.0,SSE
120,0.0,SSE
128,0.026000000000000002,SSE
136,0.275,SSE
144,0.0,SSE
152,0.015,SSE
160,0.046,SSE
168,0.009000000000000001,SSE
176,0.0,SSE
184,0.0,SSE
192,0.054,SSE
200,0.006,SSE
208,0.006,SSE
216,0.247,SSE
224,0.008,SSE
232,0.022,SSE
240,0.40700000000000003,SSE
248,0.0,SSE
256,0.0,SSE
264,0.0,SSE
272,0.356,SSE
280,0.0,SSE
288,0.0,SSE
296,0.002,SSE
304,0.029,SSE
312,0.0,SSE
320,0.066,SSE
328,0.0,SSE
336,0.0,SSE
344,0.0,SSE
352,0.01,SSE
360,0.0,SSE
368,0.0,SSE
376,0.187,SSE
384,0.0,SSE
392,0.0,SSE
400,0.0,SSE
408,0.007,SSE
416,0.0,SSE
424,0.047,SSE
432,0.045,SSE
440,0.0,SSE
448,0.0,SSE
456,0.0,SSE
464,0.0,SSE
472,0.0,SSE
480,0.056,SSE
488,0.0,SSE
496,0.059000000000000004,SSE
504,0.014,SSE
512,0.001,SSE
520,0.0,SSE
528,0.0,SSE
536,0.155,SSE
544,0.055,SSE
552,0.001,SSE
560,0.0,SSE
568,0.0,SSE
576,0.16,SSE
584,0.042,SSE
592,0.0,SSE
600,0.016,SSE
608,0.20400000000000001,SSE
616,0.0,SSE
624,0.018000000000000002,SSE
632,0.014,SSE
640,0.036000000000000004,SSE
648,0.23500000000000001,SSE
656,0.0,SSE
664,0.056,SSE
672,0.0,SSE
680,0.018000000000000002,SSE
688,0.0,SSE
696,0.0,SSE
704,0.024,SSE
712,0.0,SSE
720,0.032,SSE
728,0.095,SSE
736,0.113,SSE
744,0.005,SSE
752,0.0,SSE
760,0.003,SSE
768,0.0,SSE
776,0.0,SSE
784,0.0,SSE
792,0.0,SSE
800,0.031,SSE
808,0.149,SSE
816,0.0,SSE
824,0.0,SSE
832,0.0,SSE
840,0.0,SSE
848,0.0,SSE
856,0.0,SSE
864,0.0,SSE
872,0.0,SSE
880,0.0,SSE
888,0.0,SSE
896,0.045,SSE
904,0.074,SSE
912,0.0,SSE
920,0.0,SSE
928,0.0,SSE
936,0.07100000000000001,SSE
944,0.377,SSE
952,0.10200000000000001,SSE
960,0.0,SSE
968,0.606,SSE
976,0.0,SSE
984,0.0,SSE
992,0.034,SSE
1000,0.0,SSE
1008,0.0,SSE
1016,0.011,SSE
1024,0.0,SSE
1032,0.0,SSE
1040,0.0,SSE
1048,0.022,SSE
1056,0.0,SSE
1064,0.0,SSE
1072,0.213,SSE
1080,0.008,SSE
1088,0.007,SSE
1096,0.0,SSE
1104,0.0,SSE
1112,0.0,SSE
1120,0.012,SSE
1128,0.0,SSE
1136,0.155,SSE
1144,0.0,SSE
1152,0.0,SSE
1160,0.0,SSE
1168,0.009000000000000001,SSE
1176,0.084,SSE
1184,0.0,SSE
1192,0.43,SSE
1200,0.0,SSE
1208,0.0,SSE
1216,0.0,SSE
1224,0.021,SSE
1232,0.0,SSE
1240,0.003,SSE
1248,0.0,SSE
1256,0.097,SSE
1264,0.0,SSE
1272,0.211,SSE
1280,0.0,SSE
1288,0.0,SSE
1296,0.034,SSE
1304,0.026000000000000002,SSE
1312,0.059000000000000004,SSE
1320,0.0,SSE
1328,0.0,SSE
1336,0.036000000000000004,SSE
1344,0.001,SSE
1352,0.011,SSE
1360,0.0,SSE
1368,0.062,SSE
1376,0.0,SSE
1384,0.0,SSE
1392,0.0,SSE
1400,0.0,SSE
1408,0.034,SSE
1416,0.0,SSE
1424,0.0,SSE
1432,0.0,SSE
1440,0.355,SSE
1448,0.0,SSE
1456,0.024,SSE
1464,0.0,SSE
1472,0.048,SSE
1480,0.0,SSE
1488,0.0,SSE
1496,0.036000000000000004,SSE
1504,0.0,SSE
1512,0.069,SSE
1520,0.041,SSE
1528,0.0,SSE
1536,0.0,SSE
1544,0.0,SSE
1552,0.178,SSE
1560,0.0,SSE
1568,0.0,SSE
1576,0.0,SSE
1584,0.0,SSE
1592,0.191,SSE
