,p_hat,method
3,0.0,UASE
11,0.0,UASE
19,0.0,UASE
27,0.002,UASE
35,0.0,UASE
43,0.048,UASE
51,0.0,UASE
59,0.002,UASE
67,0.011,UASE
75,0.003,UASE
83,0.002,UASE
91,0.004,UASE
99,0.0,UASE
107,0.0,UASE
115,0.0,UASE
123,0.0,UASE
131,0.004,UASE
139,0.007,UASE
147,0.0,UASE
155,0.0,UASE
163,0.001,UASE
171,0.0,UASE
179,0.0,UASE
187,0.0,UASE
195,0.0,UASE
203,0.0,UASE
211,0.0,UASE
219,0.0,UASE
227,0.001,UASE
235,0.0,UASE
243,0.026000000000000002,UASE
251,0.04,UASE
259,0.0,UASE
267,0.0,UASE
275,0.113,UASE
283,0.0,UASE
291,0.0,UASE
299,0.0,UASE
307,0.0,UASE
315,0.0,UASE
323,0.009000000000000001,UASE
331,0.0,UASE
339,0.0,UASE
347,0.0,UASE
355,0.0,UASE
363,0.0,UASE
371,0.0,UASE
379,0.013000000000000001,UASE
387,0.0,UASE
395,0.0,UASE
403,0.0,UASE
411,0.007,UASE
419,0.003,UASE
427,0.0,UASE
435,0.0,UASE
443,0.0,UASE
451,0.0,UASE
459,0.002,UASE
467,0.0,UASE
475,0.0,UASE
483,0.007,UASE
491,0.0,UASE
499,0.0,UASE
507,0.0,UASE
515,0.0,UASE
523,0.0,UASE
531,0.001,UASE
539,0.0,UASE
547,0.001,UASE
555,0.0,UASE
563,0.0,UASE
571,0.003,UASE
579,0.0,UASE
587,0.002,UASE
595,0.001,UASE
603,0.002,UASE
611,0.017,UASE
619,0.021,UASE
627,0.006,UASE
635,0.004,UASE
643,0.0,UASE
651,0.005,UASE
659,0.001,UASE
667,0.0,UASE
675,0.0,UASE
683,0.0,UASE
691,0.0,UASE
699,0.001,UASE
707,0.0,UASE
715,0.0,UASE
723,0.0,UASE
731,0.0,UASE
739,0.021,UASE
747,0.0,UASE
755,0.0,UASE
763,0.0,UASE
771,0.0,UASE
779,0.0,UASE
787,0.0,UASE
795,0.0,UASE
803,0.0,UASE
811,0.001,UASE
819,0.0,UASE
827,0.0,UASE
835,0.0,UASE
843,0.022,UASE
851,0.0,UASE
859,0.0,UASE
867,0.0,UASE
875,0.001,UASE
883,0.0,UASE
891,0.0,UASE
899,0.008,UASE
907,0.0,UASE
915,0.0,UASE
923,0.0,UASE
931,0.001,UASE
939,0.003,UASE
947,0.003,UASE
955,0.0,UASE
963,0.002,UASE
971,0.031,UASE
979,0.0,UASE
987,0.0,UASE
995,0.001,UASE
1003,0.0,UASE
1011,0.003,UASE
1019,0.0,UASE
1027,0.0,UASE
1035,0.0,UASE
1043,0.003,UASE
1051,0.002,UASE
1059,0.0,UASE
1067,0.0,UASE
1075,0.001,UASE
1083,0.002,UASE
1091,0.001,UASE
1099,0.0,UASE
1107,0.0,UASE
1115,0.005,UASE
1123,0.0,UASE
1131,0.0,UASE
1139,0.007,UASE
1147,0.0,UASE
1155,0.003,UASE
1163,0.0,UASE
1171,0.001,UASE
1179,0.0,UASE
1187,0.005,UASE
1195,0.061,UASE
1203,0.001,UASE
1211,0.001,UASE
1219,0.005,UASE
1227,0.0,UASE
1235,0.0,UASE
1243,0.0,UASE
1251,0.001,UASE
1259,0.0,UASE
1267,0.001,UASE
1275,0.009000000000000001,UASE
1283,0.0,UASE
1291,0.0,UASE
1299,0.0,UASE
1307,0.003,UASE
1315,0.0,UASE
1323,0.0,UASE
1331,0.0,UASE
1339,0.0,UASE
1347,0.0,UASE
1355,0.001,UASE
1363,0.0,UASE
1371,0.0,UASE
1379,0.001,UASE
1387,0.0,UASE
1395,0.013000000000000001,UASE
1403,0.0,UASE
1411,0.0,UASE
1419,0.0,UASE
1427,0.001,UASE
1435,0.001,UASE
1443,0.003,UASE
1451,0.0,UASE
1459,0.004,UASE
1467,0.0,UASE
1475,0.0,UASE
1483,0.0,UASE
1491,0.0,UASE
1499,0.002,UASE
1507,0.0,UASE
1515,0.0,UASE
1523,0.0,UASE
1531,0.0,UASE
1539,0.0,UASE
1547,0.0,UASE
1555,0.001,UASE
1563,0.10400000000000001,UASE
1571,0.003,UASE
1579,0.0,UASE
1587,0.0,UASE
1595,0.033,UASE
