,p_hat,method
4,0.0,URLSE
12,0.0,URLSE
20,0.001,URLSE
28,0.001,URLSE
36,0.0,URLSE
44,0.029,URLSE
52,0.002,URLSE
60,0.003,URLSE
68,0.004,URLSE
76,0.007,URLSE
84,0.0,URLSE
92,0.004,URLSE
100,0.0,URLSE
108,0.0,URLSE
116,0.0,URLSE
124,0.0,URLSE
132,0.0,URLSE
140,0.005,URLSE
148,0.0,URLSE
156,0.0,URLSE
164,0.0,URLSE
172,0.0,URLSE
180,0.0,URLSE
188,0.0,URLSE
196,0.001,URLSE
204,0.0,URLSE
212,0.001,URLSE
220,0.001,URLSE
228,0.001,URLSE
236,0.0,URLSE
244,0.034,URLSE
252,0.04,URLSE
260,0.0,URLSE
268,0.004,URLSE
276,0.108,URLSE
284,0.0,URLSE
292,0.0,URLSE
300,0.0,URLSE
308,0.0,URLSE
316,0.0,URLSE
324,0.022,URLSE
332,0.0,URLSE
340,0.0,URLSE
348,0.0,URLSE
356,0.0,URLSE
364,0.0,URLSE
372,0.0,URLSE
380,0.02,URLSE
388,0.001,URLSE
396,0.0,URLSE
404,0.0,URLSE
412,0.002,URLSE
420,0.004,URLSE
428,0.001,URLSE
436,0.002,URLSE
444,0.0,URLSE
452,0.0,URLSE
460,0.001,URLSE
468,0.0,URLSE
476,0.001,URLSE
484,0.008,URLSE
492,0.0,URLSE
500,0.003,URLSE
508,0.001,URLSE
516,0.0,URLSE
524,0.0,URLSE
532,0.002,URLSE
540,0.002,URLSE
548,0.001,URLSE
556,0.0,URLSE
564,0.0,URLSE
572,0.0,URLSE
580,0.0,URLSE
588,0.003,URLSE
596,0.001,URLSE
604,0.001,URLSE
612,0.027,URLSE
620,0.015,URLSE
628,0.006,URLSE
636,0.005,URLSE
644,0.0,URLSE
652,0.002,URLSE
660,0.003,URLSE
668,0.0,URLSE
676,0.0,URLSE
684,0.0,URLSE
692,0.0,URLSE
700,0.0,URLSE
708,0.0,URLSE
716,0.0,URLSE
724,0.0,URLSE
732,0.001,URLSE
740,0.017,URLSE
748,0.0,URLSE
756,0.0,URLSE
764,0.0,URLSE
772,0.0,URLSE
780,0.0,URLSE
788,0.0,URLSE
796,0.0,URLSE
804,0.0,URLSE
812,0.0,URLSE
820,0.0,URLSE
828,0.0,URLSE
836,0.0,URLSE
844,0.03,URLSE
852,0.0,URLSE
860,0.0,URLSE
868,0.0,URLSE
876,0.001,URLSE
884,0.0,URLSE
892,0.0,URLSE
900,0.012,URLSE
908,0.0,URLSE
916,0.0,URLSE
924,0.001,URLSE
932,0.001,URLSE
940,0.006,URLSE
948,0.004,URLSE
956,0.0,URLSE
964,0.006,URLSE
972,0.031,URLSE
980,0.0,URLSE
988,0.001,URLSE
996,0.003,URLSE
1004,0.0,URLSE
1012,0.006,URLSE
1020,0.001,URLSE
1028,0.0,URLSE
1036,0.0,URLSE
1044,0.0,URLSE
1052,0.001,URLSE
1060,0.002,URLSE
1068,0.0,URLSE
1076,0.001,URLSE
1084,0.0,URLSE
1092,0.002,URLSE
1100,0.0,URLSE
1108,0.0,URLSE
1116,0.002,URLSE
1124,0.0,URLSE
1132,0.0,URLSE
1140,0.007,URLSE
1148,0.0,URLSE
1156,0.001,URLSE
1164,0.0,URLSE
1172,0.0,URLSE
1180,0.0,URLSE
1188,0.005,URLSE
1196,0.047,URLSE
1204,0.001,URLSE
1212,0.001,URLSE
1220,0.008,URLSE
1228,0.0,URLSE
1236,0.0,URLSE
1244,0.0,URLSE
1252,0.001,URLSE
1260,0.0,URLSE
1268,0.001,URLSE
1276,0.008,URLSE
1284,0.0,URLSE
1292,0.0,URLSE
1300,0.0,URLSE
1308,0.004,URLSE
1316,0.0,URLSE
1324,0.0,URLSE
1332,0.001,URLSE
1340,0.0,URLSE
1348,0.0,URLSE
1356,0.001,URLSE
1364,0.0,URLSE
1372,0.0,URLSE
1380,0.001,URLSE
1388,0.0,URLSE
1396,0.021,URLSE
1404,0.0,URLSE
1412,0.0,URLSE
1420,0.0,URLSE
1428,0.001,URLSE
1436,0.0,URLSE
1444,0.006,URLSE
1452,0.002,URLSE
1460,0.008,URLSE
1468,0.0,URLSE
1476,0.0,URLSE
1484,0.0,URLSE
1492,0.0,URLSE
1500,0.003,URLSE
1508,0.0,URLSE
1516,0.0,URLSE
1524,0.001,URLSE
1532,0.0,URLSE
1540,0.0,URLSE
1548,0.0,URLSE
1556,0.0,URLSE
1564,0.098,URLSE
1572,0.0,URLSE
1580,0.0,URLSE
1588,0.001,URLSE
1596,0.044,URLSE
