,p_hat,method
6,0.009000000000000001,Unfolded Node2Vec
14,0.001,Unfolded Node2Vec
22,0.011,Unfolded Node2Vec
30,0.025,Unfolded Node2Vec
38,0.031,Unfolded Node2Vec
46,0.809,Unfolded Node2Vec
54,0.023,Unfolded Node2Vec
62,0.233,Unfolded Node2Vec
70,0.861,Unfolded Node2Vec
78,0.558,Unfolded Node2Vec
86,0.066,Unfolded Node2Vec
94,0.083,Unfolded Node2Vec
102,0.064,Unfolded Node2Vec
110,0.363,Unfolded Node2Vec
118,0.166,Unfolded Node2Vec
126,0.524,Unfolded Node2Vec
134,0.618,Unfolded Node2Vec
142,0.724,Unfolded Node2Vec
150,0.232,Unfolded Node2Vec
158,0.246,Unfolded Node2Vec
166,0.456,Unfolded Node2Vec
174,0.013000000000000001,Unfolded Node2Vec
182,0.056,Unfolded Node2Vec
190,0.051000000000000004,Unfolded Node2Vec
198,0.11900000000000001,Unfolded Node2Vec
206,0.032,Unfolded Node2Vec
214,0.003,Unfolded Node2Vec
222,0.776,Unfolded Node2Vec
230,0.007,Unfolded Node2Vec
238,0.004,Unfolded Node2Vec
246,0.001,Unfolded Node2Vec
254,0.521,Unfolded Node2Vec
262,0.122,Unfolded Node2Vec
270,0.01,Unfolded Node2Vec
278,0.862,Unfolded Node2Vec
286,0.498,Unfolded Node2Vec
294,0.132,Unfolded Node2Vec
302,0.18,Unfolded Node2Vec
310,0.002,Unfolded Node2Vec
318,0.056,Unfolded Node2Vec
326,0.145,Unfolded Node2Vec
334,0.0,Unfolded Node2Vec
342,0.02,Unfolded Node2Vec
350,0.01,Unfolded Node2Vec
358,0.034,Unfolded Node2Vec
366,0.0,Unfolded Node2Vec
374,0.052000000000000005,Unfolded Node2Vec
382,0.011,Unfolded Node2Vec
390,0.069,Unfolded Node2Vec
398,0.027,Unfolded Node2Vec
406,0.009000000000000001,Unfolded Node2Vec
414,0.013000000000000001,Unfolded Node2Vec
422,0.025,Unfolded Node2Vec
430,0.015,Unfolded Node2Vec
438,0.227,Unfolded Node2Vec
446,0.061,Unfolded Node2Vec
454,0.095,Unfolded Node2Vec
462,0.019,Unfolded Node2Vec
470,0.581,Unfolded Node2Vec
478,0.017,Unfolded Node2Vec
486,0.014,Unfolded Node2Vec
494,0.019,Unfolded Node2Vec
502,0.423,Unfolded Node2Vec
510,0.135,Unfolded Node2Vec
518,0.108,Unfolded Node2Vec
526,0.016,Unfolded Node2Vec
534,0.031,Unfolded Node2Vec
542,0.779,Unfolded Node2Vec
550,0.01,Unfolded Node2Vec
558,0.553,Unfolded Node2Vec
566,0.039,Unfolded Node2Vec
574,0.135,Unfolded Node2Vec
582,0.04,Unfolded Node2Vec
590,0.20700000000000002,Unfolded Node2Vec
598,0.31,Unfolded Node2Vec
606,0.295,Unfolded Node2Vec
614,0.065,Unfolded Node2Vec
622,0.23,Unfolded Node2Vec
630,0.231,Unfolded Node2Vec
638,0.17400000000000002,Unfolded Node2Vec
646,0.683,Unfolded Node2Vec
654,0.063,Unfolded Node2Vec
662,0.015,Unfolded Node2Vec
670,0.896,Unfolded Node2Vec
678,0.034,Unfolded Node2Vec
686,0.538,Unfolded Node2Vec
694,0.016,Unfolded Node2Vec
702,0.196,Unfolded Node2Vec
710,0.0,Unfolded Node2Vec
718,0.006,Unfolded Node2Vec
726,0.293,Unfolded Node2Vec
734,0.156,Unfolded Node2Vec
742,0.306,Unfolded Node2Vec
750,0.013000000000000001,Unfolded Node2Vec
758,0.556,Unfolded Node2Vec
766,0.035,Unfolded Node2Vec
774,0.404,Unfolded Node2Vec
782,0.202,Unfolded Node2Vec
790,0.004,Unfolded Node2Vec
798,0.263,Unfolded Node2Vec
806,0.033,Unfolded Node2Vec
814,0.20500000000000002,Unfolded Node2Vec
822,0.369,Unfolded Node2Vec
830,0.05,Unfolded Node2Vec
838,0.009000000000000001,Unfolded Node2Vec
846,0.58,Unfolded Node2Vec
854,0.197,Unfolded Node2Vec
862,0.069,Unfolded Node2Vec
870,0.039,Unfolded Node2Vec
878,0.04,Unfolded Node2Vec
886,0.008,Unfolded Node2Vec
894,0.148,Unfolded Node2Vec
902,0.009000000000000001,Unfolded Node2Vec
910,0.0,Unfolded Node2Vec
918,0.538,Unfolded Node2Vec
926,0.10400000000000001,Unfolded Node2Vec
934,0.101,Unfolded Node2Vec
942,0.077,Unfolded Node2Vec
950,0.808,Unfolded Node2Vec
958,0.271,Unfolded Node2Vec
966,0.21,Unfolded Node2Vec
974,0.5660000000000001,Unfolded Node2Vec
982,0.07200000000000001,Unfolded Node2Vec
990,0.004,Unfolded Node2Vec
998,0.148,Unfolded Node2Vec
1006,0.0,Unfolded Node2Vec
1014,0.023,Unfolded Node2Vec
1022,0.009000000000000001,Unfolded Node2Vec
1030,0.014,Unfolded Node2Vec
1038,0.001,Unfolded Node2Vec
1046,0.67,Unfolded Node2Vec
1054,0.21,Unfolded Node2Vec
1062,0.082,Unfolded Node2Vec
1070,0.0,Unfolded Node2Vec
1078,0.3,Unfolded Node2Vec
1086,0.191,Unfolded Node2Vec
1094,0.985,Unfolded Node2Vec
1102,0.43,Unfolded Node2Vec
1110,0.40700000000000003,Unfolded Node2Vec
1118,0.195,Unfolded Node2Vec
1126,0.044,Unfolded Node2Vec
1134,0.44,Unfolded Node2Vec
1142,0.194,Unfolded Node2Vec
1150,0.013000000000000001,Unfolded Node2Vec
1158,0.202,Unfolded Node2Vec
1166,0.0,Unfolded Node2Vec
1174,0.115,Unfolded Node2Vec
