,p_hat,method
0,0.49,GloDyNE
1,0.41100000000000003,GloDyNE
2,0.385,GloDyNE
3,0.367,GloDyNE
4,0.393,GloDyNE
5,0.42,GloDyNE
6,0.296,GloDyNE
7,0.459,GloDyNE
8,0.337,GloDyNE
9,0.246,GloDyNE
10,0.505,GloDyNE
11,0.34400000000000003,GloDyNE
12,0.421,GloDyNE
13,0.41100000000000003,GloDyNE
14,0.487,GloDyNE
15,0.445,GloDyNE
16,0.47400000000000003,GloDyNE
17,0.41600000000000004,GloDyNE
18,0.312,GloDyNE
19,0.334,GloDyNE
20,0.41300000000000003,GloDyNE
21,0.428,GloDyNE
22,0.529,GloDyNE
23,0.494,GloDyNE
24,0.301,GloDyNE
25,0.464,GloDyNE
26,0.428,GloDyNE
27,0.296,GloDyNE
28,0.34,GloDyNE
29,0.392,GloDyNE
30,0.466,GloDyNE
31,0.40900000000000003,GloDyNE
32,0.385,GloDyNE
33,0.34400000000000003,GloDyNE
34,0.463,GloDyNE
35,0.379,GloDyNE
36,0.466,GloDyNE
37,0.401,GloDyNE
38,0.362,GloDyNE
39,0.364,GloDyNE
40,0.361,GloDyNE
41,0.326,GloDyNE
42,0.303,GloDyNE
43,0.32,GloDyNE
44,0.34900000000000003,GloDyNE
45,0.467,GloDyNE
46,0.335,GloDyNE
47,0.357,GloDyNE
48,0.424,GloDyNE
49,0.489,GloDyNE
50,0.327,GloDyNE
51,0.47900000000000004,GloDyNE
52,0.402,GloDyNE
53,0.383,GloDyNE
54,0.393,GloDyNE
55,0.316,GloDyNE
56,0.555,GloDyNE
57,0.378,GloDyNE
58,0.404,GloDyNE
59,0.281,GloDyNE
60,0.262,GloDyNE
61,0.308,GloDyNE
62,0.357,GloDyNE
63,0.466,GloDyNE
64,0.295,GloDyNE
65,0.426,GloDyNE
66,0.21,GloDyNE
67,0.329,GloDyNE
68,0.503,GloDyNE
69,0.37,GloDyNE
70,0.585,GloDyNE
71,0.544,GloDyNE
72,0.28200000000000003,GloDyNE
73,0.28800000000000003,GloDyNE
74,0.41100000000000003,GloDyNE
75,0.433,GloDyNE
76,0.385,GloDyNE
77,0.528,GloDyNE
78,0.447,GloDyNE
79,0.433,GloDyNE
80,0.332,GloDyNE
81,0.549,GloDyNE
82,0.45,GloDyNE
83,0.47200000000000003,GloDyNE
84,0.442,GloDyNE
85,0.395,GloDyNE
86,0.272,GloDyNE
87,0.334,GloDyNE
88,0.371,GloDyNE
89,0.425,GloDyNE
90,0.428,GloDyNE
91,0.489,GloDyNE
92,0.401,GloDyNE
93,0.528,GloDyNE
94,0.40700000000000003,GloDyNE
95,0.446,GloDyNE
96,0.439,GloDyNE
97,0.341,GloDyNE
98,0.399,GloDyNE
99,0.38,GloDyNE
100,0.25,GloDyNE
101,0.492,GloDyNE
102,0.262,GloDyNE
103,0.428,GloDyNE
104,0.51,GloDyNE
105,0.492,GloDyNE
106,0.36,GloDyNE
107,0.454,GloDyNE
108,0.374,GloDyNE
109,0.358,GloDyNE
110,0.358,GloDyNE
111,0.323,GloDyNE
112,0.47900000000000004,GloDyNE
113,0.34600000000000003,GloDyNE
114,0.5640000000000001,GloDyNE
115,0.406,GloDyNE
116,0.352,GloDyNE
117,0.437,GloDyNE
118,0.417,GloDyNE
119,0.435,GloDyNE
120,0.418,GloDyNE
121,0.38,GloDyNE
122,0.41000000000000003,GloDyNE
123,0.326,GloDyNE
124,0.34900000000000003,GloDyNE
125,0.45,GloDyNE
126,0.353,GloDyNE
127,0.358,GloDyNE
128,0.359,GloDyNE
129,0.41500000000000004,GloDyNE
130,0.328,GloDyNE
131,0.458,GloDyNE
132,0.391,GloDyNE
133,0.391,GloDyNE
134,0.36,GloDyNE
135,0.41600000000000004,GloDyNE
136,0.301,GloDyNE
137,0.41200000000000003,GloDyNE
138,0.361,GloDyNE
139,0.40700000000000003,GloDyNE
140,0.41400000000000003,GloDyNE
141,0.34700000000000003,GloDyNE
142,0.37,GloDyNE
143,0.388,GloDyNE
144,0.364,GloDyNE
145,0.41200000000000003,GloDyNE
146,0.306,GloDyNE
147,0.427,GloDyNE
148,0.34400000000000003,GloDyNE
149,0.498,GloDyNE
150,0.323,GloDyNE
151,0.406,GloDyNE
152,0.364,GloDyNE
153,0.334,GloDyNE
154,0.37,GloDyNE
155,0.362,GloDyNE
156,0.435,GloDyNE
157,0.384,GloDyNE
158,0.331,GloDyNE
159,0.443,GloDyNE
160,0.394,GloDyNE
161,0.492,GloDyNE
162,0.363,GloDyNE
163,0.333,GloDyNE
164,0.342,GloDyNE
165,0.371,GloDyNE
166,0.363,GloDyNE
167,0.323,GloDyNE
168,0.47600000000000003,GloDyNE
169,0.337,GloDyNE
170,0.438,GloDyNE
171,0.441,GloDyNE
172,0.262,GloDyNE
173,0.364,GloDyNE
174,0.372,GloDyNE
175,0.379,GloDyNE
176,0.324,GloDyNE
177,0.424,GloDyNE
178,0.363,GloDyNE
179,0.503,GloDyNE
180,0.365,GloDyNE
181,0.438,GloDyNE
182,0.33,GloDyNE
183,0.461,GloDyNE
184,0.33,GloDyNE
185,0.382,GloDyNE
186,0.306,GloDyNE
187,0.402,GloDyNE
188,0.515,GloDyNE
189,0.41600000000000004,GloDyNE
190,0.279,GloDyNE
191,0.299,GloDyNE
192,0.399,GloDyNE
193,0.402,GloDyNE
194,0.367,GloDyNE
195,0.422,GloDyNE
196,0.316,GloDyNE
197,0.47300000000000003,GloDyNE
198,0.321,GloDyNE
199,0.343,GloDyNE
