,p_hat,method
0,0.0,Independent Node2Vec
2,0.0,Independent Node2Vec
4,0.0,Independent Node2Vec
6,0.0,Independent Node2Vec
8,0.0,Independent Node2Vec
10,0.0,Independent Node2Vec
12,0.0,Independent Node2Vec
14,0.0,Independent Node2Vec
16,0.0,Independent Node2Vec
18,0.0,Independent Node2Vec
20,0.0,Independent Node2Vec
22,0.0,Independent Node2Vec
24,0.0,Independent Node2Vec
26,0.0,Independent Node2Vec
28,0.0,Independent Node2Vec
30,0.0,Independent Node2Vec
32,0.0,Independent Node2Vec
34,0.0,Independent Node2Vec
36,0.0,Independent Node2Vec
38,0.325,Independent Node2Vec
40,0.0,Independent Node2Vec
42,0.0,Independent Node2Vec
44,0.0,Independent Node2Vec
46,0.0,Independent Node2Vec
48,0.0,Independent Node2Vec
50,0.0,Independent Node2Vec
52,0.0,Independent Node2Vec
54,0.0,Independent Node2Vec
56,0.0,Independent Node2Vec
58,0.0,Independent Node2Vec
60,0.0,Independent Node2Vec
62,0.0,Independent Node2Vec
64,0.0,Independent Node2Vec
66,0.0,Independent Node2Vec
68,0.0,Independent Node2Vec
70,0.0,Independent Node2Vec
72,0.0,Independent Node2Vec
74,0.0,Independent Node2Vec
76,0.0,Independent Node2Vec
78,0.019,Independent Node2Vec
80,0.0,Independent Node2Vec
82,0.0,Independent Node2Vec
84,0.0,Independent Node2Vec
86,0.0,Independent Node2Vec
88,0.0,Independent Node2Vec
90,0.0,Independent Node2Vec
92,0.0,Independent Node2Vec
94,0.054,Independent Node2Vec
96,0.0,Independent Node2Vec
98,0.0,Independent Node2Vec
100,0.0,Independent Node2Vec
102,0.0,Independent Node2Vec
104,0.0,Independent Node2Vec
106,0.0,Independent Node2Vec
108,0.0,Independent Node2Vec
110,0.0,Independent Node2Vec
112,0.0,Independent Node2Vec
114,0.0,Independent Node2Vec
116,0.0,Independent Node2Vec
118,0.0,Independent Node2Vec
120,0.002,Independent Node2Vec
122,0.0,Independent Node2Vec
124,0.0,Independent Node2Vec
126,0.0,Independent Node2Vec
128,0.0,Independent Node2Vec
130,0.0,Independent Node2Vec
132,0.0,Independent Node2Vec
134,0.0,Independent Node2Vec
136,0.0,Independent Node2Vec
138,0.0,Independent Node2Vec
140,0.0,Independent Node2Vec
142,0.0,Independent Node2Vec
144,0.0,Independent Node2Vec
146,0.0,Independent Node2Vec
148,0.0,Independent Node2Vec
150,0.0,Independent Node2Vec
152,0.036000000000000004,Independent Node2Vec
154,0.0,Independent Node2Vec
156,0.0,Independent Node2Vec
158,0.0,Independent Node2Vec
160,0.0,Independent Node2Vec
162,0.0,Independent Node2Vec
164,0.0,Independent Node2Vec
166,0.0,Independent Node2Vec
168,0.0,Independent Node2Vec
170,0.0,Independent Node2Vec
172,0.0,Independent Node2Vec
174,0.0,Independent Node2Vec
176,0.0,Independent Node2Vec
178,0.0,Independent Node2Vec
180,0.0,Independent Node2Vec
182,0.0,Independent Node2Vec
184,0.007,Independent Node2Vec
186,0.0,Independent Node2Vec
188,0.0,Independent Node2Vec
190,0.002,Independent Node2Vec
192,0.001,Independent Node2Vec
194,0.0,Independent Node2Vec
196,0.0,Independent Node2Vec
198,0.0,Independent Node2Vec
200,0.0,Independent Node2Vec
202,0.0,Independent Node2Vec
204,0.105,Independent Node2Vec
206,0.0,Independent Node2Vec
208,0.0,Independent Node2Vec
210,0.0,Independent Node2Vec
212,0.0,Independent Node2Vec
214,0.0,Independent Node2Vec
216,0.0,Independent Node2Vec
218,0.0,Independent Node2Vec
220,0.0,Independent Node2Vec
222,0.0,Independent Node2Vec
224,0.0,Independent Node2Vec
226,0.0,Independent Node2Vec
228,0.0,Independent Node2Vec
230,0.0,Independent Node2Vec
232,0.0,Independent Node2Vec
234,0.0,Independent Node2Vec
236,0.0,Independent Node2Vec
238,0.0,Independent Node2Vec
240,0.0,Independent Node2Vec
242,0.0,Independent Node2Vec
244,0.0,Independent Node2Vec
246,0.0,Independent Node2Vec
248,0.0,Independent Node2Vec
250,0.162,Independent Node2Vec
252,0.0,Independent Node2Vec
254,0.521,Independent Node2Vec
256,0.0,Independent Node2Vec
258,0.0,Independent Node2Vec
260,0.0,Independent Node2Vec
262,0.0,Independent Node2Vec
264,0.0,Independent Node2Vec
266,0.008,Independent Node2Vec
268,0.0,Independent Node2Vec
270,0.0,Independent Node2Vec
272,0.0,Independent Node2Vec
274,0.0,Independent Node2Vec
276,0.0,Independent Node2Vec
278,0.0,Independent Node2Vec
280,0.0,Independent Node2Vec
282,0.0,Independent Node2Vec
284,0.001,Independent Node2Vec
286,0.0,Independent Node2Vec
288,0.0,Independent Node2Vec
