,p_hat,method
1,0.075,Unfolded Node2Vec
3,0.003,Unfolded Node2Vec
5,0.034,Unfolded Node2Vec
7,0.01,Unfolded Node2Vec
9,0.028,Unfolded Node2Vec
11,0.608,Unfolded Node2Vec
13,0.928,Unfolded Node2Vec
15,0.72,Unfolded Node2Vec
17,0.998,Unfolded Node2Vec
19,0.08,Unfolded Node2Vec
21,0.41600000000000004,Unfolded Node2Vec
23,0.081,Unfolded Node2Vec
25,0.624,Unfolded Node2Vec
27,0.892,Unfolded Node2Vec
29,0.099,Unfolded Node2Vec
31,0.005,Unfolded Node2Vec
33,0.234,Unfolded Node2Vec
35,0.0,Unfolded Node2Vec
37,0.727,Unfolded Node2Vec
39,0.159,Unfolded Node2Vec
41,0.5,Unfolded Node2Vec
43,0.023,Unfolded Node2Vec
45,0.096,Unfolded Node2Vec
47,0.357,Unfolded Node2Vec
49,0.0,Unfolded Node2Vec
51,0.1,Unfolded Node2Vec
53,0.333,Unfolded Node2Vec
55,0.222,Unfolded Node2Vec
57,0.306,Unfolded Node2Vec
59,0.217,Unfolded Node2Vec
61,0.18,Unfolded Node2Vec
63,0.05,Unfolded Node2Vec
65,0.068,Unfolded Node2Vec
67,0.304,Unfolded Node2Vec
69,0.015,Unfolded Node2Vec
71,0.147,Unfolded Node2Vec
73,0.209,Unfolded Node2Vec
75,0.717,Unfolded Node2Vec
77,0.11,Unfolded Node2Vec
79,0.018000000000000002,Unfolded Node2Vec
81,0.96,Unfolded Node2Vec
83,0.403,Unfolded Node2Vec
85,0.065,Unfolded Node2Vec
87,0.0,Unfolded Node2Vec
89,0.608,Unfolded Node2Vec
91,0.046,Unfolded Node2Vec
93,0.043000000000000003,Unfolded Node2Vec
95,0.018000000000000002,Unfolded Node2Vec
97,0.786,Unfolded Node2Vec
99,0.526,Unfolded Node2Vec
101,0.915,Unfolded Node2Vec
103,0.258,Unfolded Node2Vec
105,0.369,Unfolded Node2Vec
107,0.48,Unfolded Node2Vec
109,0.496,Unfolded Node2Vec
111,0.148,Unfolded Node2Vec
113,0.0,Unfolded Node2Vec
115,0.19,Unfolded Node2Vec
117,0.281,Unfolded Node2Vec
119,0.20800000000000002,Unfolded Node2Vec
121,0.593,Unfolded Node2Vec
123,0.21,Unfolded Node2Vec
125,0.008,Unfolded Node2Vec
127,0.406,Unfolded Node2Vec
129,0.051000000000000004,Unfolded Node2Vec
131,0.11800000000000001,Unfolded Node2Vec
133,0.562,Unfolded Node2Vec
135,0.14400000000000002,Unfolded Node2Vec
137,0.082,Unfolded Node2Vec
139,0.003,Unfolded Node2Vec
141,0.8300000000000001,Unfolded Node2Vec
143,0.013000000000000001,Unfolded Node2Vec
145,0.19,Unfolded Node2Vec
147,0.024,Unfolded Node2Vec
149,0.737,Unfolded Node2Vec
151,0.001,Unfolded Node2Vec
153,0.129,Unfolded Node2Vec
155,0.004,Unfolded Node2Vec
157,0.029,Unfolded Node2Vec
159,0.763,Unfolded Node2Vec
161,0.372,Unfolded Node2Vec
163,0.9390000000000001,Unfolded Node2Vec
165,0.115,Unfolded Node2Vec
167,0.027,Unfolded Node2Vec
169,0.448,Unfolded Node2Vec
171,0.121,Unfolded Node2Vec
173,0.12,Unfolded Node2Vec
175,0.008,Unfolded Node2Vec
177,0.339,Unfolded Node2Vec
179,0.656,Unfolded Node2Vec
181,0.889,Unfolded Node2Vec
183,0.047,Unfolded Node2Vec
185,0.10200000000000001,Unfolded Node2Vec
187,0.013000000000000001,Unfolded Node2Vec
189,0.873,Unfolded Node2Vec
191,0.436,Unfolded Node2Vec
193,0.605,Unfolded Node2Vec
195,0.76,Unfolded Node2Vec
197,0.0,Unfolded Node2Vec
199,0.17,Unfolded Node2Vec
201,0.019,Unfolded Node2Vec
203,0.036000000000000004,Unfolded Node2Vec
205,0.056,Unfolded Node2Vec
207,0.091,Unfolded Node2Vec
209,0.484,Unfolded Node2Vec
211,0.026000000000000002,Unfolded Node2Vec
213,0.783,Unfolded Node2Vec
215,0.11,Unfolded Node2Vec
217,0.275,Unfolded Node2Vec
219,0.037,Unfolded Node2Vec
221,0.255,Unfolded Node2Vec
223,0.419,Unfolded Node2Vec
225,0.271,Unfolded Node2Vec
227,0.979,Unfolded Node2Vec
229,0.035,Unfolded Node2Vec
231,0.05,Unfolded Node2Vec
233,0.463,Unfolded Node2Vec
235,0.324,Unfolded Node2Vec
237,0.483,Unfolded Node2Vec
239,0.05,Unfolded Node2Vec
241,0.47200000000000003,Unfolded Node2Vec
243,0.896,Unfolded Node2Vec
245,0.441,Unfolded Node2Vec
247,0.301,Unfolded Node2Vec
249,0.352,Unfolded Node2Vec
251,0.039,Unfolded Node2Vec
253,0.07200000000000001,Unfolded Node2Vec
255,0.623,Unfolded Node2Vec
257,0.002,Unfolded Node2Vec
