,p_hat,method
0,0.0,GloDyNE
1,0.0,GloDyNE
2,0.0,GloDyNE
3,0.0,GloDyNE
4,0.0,GloDyNE
5,0.002,GloDyNE
6,0.0,GloDyNE
7,0.004,GloDyNE
8,0.001,GloDyNE
9,0.0,GloDyNE
10,0.0,GloDyNE
11,0.0,GloDyNE
12,0.014,GloDyNE
13,0.0,GloDyNE
14,0.001,GloDyNE
15,0.0,GloDyNE
16,0.0,GloDyNE
17,0.004,GloDyNE
18,0.0,GloDyNE
19,0.001,GloDyNE
20,0.0,GloDyNE
21,0.0,GloDyNE
22,0.0,GloDyNE
23,0.007,GloDyNE
24,0.0,GloDyNE
25,0.0,GloDyNE
26,0.0,GloDyNE
27,0.011,GloDyNE
28,0.0,GloDyNE
29,0.002,GloDyNE
30,0.0,GloDyNE
31,0.001,GloDyNE
32,0.001,GloDyNE
33,0.005,GloDyNE
34,0.015,GloDyNE
35,0.001,GloDyNE
36,0.0,GloDyNE
37,0.0,GloDyNE
38,0.002,GloDyNE
39,0.013000000000000001,GloDyNE
40,0.0,GloDyNE
41,0.0,GloDyNE
42,0.001,GloDyNE
43,0.0,GloDyNE
44,0.0,GloDyNE
45,0.0,GloDyNE
46,0.0,GloDyNE
47,0.002,GloDyNE
48,0.003,GloDyNE
49,0.0,GloDyNE
50,0.0,GloDyNE
51,0.007,GloDyNE
52,0.0,GloDyNE
53,0.001,GloDyNE
54,0.012,GloDyNE
55,0.0,GloDyNE
56,0.0,GloDyNE
57,0.0,GloDyNE
58,0.001,GloDyNE
59,0.0,GloDyNE
60,0.009000000000000001,GloDyNE
61,0.0,GloDyNE
62,0.0,GloDyNE
63,0.0,GloDyNE
64,0.001,GloDyNE
65,0.0,GloDyNE
66,0.002,GloDyNE
67,0.0,GloDyNE
68,0.001,GloDyNE
69,0.0,GloDyNE
70,0.0,GloDyNE
71,0.0,GloDyNE
72,0.001,GloDyNE
73,0.001,GloDyNE
74,0.0,GloDyNE
75,0.003,GloDyNE
76,0.003,GloDyNE
77,0.0,GloDyNE
78,0.009000000000000001,GloDyNE
79,0.0,GloDyNE
80,0.001,GloDyNE
81,0.0,GloDyNE
82,0.0,GloDyNE
83,0.0,GloDyNE
84,0.0,GloDyNE
85,0.0,GloDyNE
86,0.005,GloDyNE
87,0.003,GloDyNE
88,0.003,GloDyNE
89,0.0,GloDyNE
90,0.002,GloDyNE
91,0.001,GloDyNE
92,0.0,GloDyNE
93,0.002,GloDyNE
94,0.023,GloDyNE
95,0.0,GloDyNE
96,0.0,GloDyNE
97,0.006,GloDyNE
98,0.003,GloDyNE
99,0.0,GloDyNE
100,0.0,GloDyNE
101,0.003,GloDyNE
102,0.005,GloDyNE
103,0.003,GloDyNE
104,0.0,GloDyNE
105,0.0,GloDyNE
106,0.007,GloDyNE
107,0.0,GloDyNE
108,0.0,GloDyNE
109,0.0,GloDyNE
110,0.0,GloDyNE
111,0.0,GloDyNE
112,0.0,GloDyNE
113,0.0,GloDyNE
114,0.0,GloDyNE
115,0.0,GloDyNE
116,0.0,GloDyNE
117,0.0,GloDyNE
118,0.001,GloDyNE
119,0.0,GloDyNE
120,0.009000000000000001,GloDyNE
121,0.002,GloDyNE
122,0.004,GloDyNE
123,0.041,GloDyNE
124,0.0,GloDyNE
125,0.0,GloDyNE
126,0.002,GloDyNE
127,0.0,GloDyNE
128,0.001,GloDyNE
129,0.0,GloDyNE
130,0.0,GloDyNE
131,0.001,GloDyNE
132,0.0,GloDyNE
133,0.001,GloDyNE
134,0.0,GloDyNE
135,0.0,GloDyNE
136,0.0,GloDyNE
137,0.0,GloDyNE
138,0.0,GloDyNE
139,0.0,GloDyNE
140,0.003,GloDyNE
141,0.0,GloDyNE
142,0.0,GloDyNE
143,0.0,GloDyNE
144,0.001,GloDyNE
145,0.001,GloDyNE
146,0.0,GloDyNE
147,0.0,GloDyNE
148,0.0,GloDyNE
149,0.0,GloDyNE
150,0.0,GloDyNE
151,0.0,GloDyNE
152,0.002,GloDyNE
153,0.0,GloDyNE
154,0.0,GloDyNE
155,0.0,GloDyNE
156,0.004,GloDyNE
157,0.0,GloDyNE
158,0.007,GloDyNE
159,0.0,GloDyNE
160,0.002,GloDyNE
161,0.003,GloDyNE
162,0.001,GloDyNE
163,0.0,GloDyNE
164,0.004,GloDyNE
165,0.0,GloDyNE
166,0.009000000000000001,GloDyNE
167,0.001,GloDyNE
168,0.004,GloDyNE
169,0.003,GloDyNE
170,0.0,GloDyNE
171,0.0,GloDyNE
172,0.008,GloDyNE
173,0.005,GloDyNE
174,0.004,GloDyNE
175,0.0,GloDyNE
176,0.004,GloDyNE
177,0.0,GloDyNE
178,0.001,GloDyNE
179,0.001,GloDyNE
180,0.0,GloDyNE
181,0.0,GloDyNE
182,0.027,GloDyNE
183,0.0,GloDyNE
184,0.0,GloDyNE
185,0.0,GloDyNE
186,0.0,GloDyNE
187,0.0,GloDyNE
188,0.0,GloDyNE
189,0.0,GloDyNE
190,0.0,GloDyNE
191,0.0,GloDyNE
192,0.008,GloDyNE
193,0.001,GloDyNE
194,0.0,GloDyNE
195,0.003,GloDyNE
196,0.0,GloDyNE
197,0.0,GloDyNE
198,0.002,GloDyNE
199,0.0,GloDyNE
