,p_hat,method
0,0.002,Independent Node2Vec
2,0.677,Independent Node2Vec
4,0.927,Independent Node2Vec
6,0.608,Independent Node2Vec
8,0.866,Independent Node2Vec
10,0.626,Independent Node2Vec
12,0.085,Independent Node2Vec
14,0.868,Independent Node2Vec
16,0.394,Independent Node2Vec
18,0.897,Independent Node2Vec
20,0.484,Independent Node2Vec
22,0.801,Independent Node2Vec
24,0.139,Independent Node2Vec
26,0.423,Independent Node2Vec
28,0.58,Independent Node2Vec
30,0.66,Independent Node2Vec
32,0.499,Independent Node2Vec
34,0.363,Independent Node2Vec
36,0.056,Independent Node2Vec
38,0.507,Independent Node2Vec
40,0.66,Independent Node2Vec
42,0.269,Independent Node2Vec
44,0.604,Independent Node2Vec
46,0.14100000000000001,Independent Node2Vec
48,0.389,Independent Node2Vec
50,0.064,Independent Node2Vec
52,0.13,Independent Node2Vec
54,0.053,Independent Node2Vec
56,0.8210000000000001,Independent Node2Vec
58,0.276,Independent Node2Vec
60,0.556,Independent Node2Vec
62,0.264,Independent Node2Vec
64,0.316,Independent Node2Vec
66,0.896,Independent Node2Vec
68,0.319,Independent Node2Vec
70,0.272,Independent Node2Vec
72,0.797,Independent Node2Vec
74,0.356,Independent Node2Vec
76,0.878,Independent Node2Vec
78,0.927,Independent Node2Vec
80,0.076,Independent Node2Vec
82,0.428,Independent Node2Vec
84,0.725,Independent Node2Vec
86,0.387,Independent Node2Vec
88,0.309,Independent Node2Vec
90,0.544,Independent Node2Vec
92,0.8310000000000001,Independent Node2Vec
94,0.391,Independent Node2Vec
96,0.558,Independent Node2Vec
98,0.748,Independent Node2Vec
100,0.613,Independent Node2Vec
102,0.737,Independent Node2Vec
104,0.625,Independent Node2Vec
106,0.5720000000000001,Independent Node2Vec
108,0.386,Independent Node2Vec
110,0.07200000000000001,Independent Node2Vec
112,0.638,Independent Node2Vec
114,0.34500000000000003,Independent Node2Vec
116,0.76,Independent Node2Vec
118,0.75,Independent Node2Vec
120,0.417,Independent Node2Vec
122,0.482,Independent Node2Vec
124,0.279,Independent Node2Vec
126,0.62,Independent Node2Vec
128,0.226,Independent Node2Vec
130,0.833,Independent Node2Vec
132,0.437,Independent Node2Vec
134,0.964,Independent Node2Vec
136,0.048,Independent Node2Vec
138,0.21,Independent Node2Vec
140,0.321,Independent Node2Vec
142,0.771,Independent Node2Vec
144,0.9430000000000001,Independent Node2Vec
146,0.406,Independent Node2Vec
148,0.732,Independent Node2Vec
150,0.312,Independent Node2Vec
152,0.296,Independent Node2Vec
154,0.585,Independent Node2Vec
156,0.734,Independent Node2Vec
158,0.34500000000000003,Independent Node2Vec
160,0.017,Independent Node2Vec
162,0.981,Independent Node2Vec
164,0.387,Independent Node2Vec
166,0.584,Independent Node2Vec
168,0.918,Independent Node2Vec
170,0.129,Independent Node2Vec
172,0.594,Independent Node2Vec
174,0.9400000000000001,Independent Node2Vec
176,0.057,Independent Node2Vec
178,0.056,Independent Node2Vec
180,0.3,Independent Node2Vec
182,0.81,Independent Node2Vec
184,0.365,Independent Node2Vec
186,0.3,Independent Node2Vec
188,0.539,Independent Node2Vec
190,0.341,Independent Node2Vec
192,0.38,Independent Node2Vec
194,0.61,Independent Node2Vec
196,0.156,Independent Node2Vec
198,0.903,Independent Node2Vec
