,p_hat,method
0,0.47800000000000004,OMNI
1,0.184,OMNI
2,0.325,OMNI
3,0.117,OMNI
4,0.15,OMNI
5,0.044,OMNI
6,0.658,OMNI
7,0.356,OMNI
8,0.41500000000000004,OMNI
9,0.536,OMNI
10,0.046,OMNI
11,0.422,OMNI
12,0.064,OMNI
13,0.423,OMNI
14,0.247,OMNI
15,0.356,OMNI
16,0.503,OMNI
17,0.152,OMNI
18,0.602,OMNI
19,0.911,OMNI
20,0.357,OMNI
21,0.043000000000000003,OMNI
22,0.165,OMNI
23,0.34900000000000003,OMNI
24,0.151,OMNI
25,0.355,OMNI
26,0.271,OMNI
27,0.33,OMNI
28,0.49,OMNI
29,0.021,OMNI
30,0.065,OMNI
31,0.359,OMNI
32,0.195,OMNI
33,0.388,OMNI
34,0.893,OMNI
35,0.248,OMNI
36,0.084,OMNI
37,0.177,OMNI
38,0.246,OMNI
39,0.067,OMNI
40,0.509,OMNI
41,0.20600000000000002,OMNI
42,0.535,OMNI
43,0.274,OMNI
44,0.655,OMNI
45,0.385,OMNI
46,0.357,OMNI
47,0.17500000000000002,OMNI
48,0.6990000000000001,OMNI
49,0.224,OMNI
50,0.014,OMNI
51,0.29,OMNI
52,0.14100000000000001,OMNI
53,0.274,OMNI
54,0.71,OMNI
55,0.6990000000000001,OMNI
56,0.163,OMNI
57,0.23,OMNI
58,0.314,OMNI
59,0.128,OMNI
60,0.93,OMNI
61,0.082,OMNI
62,0.097,OMNI
63,0.265,OMNI
64,0.964,OMNI
65,0.023,OMNI
66,0.304,OMNI
67,0.631,OMNI
68,0.015,OMNI
69,0.11800000000000001,OMNI
70,0.41000000000000003,OMNI
71,0.197,OMNI
72,0.444,OMNI
73,0.138,OMNI
74,0.187,OMNI
75,0.136,OMNI
76,0.114,OMNI
77,0.015,OMNI
78,0.025,OMNI
79,0.55,OMNI
80,0.296,OMNI
81,0.252,OMNI
82,0.162,OMNI
83,0.551,OMNI
84,0.508,OMNI
85,0.763,OMNI
86,0.41300000000000003,OMNI
87,0.105,OMNI
88,0.12,OMNI
89,0.377,OMNI
90,0.373,OMNI
91,0.357,OMNI
92,0.384,OMNI
93,0.496,OMNI
94,0.655,OMNI
95,0.217,OMNI
96,0.188,OMNI
97,0.025,OMNI
98,0.28,OMNI
99,0.704,OMNI
100,0.28400000000000003,OMNI
101,0.559,OMNI
102,0.584,OMNI
103,0.40700000000000003,OMNI
104,0.255,OMNI
105,0.169,OMNI
106,0.18,OMNI
107,0.223,OMNI
108,0.23600000000000002,OMNI
109,0.181,OMNI
110,0.138,OMNI
111,0.443,OMNI
112,0.125,OMNI
113,0.398,OMNI
114,0.147,OMNI
115,0.002,OMNI
116,0.05,OMNI
117,0.422,OMNI
118,0.001,OMNI
119,0.391,OMNI
120,0.9580000000000001,OMNI
121,0.034,OMNI
122,0.447,OMNI
123,0.132,OMNI
124,0.432,OMNI
125,0.137,OMNI
126,0.20800000000000002,OMNI
127,0.213,OMNI
128,0.605,OMNI
129,0.393,OMNI
130,0.197,OMNI
131,0.20700000000000002,OMNI
132,0.863,OMNI
133,0.392,OMNI
134,0.042,OMNI
135,0.656,OMNI
136,0.261,OMNI
137,0.081,OMNI
138,0.226,OMNI
139,0.192,OMNI
140,0.01,OMNI
141,0.974,OMNI
142,0.242,OMNI
143,0.716,OMNI
144,0.161,OMNI
145,0.388,OMNI
146,0.135,OMNI
147,0.076,OMNI
148,0.459,OMNI
149,0.25,OMNI
150,0.28,OMNI
151,0.672,OMNI
152,0.201,OMNI
153,0.198,OMNI
154,0.36,OMNI
155,0.521,OMNI
156,0.231,OMNI
157,0.581,OMNI
158,0.189,OMNI
159,0.275,OMNI
160,0.343,OMNI
161,0.456,OMNI
162,0.505,OMNI
163,0.516,OMNI
164,0.188,OMNI
165,0.084,OMNI
166,0.07,OMNI
167,0.122,OMNI
168,0.192,OMNI
169,0.705,OMNI
170,0.004,OMNI
171,0.439,OMNI
172,0.258,OMNI
173,0.294,OMNI
174,0.244,OMNI
175,0.12,OMNI
176,0.374,OMNI
177,0.373,OMNI
178,0.213,OMNI
179,0.332,OMNI
180,0.41200000000000003,OMNI
181,0.195,OMNI
182,0.686,OMNI
183,0.534,OMNI
184,0.53,OMNI
185,0.631,OMNI
186,0.226,OMNI
187,0.074,OMNI
188,0.848,OMNI
189,0.081,OMNI
190,0.219,OMNI
191,0.08700000000000001,OMNI
192,0.319,OMNI
193,0.357,OMNI
194,0.053,OMNI
195,0.76,OMNI
196,0.085,OMNI
197,0.241,OMNI
198,0.022,OMNI
199,0.364,OMNI
