,p_hat,method
1,0.798,SSE Procrustes
5,0.036000000000000004,SSE Procrustes
9,0.331,SSE Procrustes
13,0.678,SSE Procrustes
17,0.232,SSE Procrustes
21,0.368,SSE Procrustes
25,0.074,SSE Procrustes
29,0.149,SSE Procrustes
33,0.654,SSE Procrustes
37,0.756,SSE Procrustes
41,0.34400000000000003,SSE Procrustes
45,0.875,SSE Procrustes
49,0.888,SSE Procrustes
53,0.212,SSE Procrustes
57,0.078,SSE Procrustes
61,0.5690000000000001,SSE Procrustes
65,0.017,SSE Procrustes
69,0.612,SSE Procrustes
73,0.088,SSE Procrustes
77,0.51,SSE Procrustes
81,0.606,SSE Procrustes
85,0.596,SSE Procrustes
89,0.126,SSE Procrustes
93,0.298,SSE Procrustes
97,0.201,SSE Procrustes
101,0.041,SSE Procrustes
105,0.764,SSE Procrustes
109,0.07,SSE Procrustes
113,0.17300000000000001,SSE Procrustes
117,0.444,SSE Procrustes
121,0.753,SSE Procrustes
125,0.8160000000000001,SSE Procrustes
129,0.588,SSE Procrustes
133,0.713,SSE Procrustes
137,0.392,SSE Procrustes
141,0.075,SSE Procrustes
145,0.08,SSE Procrustes
149,0.308,SSE Procrustes
153,0.553,SSE Procrustes
157,0.08700000000000001,SSE Procrustes
161,0.514,SSE Procrustes
165,0.8280000000000001,SSE Procrustes
169,0.262,SSE Procrustes
173,0.516,SSE Procrustes
177,0.6930000000000001,SSE Procrustes
181,0.8200000000000001,SSE Procrustes
185,0.048,SSE Procrustes
189,0.649,SSE Procrustes
193,0.893,SSE Procrustes
197,0.079,SSE Procrustes
201,0.10400000000000001,SSE Procrustes
205,0.076,SSE Procrustes
209,0.606,SSE Procrustes
213,0.429,SSE Procrustes
217,0.005,SSE Procrustes
221,0.802,SSE Procrustes
225,0.306,SSE Procrustes
229,0.093,SSE Procrustes
233,0.654,SSE Procrustes
237,0.47600000000000003,SSE Procrustes
241,0.808,SSE Procrustes
245,0.481,SSE Procrustes
249,0.097,SSE Procrustes
