,p_hat,method
0,0.0,SSE
4,0.003,SSE
8,0.0,SSE
12,0.0,SSE
16,0.0,SSE
20,0.001,SSE
24,0.0,SSE
28,0.0,SSE
32,0.0,SSE
36,0.001,SSE
40,0.0,SSE
44,0.0,SSE
48,0.005,SSE
52,0.0,SSE
56,0.001,SSE
60,0.0,SSE
64,0.0,SSE
68,0.0,SSE
72,0.0,SSE
76,0.0,SSE
80,0.001,SSE
84,0.0,SSE
88,0.001,SSE
92,0.0,SSE
96,0.0,SSE
100,0.0,SSE
104,0.001,SSE
108,0.0,SSE
112,0.0,SSE
116,0.0,SSE
120,0.003,SSE
124,0.002,SSE
128,0.0,SSE
132,0.004,SSE
136,0.0,SSE
140,0.0,SSE
144,0.0,SSE
148,0.0,SSE
152,0.0,SSE
156,0.0,SSE
160,0.007,SSE
164,0.0,SSE
168,0.0,SSE
172,0.0,SSE
176,0.0,SSE
180,0.0,SSE
184,0.0,SSE
188,0.0,SSE
192,0.001,SSE
196,0.006,SSE
200,0.001,SSE
204,0.0,SSE
208,0.0,SSE
212,0.0,SSE
216,0.0,SSE
220,0.001,SSE
224,0.0,SSE
228,0.006,SSE
232,0.001,SSE
236,0.0,SSE
240,0.0,SSE
244,0.0,SSE
248,0.001,SSE
252,0.0,SSE
256,0.0,SSE
260,0.0,SSE
264,0.0,SSE
268,0.0,SSE
272,0.0,SSE
276,0.001,SSE
280,0.003,SSE
284,0.0,SSE
288,0.0,SSE
292,0.0,SSE
296,0.0,SSE
300,0.001,SSE
304,0.0,SSE
308,0.001,SSE
312,0.0,SSE
316,0.0,SSE
320,0.002,SSE
324,0.0,SSE
328,0.0,SSE
332,0.001,SSE
336,0.0,SSE
340,0.0,SSE
344,0.001,SSE
348,0.0,SSE
352,0.001,SSE
356,0.0,SSE
360,0.0,SSE
364,0.0,SSE
368,0.002,SSE
372,0.0,SSE
376,0.001,SSE
380,0.0,SSE
384,0.0,SSE
388,0.0,SSE
392,0.001,SSE
396,0.0,SSE
400,0.0,SSE
404,0.001,SSE
408,0.005,SSE
412,0.0,SSE
416,0.0,SSE
420,0.0,SSE
424,0.003,SSE
428,0.0,SSE
432,0.0,SSE
436,0.0,SSE
440,0.0,SSE
444,0.0,SSE
448,0.0,SSE
452,0.002,SSE
456,0.0,SSE
460,0.0,SSE
464,0.0,SSE
468,0.001,SSE
472,0.0,SSE
476,0.0,SSE
480,0.0,SSE
484,0.005,SSE
488,0.0,SSE
492,0.0,SSE
496,0.0,SSE
500,0.003,SSE
504,0.0,SSE
508,0.0,SSE
512,0.0,SSE
516,0.0,SSE
520,0.0,SSE
524,0.0,SSE
528,0.0,SSE
532,0.0,SSE
536,0.001,SSE
540,0.0,SSE
544,0.001,SSE
548,0.0,SSE
552,0.0,SSE
556,0.0,SSE
560,0.0,SSE
564,0.001,SSE
568,0.001,SSE
572,0.003,SSE
576,0.0,SSE
580,0.0,SSE
584,0.0,SSE
588,0.002,SSE
592,0.0,SSE
596,0.0,SSE
600,0.001,SSE
604,0.0,SSE
608,0.0,SSE
612,0.0,SSE
616,0.0,SSE
620,0.0,SSE
624,0.0,SSE
628,0.0,SSE
632,0.0,SSE
636,0.0,SSE
640,0.001,SSE
644,0.001,SSE
648,0.0,SSE
652,0.0,SSE
656,0.001,SSE
660,0.001,SSE
664,0.0,SSE
668,0.0,SSE
672,0.0,SSE
676,0.0,SSE
680,0.0,SSE
684,0.0,SSE
688,0.001,SSE
692,0.0,SSE
696,0.0,SSE
700,0.0,SSE
704,0.0,SSE
708,0.0,SSE
712,0.0,SSE
716,0.0,SSE
720,0.001,SSE
724,0.0,SSE
728,0.0,SSE
732,0.0,SSE
736,0.001,SSE
740,0.0,SSE
744,0.0,SSE
748,0.0,SSE
752,0.0,SSE
756,0.0,SSE
760,0.0,SSE
764,0.0,SSE
768,0.0,SSE
772,0.0,SSE
776,0.0,SSE
780,0.0,SSE
784,0.006,SSE
788,0.001,SSE
792,0.0,SSE
796,0.001,SSE
