,p_hat,method
0,0.278,UASE
2,0.002,UASE
4,0.023,UASE
6,0.148,UASE
8,0.498,UASE
10,0.061,UASE
12,0.0,UASE
14,0.0,UASE
16,0.075,UASE
18,0.035,UASE
20,0.051000000000000004,UASE
22,0.105,UASE
24,0.061,UASE
26,0.021,UASE
28,0.537,UASE
30,0.28600000000000003,UASE
32,0.004,UASE
34,0.044,UASE
36,0.032,UASE
38,0.0,UASE
40,0.268,UASE
42,0.005,UASE
44,0.461,UASE
46,0.0,UASE
48,0.137,UASE
50,0.099,UASE
52,0.559,UASE
54,0.243,UASE
56,0.164,UASE
58,0.273,UASE
60,0.07,UASE
62,0.191,UASE
64,0.002,UASE
66,0.039,UASE
68,0.039,UASE
70,0.195,UASE
72,0.036000000000000004,UASE
74,0.036000000000000004,UASE
76,0.319,UASE
78,0.001,UASE
80,0.108,UASE
82,0.003,UASE
84,0.013000000000000001,UASE
86,0.466,UASE
88,0.10400000000000001,UASE
90,0.5750000000000001,UASE
92,0.028,UASE
94,0.003,UASE
96,0.006,UASE
98,0.05,UASE
100,0.315,UASE
102,0.06,UASE
104,0.001,UASE
106,0.10200000000000001,UASE
108,0.001,UASE
110,0.057,UASE
112,0.045,UASE
114,0.303,UASE
116,0.277,UASE
118,0.002,UASE
120,0.069,UASE
122,0.078,UASE
124,0.016,UASE
126,0.045,UASE
128,0.368,UASE
130,0.254,UASE
132,0.127,UASE
134,0.01,UASE
136,0.027,UASE
138,0.055,UASE
140,0.182,UASE
142,0.002,UASE
144,0.061,UASE
146,0.04,UASE
148,0.029,UASE
150,0.037,UASE
152,0.025,UASE
154,0.501,UASE
156,0.116,UASE
158,0.019,UASE
160,0.005,UASE
162,0.023,UASE
164,0.022,UASE
166,0.254,UASE
168,0.719,UASE
170,0.058,UASE
172,0.145,UASE
174,0.027,UASE
176,0.5670000000000001,UASE
178,0.265,UASE
180,0.013000000000000001,UASE
182,0.62,UASE
184,0.002,UASE
186,0.033,UASE
188,0.001,UASE
190,0.177,UASE
192,0.1,UASE
194,0.341,UASE
196,0.082,UASE
198,0.094,UASE
200,0.015,UASE
202,0.355,UASE
204,0.096,UASE
206,0.363,UASE
208,0.02,UASE
210,0.101,UASE
212,0.008,UASE
214,0.278,UASE
216,0.061,UASE
218,0.223,UASE
220,0.047,UASE
222,0.169,UASE
224,0.01,UASE
226,0.024,UASE
228,0.549,UASE
230,0.051000000000000004,UASE
232,0.211,UASE
234,0.41000000000000003,UASE
236,0.043000000000000003,UASE
238,0.399,UASE
240,0.084,UASE
242,0.315,UASE
244,0.21,UASE
246,0.044,UASE
248,0.52,UASE
250,0.0,UASE
252,0.0,UASE
254,0.043000000000000003,UASE
256,0.186,UASE
258,0.9580000000000001,UASE
260,0.164,UASE
262,0.452,UASE
264,0.189,UASE
266,0.001,UASE
268,0.618,UASE
270,0.004,UASE
272,0.008,UASE
274,0.04,UASE
276,0.08,UASE
278,0.001,UASE
280,0.063,UASE
282,0.005,UASE
284,0.125,UASE
286,0.004,UASE
288,0.014,UASE
290,0.006,UASE
292,0.08700000000000001,UASE
294,0.003,UASE
296,0.059000000000000004,UASE
298,0.147,UASE
300,0.025,UASE
302,0.65,UASE
304,0.039,UASE
306,0.199,UASE
308,0.001,UASE
310,0.644,UASE
312,0.784,UASE
314,0.14100000000000001,UASE
316,0.275,UASE
318,0.293,UASE
320,0.052000000000000005,UASE
322,0.003,UASE
324,0.834,UASE
326,0.8270000000000001,UASE
328,0.001,UASE
330,0.089,UASE
332,0.014,UASE
334,0.091,UASE
336,0.0,UASE
338,0.289,UASE
340,0.005,UASE
342,0.024,UASE
344,0.018000000000000002,UASE
346,0.167,UASE
348,0.495,UASE
350,0.03,UASE
352,0.052000000000000005,UASE
354,0.187,UASE
356,0.021,UASE
358,0.043000000000000003,UASE
360,0.006,UASE
362,0.008,UASE
364,0.012,UASE
366,0.016,UASE
368,0.0,UASE
370,0.032,UASE
372,0.061,UASE
374,0.159,UASE
376,0.008,UASE
378,0.018000000000000002,UASE
380,0.365,UASE
382,0.004,UASE
384,0.584,UASE
386,0.23,UASE
388,0.406,UASE
390,0.058,UASE
392,0.005,UASE
394,0.021,UASE
396,0.0,UASE
398,0.295,UASE
