,p_hat,method
1,0.262,URLSE
3,0.0,URLSE
5,0.024,URLSE
7,0.139,URLSE
9,0.501,URLSE
11,0.063,URLSE
13,0.002,URLSE
15,0.0,URLSE
17,0.078,URLSE
19,0.048,URLSE
21,0.069,URLSE
23,0.123,URLSE
25,0.07200000000000001,URLSE
27,0.017,URLSE
29,0.553,URLSE
31,0.29,URLSE
33,0.005,URLSE
35,0.038,URLSE
37,0.042,URLSE
39,0.0,URLSE
41,0.259,URLSE
43,0.004,URLSE
45,0.43,URLSE
47,0.003,URLSE
49,0.146,URLSE
51,0.113,URLSE
53,0.5700000000000001,URLSE
55,0.246,URLSE
57,0.163,URLSE
59,0.28600000000000003,URLSE
61,0.061,URLSE
63,0.194,URLSE
65,0.001,URLSE
67,0.028,URLSE
69,0.037,URLSE
71,0.158,URLSE
73,0.033,URLSE
75,0.029,URLSE
77,0.298,URLSE
79,0.001,URLSE
81,0.126,URLSE
83,0.001,URLSE
85,0.009000000000000001,URLSE
87,0.44,URLSE
89,0.101,URLSE
91,0.5730000000000001,URLSE
93,0.035,URLSE
95,0.004,URLSE
97,0.003,URLSE
99,0.057,URLSE
101,0.28200000000000003,URLSE
103,0.054,URLSE
105,0.0,URLSE
107,0.128,URLSE
109,0.0,URLSE
111,0.049,URLSE
113,0.04,URLSE
115,0.329,URLSE
117,0.27,URLSE
119,0.001,URLSE
121,0.063,URLSE
123,0.074,URLSE
125,0.02,URLSE
127,0.058,URLSE
129,0.386,URLSE
131,0.245,URLSE
133,0.11,URLSE
135,0.001,URLSE
137,0.031,URLSE
139,0.055,URLSE
141,0.20400000000000001,URLSE
143,0.003,URLSE
145,0.054,URLSE
147,0.031,URLSE
149,0.024,URLSE
151,0.043000000000000003,URLSE
153,0.019,URLSE
155,0.512,URLSE
157,0.1,URLSE
159,0.019,URLSE
161,0.006,URLSE
163,0.025,URLSE
165,0.032,URLSE
167,0.309,URLSE
169,0.6940000000000001,URLSE
171,0.08600000000000001,URLSE
173,0.14200000000000002,URLSE
175,0.02,URLSE
177,0.54,URLSE
179,0.26,URLSE
181,0.005,URLSE
183,0.601,URLSE
185,0.004,URLSE
187,0.035,URLSE
189,0.001,URLSE
191,0.229,URLSE
193,0.108,URLSE
195,0.355,URLSE
197,0.088,URLSE
199,0.09,URLSE
201,0.025,URLSE
203,0.356,URLSE
205,0.106,URLSE
207,0.382,URLSE
209,0.027,URLSE
211,0.083,URLSE
213,0.004,URLSE
215,0.262,URLSE
217,0.061,URLSE
219,0.229,URLSE
221,0.051000000000000004,URLSE
223,0.163,URLSE
225,0.024,URLSE
227,0.022,URLSE
229,0.5630000000000001,URLSE
231,0.057,URLSE
233,0.182,URLSE
235,0.406,URLSE
237,0.043000000000000003,URLSE
239,0.389,URLSE
241,0.099,URLSE
243,0.295,URLSE
245,0.216,URLSE
247,0.035,URLSE
249,0.525,URLSE
251,0.0,URLSE
253,0.001,URLSE
255,0.041,URLSE
257,0.21,URLSE
259,0.9450000000000001,URLSE
261,0.17400000000000002,URLSE
263,0.45,URLSE
265,0.2,URLSE
267,0.0,URLSE
269,0.613,URLSE
271,0.003,URLSE
273,0.006,URLSE
275,0.027,URLSE
277,0.073,URLSE
279,0.001,URLSE
281,0.066,URLSE
283,0.014,URLSE
285,0.101,URLSE
287,0.009000000000000001,URLSE
289,0.022,URLSE
291,0.016,URLSE
293,0.092,URLSE
295,0.005,URLSE
297,0.067,URLSE
299,0.149,URLSE
301,0.022,URLSE
303,0.671,URLSE
305,0.068,URLSE
307,0.184,URLSE
309,0.002,URLSE
311,0.655,URLSE
313,0.779,URLSE
315,0.12,URLSE
317,0.255,URLSE
319,0.258,URLSE
321,0.059000000000000004,URLSE
323,0.006,URLSE
325,0.835,URLSE
327,0.794,URLSE
329,0.002,URLSE
331,0.063,URLSE
333,0.016,URLSE
335,0.093,URLSE
337,0.0,URLSE
339,0.261,URLSE
341,0.012,URLSE
343,0.03,URLSE
345,0.014,URLSE
347,0.134,URLSE
349,0.46,URLSE
351,0.026000000000000002,URLSE
353,0.047,URLSE
355,0.191,URLSE
357,0.026000000000000002,URLSE
359,0.04,URLSE
361,0.012,URLSE
363,0.005,URLSE
365,0.012,URLSE
367,0.019,URLSE
369,0.0,URLSE
371,0.031,URLSE
373,0.068,URLSE
375,0.18,URLSE
377,0.017,URLSE
379,0.017,URLSE
381,0.325,URLSE
383,0.011,URLSE
385,0.5670000000000001,URLSE
387,0.20500000000000002,URLSE
389,0.367,URLSE
391,0.069,URLSE
393,0.003,URLSE
395,0.018000000000000002,URLSE
397,0.0,URLSE
399,0.28800000000000003,URLSE
