,p_hat,method
1,0.678,Unfolded Node2Vec
3,0.59,Unfolded Node2Vec
5,0.156,Unfolded Node2Vec
7,0.044,Unfolded Node2Vec
9,0.152,Unfolded Node2Vec
11,0.465,Unfolded Node2Vec
13,0.299,Unfolded Node2Vec
15,0.042,Unfolded Node2Vec
17,0.677,Unfolded Node2Vec
19,0.716,Unfolded Node2Vec
21,0.152,Unfolded Node2Vec
23,0.024,Unfolded Node2Vec
25,0.451,Unfolded Node2Vec
27,0.40800000000000003,Unfolded Node2Vec
29,0.229,Unfolded Node2Vec
31,0.339,Unfolded Node2Vec
33,0.3,Unfolded Node2Vec
35,0.742,Unfolded Node2Vec
37,0.166,Unfolded Node2Vec
39,0.209,Unfolded Node2Vec
41,0.872,Unfolded Node2Vec
43,0.292,Unfolded Node2Vec
45,0.053,Unfolded Node2Vec
47,0.6890000000000001,Unfolded Node2Vec
49,0.269,Unfolded Node2Vec
51,0.012,Unfolded Node2Vec
53,0.024,Unfolded Node2Vec
55,0.048,Unfolded Node2Vec
57,0.74,Unfolded Node2Vec
59,0.857,Unfolded Node2Vec
61,0.183,Unfolded Node2Vec
63,0.009000000000000001,Unfolded Node2Vec
65,0.914,Unfolded Node2Vec
67,0.031,Unfolded Node2Vec
69,0.426,Unfolded Node2Vec
71,0.188,Unfolded Node2Vec
73,0.198,Unfolded Node2Vec
75,0.362,Unfolded Node2Vec
77,0.296,Unfolded Node2Vec
79,0.515,Unfolded Node2Vec
81,0.169,Unfolded Node2Vec
83,0.47200000000000003,Unfolded Node2Vec
85,0.917,Unfolded Node2Vec
87,0.876,Unfolded Node2Vec
89,0.9580000000000001,Unfolded Node2Vec
91,0.133,Unfolded Node2Vec
93,0.9420000000000001,Unfolded Node2Vec
95,0.009000000000000001,Unfolded Node2Vec
97,0.427,Unfolded Node2Vec
99,0.007,Unfolded Node2Vec
101,0.14200000000000002,Unfolded Node2Vec
103,0.322,Unfolded Node2Vec
105,0.004,Unfolded Node2Vec
107,0.322,Unfolded Node2Vec
109,0.6900000000000001,Unfolded Node2Vec
111,0.809,Unfolded Node2Vec
113,0.002,Unfolded Node2Vec
115,0.34700000000000003,Unfolded Node2Vec
117,0.157,Unfolded Node2Vec
119,0.4,Unfolded Node2Vec
121,0.5,Unfolded Node2Vec
123,0.094,Unfolded Node2Vec
125,0.11900000000000001,Unfolded Node2Vec
127,0.9440000000000001,Unfolded Node2Vec
129,0.9400000000000001,Unfolded Node2Vec
131,0.995,Unfolded Node2Vec
133,0.046,Unfolded Node2Vec
135,0.452,Unfolded Node2Vec
137,0.992,Unfolded Node2Vec
139,0.7010000000000001,Unfolded Node2Vec
141,0.217,Unfolded Node2Vec
143,0.0,Unfolded Node2Vec
145,0.026000000000000002,Unfolded Node2Vec
147,0.802,Unfolded Node2Vec
149,0.8280000000000001,Unfolded Node2Vec
151,0.248,Unfolded Node2Vec
153,0.031,Unfolded Node2Vec
155,0.627,Unfolded Node2Vec
157,0.073,Unfolded Node2Vec
159,0.769,Unfolded Node2Vec
161,0.0,Unfolded Node2Vec
163,0.434,Unfolded Node2Vec
165,0.869,Unfolded Node2Vec
167,0.3,Unfolded Node2Vec
169,0.396,Unfolded Node2Vec
171,0.3,Unfolded Node2Vec
173,0.192,Unfolded Node2Vec
175,0.11800000000000001,Unfolded Node2Vec
177,0.546,Unfolded Node2Vec
179,0.1,Unfolded Node2Vec
181,0.47300000000000003,Unfolded Node2Vec
183,0.09,Unfolded Node2Vec
185,0.015,Unfolded Node2Vec
187,0.033,Unfolded Node2Vec
189,0.998,Unfolded Node2Vec
191,0.23,Unfolded Node2Vec
193,0.198,Unfolded Node2Vec
195,0.794,Unfolded Node2Vec
197,0.794,Unfolded Node2Vec
199,0.556,Unfolded Node2Vec
201,0.06,Unfolded Node2Vec
203,0.014,Unfolded Node2Vec
205,0.009000000000000001,Unfolded Node2Vec
207,0.289,Unfolded Node2Vec
209,0.9,Unfolded Node2Vec
211,0.85,Unfolded Node2Vec
213,0.001,Unfolded Node2Vec
215,0.013000000000000001,Unfolded Node2Vec
217,0.362,Unfolded Node2Vec
219,0.053,Unfolded Node2Vec
221,0.02,Unfolded Node2Vec
223,0.28,Unfolded Node2Vec
225,0.14100000000000001,Unfolded Node2Vec
227,0.275,Unfolded Node2Vec
229,0.855,Unfolded Node2Vec
231,0.533,Unfolded Node2Vec
233,0.015,Unfolded Node2Vec
235,0.14100000000000001,Unfolded Node2Vec
237,0.33,Unfolded Node2Vec
239,0.085,Unfolded Node2Vec
241,0.0,Unfolded Node2Vec
243,0.001,Unfolded Node2Vec
245,0.004,Unfolded Node2Vec
247,0.589,Unfolded Node2Vec
249,0.129,Unfolded Node2Vec
251,0.089,Unfolded Node2Vec
253,0.534,Unfolded Node2Vec
255,0.794,Unfolded Node2Vec
257,0.883,Unfolded Node2Vec
259,0.128,Unfolded Node2Vec
261,0.008,Unfolded Node2Vec
263,0.559,Unfolded Node2Vec
265,0.799,Unfolded Node2Vec
267,0.036000000000000004,Unfolded Node2Vec
269,0.076,Unfolded Node2Vec
271,0.187,Unfolded Node2Vec
273,0.248,Unfolded Node2Vec
275,0.117,Unfolded Node2Vec
277,0.182,Unfolded Node2Vec
279,0.08700000000000001,Unfolded Node2Vec
281,0.41400000000000003,Unfolded Node2Vec
283,0.129,Unfolded Node2Vec
285,0.8290000000000001,Unfolded Node2Vec
287,0.073,Unfolded Node2Vec
289,0.928,Unfolded Node2Vec
291,0.927,Unfolded Node2Vec
293,0.451,Unfolded Node2Vec
295,0.865,Unfolded Node2Vec
297,0.259,Unfolded Node2Vec
299,0.548,Unfolded Node2Vec
301,0.026000000000000002,Unfolded Node2Vec
303,0.897,Unfolded Node2Vec
305,0.047,Unfolded Node2Vec
307,0.779,Unfolded Node2Vec
309,0.215,Unfolded Node2Vec
311,0.022,Unfolded Node2Vec
313,0.131,Unfolded Node2Vec
315,0.079,Unfolded Node2Vec
317,0.466,Unfolded Node2Vec
319,0.273,Unfolded Node2Vec
321,0.841,Unfolded Node2Vec
323,0.9540000000000001,Unfolded Node2Vec
325,0.422,Unfolded Node2Vec
327,0.548,Unfolded Node2Vec
329,0.389,Unfolded Node2Vec
331,0.5730000000000001,Unfolded Node2Vec
333,0.152,Unfolded Node2Vec
335,0.128,Unfolded Node2Vec
337,0.007,Unfolded Node2Vec
339,0.045,Unfolded Node2Vec
