,p_hat,method
6,0.0,Dynamic Skip Gram
13,0.0,Dynamic Skip Gram
20,0.0,Dynamic Skip Gram
27,0.163,Dynamic Skip Gram
34,0.0,Dynamic Skip Gram
41,0.6910000000000001,Dynamic Skip Gram
48,0.0,Dynamic Skip Gram
55,0.201,Dynamic Skip Gram
62,0.0,Dynamic Skip Gram
69,0.449,Dynamic Skip Gram
76,0.136,Dynamic Skip Gram
83,0.47100000000000003,Dynamic Skip Gram
90,0.255,Dynamic Skip Gram
97,0.715,Dynamic Skip Gram
104,0.004,Dynamic Skip Gram
111,0.036000000000000004,Dynamic Skip Gram
118,0.008,Dynamic Skip Gram
125,0.0,Dynamic Skip Gram
132,0.6960000000000001,Dynamic Skip Gram
139,0.0,Dynamic Skip Gram
146,0.18,Dynamic Skip Gram
153,0.001,Dynamic Skip Gram
160,0.004,Dynamic Skip Gram
167,0.009000000000000001,Dynamic Skip Gram
174,0.203,Dynamic Skip Gram
181,0.0,Dynamic Skip Gram
188,0.001,Dynamic Skip Gram
195,0.035,Dynamic Skip Gram
202,0.002,Dynamic Skip Gram
209,0.224,Dynamic Skip Gram
216,0.0,Dynamic Skip Gram
223,0.045,Dynamic Skip Gram
230,0.0,Dynamic Skip Gram
237,0.008,Dynamic Skip Gram
244,0.0,Dynamic Skip Gram
251,0.0,Dynamic Skip Gram
258,0.005,Dynamic Skip Gram
265,0.0,Dynamic Skip Gram
272,0.023,Dynamic Skip Gram
279,0.0,Dynamic Skip Gram
286,0.0,Dynamic Skip Gram
293,0.135,Dynamic Skip Gram
300,0.008,Dynamic Skip Gram
307,0.0,Dynamic Skip Gram
314,0.006,Dynamic Skip Gram
321,0.028,Dynamic Skip Gram
328,0.395,Dynamic Skip Gram
335,0.123,Dynamic Skip Gram
342,0.0,Dynamic Skip Gram
349,0.0,Dynamic Skip Gram
356,0.0,Dynamic Skip Gram
363,0.0,Dynamic Skip Gram
370,0.0,Dynamic Skip Gram
377,0.0,Dynamic Skip Gram
384,0.0,Dynamic Skip Gram
391,0.001,Dynamic Skip Gram
398,0.04,Dynamic Skip Gram
405,0.0,Dynamic Skip Gram
412,0.0,Dynamic Skip Gram
419,0.063,Dynamic Skip Gram
426,0.186,Dynamic Skip Gram
433,0.0,Dynamic Skip Gram
440,0.502,Dynamic Skip Gram
447,0.0,Dynamic Skip Gram
454,0.0,Dynamic Skip Gram
461,0.0,Dynamic Skip Gram
468,0.0,Dynamic Skip Gram
475,0.0,Dynamic Skip Gram
482,0.008,Dynamic Skip Gram
489,0.0,Dynamic Skip Gram
496,0.0,Dynamic Skip Gram
503,0.0,Dynamic Skip Gram
510,0.0,Dynamic Skip Gram
517,0.0,Dynamic Skip Gram
524,0.0,Dynamic Skip Gram
531,0.0,Dynamic Skip Gram
538,0.0,Dynamic Skip Gram
545,0.0,Dynamic Skip Gram
552,0.0,Dynamic Skip Gram
559,0.194,Dynamic Skip Gram
566,0.0,Dynamic Skip Gram
573,0.41300000000000003,Dynamic Skip Gram
580,0.5760000000000001,Dynamic Skip Gram
587,0.0,Dynamic Skip Gram
594,0.0,Dynamic Skip Gram
601,0.0,Dynamic Skip Gram
608,0.0,Dynamic Skip Gram
615,0.0,Dynamic Skip Gram
622,0.0,Dynamic Skip Gram
629,0.0,Dynamic Skip Gram
636,0.013000000000000001,Dynamic Skip Gram
643,0.0,Dynamic Skip Gram
650,0.0,Dynamic Skip Gram
657,0.0,Dynamic Skip Gram
664,0.012,Dynamic Skip Gram
671,0.11900000000000001,Dynamic Skip Gram
678,0.0,Dynamic Skip Gram
685,0.001,Dynamic Skip Gram
692,0.0,Dynamic Skip Gram
699,0.0,Dynamic Skip Gram
706,0.019,Dynamic Skip Gram
