,p_hat,method
7,0.449,GloDyNE
15,0.044,GloDyNE
23,0.021,GloDyNE
31,0.461,GloDyNE
39,0.34600000000000003,GloDyNE
47,0.387,GloDyNE
55,0.459,GloDyNE
63,0.529,GloDyNE
71,0.225,GloDyNE
79,0.096,GloDyNE
87,0.511,GloDyNE
95,0.46900000000000003,GloDyNE
103,0.42,GloDyNE
111,0.14300000000000002,GloDyNE
119,0.158,GloDyNE
127,0.20700000000000002,GloDyNE
135,0.0,GloDyNE
143,0.08600000000000001,GloDyNE
151,0.274,GloDyNE
159,0.193,GloDyNE
167,0.157,GloDyNE
175,0.456,GloDyNE
183,0.34,GloDyNE
191,0.554,GloDyNE
199,0.273,GloDyNE
207,0.377,GloDyNE
215,0.368,GloDyNE
223,0.313,GloDyNE
231,0.487,GloDyNE
239,0.465,GloDyNE
247,0.354,GloDyNE
255,0.402,GloDyNE
263,0.311,GloDyNE
271,0.075,GloDyNE
279,0.5720000000000001,GloDyNE
287,0.361,GloDyNE
295,0.085,GloDyNE
303,0.28300000000000003,GloDyNE
311,0.188,GloDyNE
319,0.35100000000000003,GloDyNE
327,0.41000000000000003,GloDyNE
335,0.13,GloDyNE
343,0.492,GloDyNE
351,0.28400000000000003,GloDyNE
359,0.484,GloDyNE
367,0.332,GloDyNE
375,0.23900000000000002,GloDyNE
383,0.215,GloDyNE
391,0.064,GloDyNE
399,0.421,GloDyNE
407,0.109,GloDyNE
415,0.267,GloDyNE
423,0.34,GloDyNE
431,0.147,GloDyNE
439,0.003,GloDyNE
447,0.182,GloDyNE
455,0.027,GloDyNE
463,0.225,GloDyNE
471,0.462,GloDyNE
479,0.163,GloDyNE
487,0.315,GloDyNE
495,0.222,GloDyNE
503,0.452,GloDyNE
511,0.559,GloDyNE
519,0.315,GloDyNE
527,0.511,GloDyNE
535,0.5670000000000001,GloDyNE
543,0.242,GloDyNE
551,0.417,GloDyNE
559,0.419,GloDyNE
567,0.112,GloDyNE
575,0.443,GloDyNE
583,0.113,GloDyNE
591,0.37,GloDyNE
599,0.273,GloDyNE
607,0.382,GloDyNE
615,0.365,GloDyNE
623,0.209,GloDyNE
631,0.031,GloDyNE
639,0.544,GloDyNE
647,0.115,GloDyNE
655,0.532,GloDyNE
663,0.124,GloDyNE
671,0.019,GloDyNE
679,0.259,GloDyNE
687,0.257,GloDyNE
695,0.121,GloDyNE
703,0.525,GloDyNE
711,0.171,GloDyNE
719,0.535,GloDyNE
727,0.369,GloDyNE
735,0.457,GloDyNE
743,0.369,GloDyNE
751,0.073,GloDyNE
759,0.026000000000000002,GloDyNE
767,0.067,GloDyNE
775,0.23700000000000002,GloDyNE
783,0.34400000000000003,GloDyNE
791,0.561,GloDyNE
799,0.194,GloDyNE
807,0.336,GloDyNE
815,0.355,GloDyNE
823,0.294,GloDyNE
831,0.341,GloDyNE
839,0.341,GloDyNE
847,0.038,GloDyNE
855,0.497,GloDyNE
863,0.626,GloDyNE
871,0.093,GloDyNE
879,0.543,GloDyNE
887,0.334,GloDyNE
895,0.029,GloDyNE
903,0.52,GloDyNE
911,0.162,GloDyNE
919,0.117,GloDyNE
927,0.458,GloDyNE
935,0.34900000000000003,GloDyNE
943,0.379,GloDyNE
951,0.45,GloDyNE
959,0.528,GloDyNE
967,0.41600000000000004,GloDyNE
975,0.133,GloDyNE
983,0.018000000000000002,GloDyNE
991,0.182,GloDyNE
999,0.468,GloDyNE
1007,0.5670000000000001,GloDyNE
1015,0.47800000000000004,GloDyNE
1023,0.37,GloDyNE
1031,0.5640000000000001,GloDyNE
1039,0.5700000000000001,GloDyNE
1047,0.334,GloDyNE
1055,0.388,GloDyNE
1063,0.47000000000000003,GloDyNE
1071,0.27,GloDyNE
1079,0.268,GloDyNE
1087,0.161,GloDyNE
1095,0.34,GloDyNE
1103,0.133,GloDyNE
1111,0.19,GloDyNE
1119,0.425,GloDyNE
1127,0.20400000000000001,GloDyNE
1135,0.483,GloDyNE
1143,0.226,GloDyNE
1151,0.323,GloDyNE
1159,0.392,GloDyNE
1167,0.192,GloDyNE
1175,0.506,GloDyNE
1183,0.0,GloDyNE
1191,0.459,GloDyNE
1199,0.36,GloDyNE
1207,0.361,GloDyNE
1215,0.35000000000000003,GloDyNE
1223,0.547,GloDyNE
1231,0.453,GloDyNE
1239,0.224,GloDyNE
1247,0.254,GloDyNE
1255,0.10400000000000001,GloDyNE
1263,0.461,GloDyNE
1271,0.252,GloDyNE
1279,0.373,GloDyNE
1287,0.39,GloDyNE
1295,0.32,GloDyNE
1303,0.502,GloDyNE
1311,0.129,GloDyNE
1319,0.392,GloDyNE
1327,0.23900000000000002,GloDyNE
1335,0.542,GloDyNE
1343,0.111,GloDyNE
1351,0.36,GloDyNE
1359,0.339,GloDyNE
1367,0.456,GloDyNE
1375,0.249,GloDyNE
1383,0.526,GloDyNE
1391,0.233,GloDyNE
1399,0.398,GloDyNE
1407,0.338,GloDyNE
1415,0.499,GloDyNE
1423,0.20800000000000002,GloDyNE
1431,0.212,GloDyNE
1439,0.165,GloDyNE
1447,0.354,GloDyNE
1455,0.423,GloDyNE
1463,0.5700000000000001,GloDyNE
1471,0.0,GloDyNE
1479,0.14300000000000002,GloDyNE
1487,0.23600000000000002,GloDyNE
1495,0.154,GloDyNE
1503,0.46,GloDyNE
1511,0.404,GloDyNE
1519,0.28800000000000003,GloDyNE
1527,0.2,GloDyNE
1535,0.5710000000000001,GloDyNE
1543,0.502,GloDyNE
1551,0.01,GloDyNE
1559,0.519,GloDyNE
1567,0.147,GloDyNE
1575,0.41500000000000004,GloDyNE
1583,0.166,GloDyNE
1591,0.513,GloDyNE
1599,0.548,GloDyNE
