,p_hat,method
2,0.354,OMNI
10,0.461,OMNI
18,0.20700000000000002,OMNI
26,0.846,OMNI
34,0.444,OMNI
42,0.5750000000000001,OMNI
50,0.836,OMNI
58,0.496,OMNI
66,0.8160000000000001,OMNI
74,0.069,OMNI
82,0.907,OMNI
90,0.6950000000000001,OMNI
98,0.615,OMNI
106,0.857,OMNI
114,0.734,OMNI
122,0.358,OMNI
130,0.443,OMNI
138,0.964,OMNI
146,0.449,OMNI
154,0.07,OMNI
162,0.186,OMNI
170,0.057,OMNI
178,0.8280000000000001,OMNI
186,0.422,OMNI
194,0.19,OMNI
202,0.537,OMNI
210,0.651,OMNI
218,0.1,OMNI
226,0.216,OMNI
234,0.182,OMNI
242,0.582,OMNI
250,0.014,OMNI
258,0.615,OMNI
266,0.611,OMNI
274,0.864,OMNI
282,0.537,OMNI
290,0.762,OMNI
298,0.023,OMNI
306,0.678,OMNI
314,0.504,OMNI
322,0.722,OMNI
330,0.741,OMNI
338,0.578,OMNI
346,0.8310000000000001,OMNI
354,0.062,OMNI
362,0.867,OMNI
370,0.432,OMNI
378,0.014,OMNI
386,0.35100000000000003,OMNI
394,0.988,OMNI
402,0.361,OMNI
410,0.776,OMNI
418,0.387,OMNI
426,0.865,OMNI
434,0.919,OMNI
442,0.626,OMNI
450,0.03,OMNI
458,0.936,OMNI
466,0.867,OMNI
474,0.213,OMNI
482,0.554,OMNI
490,0.055,OMNI
498,0.5640000000000001,OMNI
506,0.761,OMNI
514,0.40900000000000003,OMNI
522,0.182,OMNI
530,0.098,OMNI
538,0.615,OMNI
546,0.024,OMNI
554,0.124,OMNI
562,0.972,OMNI
570,0.47500000000000003,OMNI
578,0.186,OMNI
586,0.34800000000000003,OMNI
594,0.093,OMNI
602,0.28300000000000003,OMNI
610,0.75,OMNI
618,0.41500000000000004,OMNI
626,0.539,OMNI
634,0.88,OMNI
642,0.748,OMNI
650,0.255,OMNI
658,0.436,OMNI
666,0.8240000000000001,OMNI
674,0.031,OMNI
682,0.991,OMNI
690,0.736,OMNI
698,0.17300000000000001,OMNI
706,0.88,OMNI
714,0.752,OMNI
722,0.039,OMNI
730,0.20800000000000002,OMNI
738,0.221,OMNI
746,0.834,OMNI
754,0.245,OMNI
762,0.988,OMNI
770,0.993,OMNI
778,0.468,OMNI
786,0.768,OMNI
794,0.729,OMNI
802,0.88,OMNI
810,0.106,OMNI
818,0.728,OMNI
826,0.061,OMNI
834,0.202,OMNI
842,0.013000000000000001,OMNI
850,0.718,OMNI
858,0.241,OMNI
866,0.077,OMNI
874,0.182,OMNI
882,0.706,OMNI
890,0.532,OMNI
898,0.445,OMNI
906,0.02,OMNI
914,0.176,OMNI
922,0.109,OMNI
930,0.5,OMNI
938,0.039,OMNI
946,0.504,OMNI
954,0.523,OMNI
962,0.259,OMNI
970,0.132,OMNI
978,0.577,OMNI
986,0.47700000000000004,OMNI
994,0.379,OMNI
1002,0.805,OMNI
1010,0.203,OMNI
1018,0.332,OMNI
1026,0.189,OMNI
1034,0.704,OMNI
1042,0.273,OMNI
1050,0.64,OMNI
1058,0.642,OMNI
1066,0.839,OMNI
1074,0.262,OMNI
1082,0.785,OMNI
1090,0.336,OMNI
1098,0.843,OMNI
1106,0.371,OMNI
1114,0.225,OMNI
1122,0.543,OMNI
1130,0.986,OMNI
1138,0.171,OMNI
1146,0.327,OMNI
1154,0.489,OMNI
1162,0.654,OMNI
1170,0.544,OMNI
1178,0.485,OMNI
1186,0.28,OMNI
1194,0.013000000000000001,OMNI
1202,0.484,OMNI
1210,0.242,OMNI
1218,0.685,OMNI
1226,0.33,OMNI
1234,0.648,OMNI
1242,0.447,OMNI
1250,0.924,OMNI
1258,0.331,OMNI
1266,0.991,OMNI
1274,0.833,OMNI
1282,0.717,OMNI
1290,0.874,OMNI
1298,0.109,OMNI
1306,0.713,OMNI
1314,0.908,OMNI
1322,0.302,OMNI
1330,0.921,OMNI
1338,0.291,OMNI
1346,0.909,OMNI
1354,0.889,OMNI
1362,0.5760000000000001,OMNI
1370,0.8300000000000001,OMNI
1378,0.783,OMNI
1386,0.457,OMNI
1394,0.018000000000000002,OMNI
1402,0.561,OMNI
1410,0.151,OMNI
1418,0.169,OMNI
1426,0.23800000000000002,OMNI
1434,0.583,OMNI
1442,0.977,OMNI
1450,0.494,OMNI
1458,0.429,OMNI
1466,0.23500000000000001,OMNI
1474,0.135,OMNI
1482,0.687,OMNI
1490,0.68,OMNI
1498,0.634,OMNI
1506,0.844,OMNI
1514,0.992,OMNI
1522,0.47400000000000003,OMNI
1530,0.254,OMNI
1538,0.076,OMNI
1546,0.073,OMNI
1554,0.256,OMNI
1562,0.341,OMNI
1570,0.295,OMNI
1578,0.395,OMNI
1586,0.34600000000000003,OMNI
1594,0.129,OMNI
