,p_hat,method
1,0.989,SSE Procrustes
9,0.9400000000000001,SSE Procrustes
17,0.547,SSE Procrustes
25,0.98,SSE Procrustes
33,0.988,SSE Procrustes
41,0.805,SSE Procrustes
49,0.772,SSE Procrustes
57,0.47100000000000003,SSE Procrustes
65,0.975,SSE Procrustes
73,0.431,SSE Procrustes
81,0.778,SSE Procrustes
89,0.9440000000000001,SSE Procrustes
97,0.8190000000000001,SSE Procrustes
105,0.778,SSE Procrustes
113,0.734,SSE Procrustes
121,0.644,SSE Procrustes
129,0.327,SSE Procrustes
137,0.588,SSE Procrustes
145,0.586,SSE Procrustes
153,0.914,SSE Procrustes
161,0.674,SSE Procrustes
169,0.463,SSE Procrustes
177,0.8240000000000001,SSE Procrustes
185,0.9540000000000001,SSE Procrustes
193,0.54,SSE Procrustes
201,0.916,SSE Procrustes
209,0.881,SSE Procrustes
217,0.48,SSE Procrustes
225,0.9420000000000001,SSE Procrustes
233,0.9380000000000001,SSE Procrustes
241,0.522,SSE Procrustes
249,0.8170000000000001,SSE Procrustes
257,0.683,SSE Procrustes
265,0.9380000000000001,SSE Procrustes
273,0.599,SSE Procrustes
281,0.835,SSE Procrustes
289,0.791,SSE Procrustes
297,0.277,SSE Procrustes
305,0.861,SSE Procrustes
313,0.914,SSE Procrustes
321,0.786,SSE Procrustes
329,0.637,SSE Procrustes
337,0.727,SSE Procrustes
345,0.801,SSE Procrustes
353,0.323,SSE Procrustes
361,0.554,SSE Procrustes
369,0.64,SSE Procrustes
377,0.8280000000000001,SSE Procrustes
385,0.735,SSE Procrustes
393,0.93,SSE Procrustes
401,0.5680000000000001,SSE Procrustes
409,0.47200000000000003,SSE Procrustes
417,0.884,SSE Procrustes
425,0.725,SSE Procrustes
433,0.785,SSE Procrustes
441,0.762,SSE Procrustes
449,0.529,SSE Procrustes
457,0.874,SSE Procrustes
465,0.876,SSE Procrustes
473,0.99,SSE Procrustes
481,0.925,SSE Procrustes
489,0.922,SSE Procrustes
497,0.84,SSE Procrustes
505,0.969,SSE Procrustes
513,0.902,SSE Procrustes
521,0.31,SSE Procrustes
529,0.772,SSE Procrustes
537,0.705,SSE Procrustes
545,0.992,SSE Procrustes
553,0.739,SSE Procrustes
561,0.886,SSE Procrustes
569,0.8160000000000001,SSE Procrustes
577,0.792,SSE Procrustes
585,0.719,SSE Procrustes
593,0.915,SSE Procrustes
601,0.583,SSE Procrustes
609,0.9530000000000001,SSE Procrustes
617,0.9510000000000001,SSE Procrustes
625,0.778,SSE Procrustes
633,0.6980000000000001,SSE Procrustes
641,0.41600000000000004,SSE Procrustes
649,0.679,SSE Procrustes
657,0.686,SSE Procrustes
665,0.91,SSE Procrustes
673,0.769,SSE Procrustes
681,0.9470000000000001,SSE Procrustes
689,0.624,SSE Procrustes
697,0.865,SSE Procrustes
705,0.88,SSE Procrustes
713,0.705,SSE Procrustes
721,0.845,SSE Procrustes
729,0.906,SSE Procrustes
737,0.305,SSE Procrustes
745,0.646,SSE Procrustes
753,0.6,SSE Procrustes
761,0.811,SSE Procrustes
769,0.9490000000000001,SSE Procrustes
777,0.965,SSE Procrustes
785,0.754,SSE Procrustes
793,0.61,SSE Procrustes
801,0.79,SSE Procrustes
809,0.599,SSE Procrustes
