,p_hat,method
3,0.462,UASE
11,0.708,UASE
19,0.163,UASE
27,0.808,UASE
35,0.626,UASE
43,0.18,UASE
51,0.18,UASE
59,0.323,UASE
67,0.14400000000000002,UASE
75,0.197,UASE
83,0.659,UASE
91,0.789,UASE
99,0.217,UASE
107,0.849,UASE
115,0.466,UASE
123,0.093,UASE
131,0.035,UASE
139,0.619,UASE
147,0.054,UASE
155,0.40800000000000003,UASE
163,0.54,UASE
171,0.073,UASE
179,0.548,UASE
187,0.977,UASE
195,0.06,UASE
203,0.393,UASE
211,0.07200000000000001,UASE
219,0.3,UASE
227,0.422,UASE
235,0.778,UASE
243,0.78,UASE
251,0.502,UASE
259,0.3,UASE
267,0.855,UASE
275,0.712,UASE
283,0.501,UASE
291,0.722,UASE
299,0.227,UASE
307,0.37,UASE
315,0.918,UASE
323,0.8190000000000001,UASE
331,0.4,UASE
339,0.632,UASE
347,0.46,UASE
355,0.022,UASE
363,0.646,UASE
371,0.652,UASE
379,0.454,UASE
387,0.593,UASE
395,0.9440000000000001,UASE
403,0.248,UASE
411,0.32,UASE
419,0.265,UASE
427,0.841,UASE
435,0.177,UASE
443,0.783,UASE
451,0.496,UASE
459,0.406,UASE
467,0.922,UASE
475,0.963,UASE
483,0.963,UASE
491,0.261,UASE
499,0.053,UASE
507,0.47500000000000003,UASE
515,0.109,UASE
523,0.069,UASE
531,0.671,UASE
539,0.595,UASE
547,0.869,UASE
555,0.561,UASE
563,0.994,UASE
571,0.397,UASE
579,0.324,UASE
587,0.259,UASE
595,0.251,UASE
603,0.074,UASE
611,0.877,UASE
619,0.339,UASE
627,0.49,UASE
635,0.986,UASE
643,0.053,UASE
651,0.394,UASE
659,0.391,UASE
667,0.857,UASE
675,0.486,UASE
683,0.991,UASE
691,0.848,UASE
699,0.911,UASE
707,0.85,UASE
715,0.328,UASE
723,0.263,UASE
731,0.508,UASE
739,0.04,UASE
747,0.378,UASE
755,0.163,UASE
763,0.976,UASE
771,0.927,UASE
779,0.7010000000000001,UASE
787,0.229,UASE
795,0.393,UASE
803,0.714,UASE
811,0.429,UASE
819,0.874,UASE
827,0.488,UASE
835,0.756,UASE
843,0.34700000000000003,UASE
851,0.458,UASE
859,0.9510000000000001,UASE
867,0.044,UASE
875,0.295,UASE
883,0.8180000000000001,UASE
891,0.128,UASE
899,0.47300000000000003,UASE
907,0.047,UASE
915,0.121,UASE
923,0.12,UASE
931,0.725,UASE
939,0.19,UASE
947,0.8230000000000001,UASE
955,0.8250000000000001,UASE
963,0.89,UASE
971,0.641,UASE
979,0.972,UASE
987,0.372,UASE
995,0.537,UASE
1003,0.28500000000000003,UASE
1011,0.356,UASE
1019,0.27,UASE
1027,0.339,UASE
1035,0.794,UASE
1043,0.009000000000000001,UASE
1051,0.535,UASE
1059,0.587,UASE
1067,0.51,UASE
1075,0.647,UASE
1083,0.492,UASE
1091,0.9520000000000001,UASE
1099,0.441,UASE
1107,0.211,UASE
1115,0.313,UASE
1123,0.274,UASE
1131,0.47100000000000003,UASE
1139,0.917,UASE
1147,0.12,UASE
1155,0.659,UASE
1163,0.369,UASE
1171,0.049,UASE
1179,0.428,UASE
1187,0.41300000000000003,UASE
1195,0.5730000000000001,UASE
1203,0.486,UASE
1211,0.586,UASE
1219,0.467,UASE
1227,0.762,UASE
1235,0.578,UASE
1243,0.153,UASE
1251,0.251,UASE
1259,0.437,UASE
1267,0.542,UASE
1275,0.489,UASE
1283,0.584,UASE
1291,0.732,UASE
1299,0.307,UASE
1307,0.329,UASE
1315,0.921,UASE
1323,0.34800000000000003,UASE
1331,0.371,UASE
1339,0.589,UASE
1347,0.544,UASE
1355,0.801,UASE
1363,0.848,UASE
1371,0.905,UASE
1379,0.768,UASE
1387,0.749,UASE
1395,0.045,UASE
1403,0.082,UASE
1411,0.791,UASE
1419,0.881,UASE
1427,0.622,UASE
1435,0.734,UASE
1443,0.8230000000000001,UASE
1451,0.67,UASE
1459,0.881,UASE
1467,0.708,UASE
1475,0.911,UASE
1483,0.6880000000000001,UASE
1491,0.918,UASE
1499,0.303,UASE
1507,0.581,UASE
1515,0.9560000000000001,UASE
1523,0.315,UASE
1531,0.001,UASE
1539,0.51,UASE
1547,0.222,UASE
1555,0.793,UASE
1563,0.108,UASE
1571,0.936,UASE
1579,0.078,UASE
1587,0.245,UASE
1595,0.06,UASE
