,p_hat,method
4,0.47500000000000003,URLSE
12,0.723,URLSE
20,0.167,URLSE
28,0.8230000000000001,URLSE
36,0.615,URLSE
44,0.20400000000000001,URLSE
52,0.17400000000000002,URLSE
60,0.311,URLSE
68,0.147,URLSE
76,0.211,URLSE
84,0.654,URLSE
92,0.762,URLSE
100,0.249,URLSE
108,0.8270000000000001,URLSE
116,0.466,URLSE
124,0.099,URLSE
132,0.04,URLSE
140,0.615,URLSE
148,0.059000000000000004,URLSE
156,0.438,URLSE
164,0.528,URLSE
172,0.083,URLSE
180,0.551,URLSE
188,0.983,URLSE
196,0.033,URLSE
204,0.4,URLSE
212,0.085,URLSE
220,0.291,URLSE
228,0.425,URLSE
236,0.78,URLSE
244,0.801,URLSE
252,0.512,URLSE
260,0.292,URLSE
268,0.844,URLSE
276,0.744,URLSE
284,0.489,URLSE
292,0.733,URLSE
300,0.246,URLSE
308,0.401,URLSE
316,0.925,URLSE
324,0.809,URLSE
332,0.39,URLSE
340,0.643,URLSE
348,0.456,URLSE
356,0.019,URLSE
364,0.666,URLSE
372,0.644,URLSE
380,0.47700000000000004,URLSE
388,0.604,URLSE
396,0.931,URLSE
404,0.264,URLSE
412,0.337,URLSE
420,0.232,URLSE
428,0.8300000000000001,URLSE
436,0.191,URLSE
444,0.762,URLSE
452,0.512,URLSE
460,0.371,URLSE
468,0.908,URLSE
476,0.9530000000000001,URLSE
484,0.9490000000000001,URLSE
492,0.264,URLSE
500,0.058,URLSE
508,0.489,URLSE
516,0.098,URLSE
524,0.10400000000000001,URLSE
532,0.71,URLSE
540,0.606,URLSE
548,0.868,URLSE
556,0.558,URLSE
564,0.998,URLSE
572,0.34400000000000003,URLSE
580,0.357,URLSE
588,0.251,URLSE
596,0.233,URLSE
604,0.066,URLSE
612,0.854,URLSE
620,0.35100000000000003,URLSE
628,0.512,URLSE
636,0.985,URLSE
644,0.057,URLSE
652,0.367,URLSE
660,0.367,URLSE
668,0.876,URLSE
676,0.516,URLSE
684,0.987,URLSE
692,0.85,URLSE
700,0.897,URLSE
708,0.834,URLSE
716,0.354,URLSE
724,0.243,URLSE
732,0.47800000000000004,URLSE
740,0.052000000000000005,URLSE
748,0.394,URLSE
756,0.163,URLSE
764,0.976,URLSE
772,0.922,URLSE
780,0.719,URLSE
788,0.21,URLSE
796,0.379,URLSE
804,0.751,URLSE
812,0.427,URLSE
820,0.847,URLSE
828,0.456,URLSE
836,0.79,URLSE
844,0.311,URLSE
852,0.442,URLSE
860,0.9540000000000001,URLSE
868,0.037,URLSE
876,0.296,URLSE
884,0.8200000000000001,URLSE
892,0.111,URLSE
900,0.51,URLSE
908,0.051000000000000004,URLSE
916,0.12,URLSE
924,0.136,URLSE
932,0.746,URLSE
940,0.20500000000000002,URLSE
948,0.8180000000000001,URLSE
956,0.8130000000000001,URLSE
964,0.907,URLSE
972,0.647,URLSE
980,0.964,URLSE
988,0.368,URLSE
996,0.529,URLSE
1004,0.25,URLSE
1012,0.371,URLSE
1020,0.264,URLSE
1028,0.34800000000000003,URLSE
1036,0.791,URLSE
1044,0.005,URLSE
1052,0.511,URLSE
1060,0.551,URLSE
1068,0.485,URLSE
1076,0.66,URLSE
1084,0.537,URLSE
1092,0.929,URLSE
1100,0.41600000000000004,URLSE
1108,0.247,URLSE
1116,0.32,URLSE
1124,0.291,URLSE
1132,0.492,URLSE
1140,0.907,URLSE
1148,0.131,URLSE
1156,0.708,URLSE
1164,0.389,URLSE
1172,0.067,URLSE
1180,0.454,URLSE
1188,0.439,URLSE
1196,0.5720000000000001,URLSE
1204,0.482,URLSE
1212,0.5640000000000001,URLSE
1220,0.439,URLSE
1228,0.759,URLSE
1236,0.578,URLSE
1244,0.13,URLSE
1252,0.248,URLSE
1260,0.434,URLSE
1268,0.554,URLSE
1276,0.487,URLSE
1284,0.555,URLSE
1292,0.711,URLSE
1300,0.28700000000000003,URLSE
1308,0.365,URLSE
1316,0.916,URLSE
1324,0.371,URLSE
1332,0.324,URLSE
1340,0.619,URLSE
1348,0.54,URLSE
1356,0.833,URLSE
1364,0.85,URLSE
1372,0.914,URLSE
1380,0.794,URLSE
1388,0.76,URLSE
1396,0.055,URLSE
1404,0.073,URLSE
1412,0.803,URLSE
1420,0.87,URLSE
1428,0.635,URLSE
1436,0.73,URLSE
1444,0.801,URLSE
1452,0.665,URLSE
1460,0.876,URLSE
1468,0.685,URLSE
1476,0.89,URLSE
1484,0.6920000000000001,URLSE
1492,0.927,URLSE
1500,0.326,URLSE
1508,0.582,URLSE
1516,0.9560000000000001,URLSE
1524,0.304,URLSE
1532,0.004,URLSE
1540,0.549,URLSE
1548,0.24,URLSE
1556,0.79,URLSE
1564,0.088,URLSE
1572,0.9500000000000001,URLSE
1580,0.097,URLSE
1588,0.23700000000000002,URLSE
1596,0.051000000000000004,URLSE
