,p_hat,method
6,0.594,Unfolded Node2Vec
14,0.059000000000000004,Unfolded Node2Vec
22,0.426,Unfolded Node2Vec
30,0.199,Unfolded Node2Vec
38,0.6990000000000001,Unfolded Node2Vec
46,0.759,Unfolded Node2Vec
54,0.803,Unfolded Node2Vec
62,0.445,Unfolded Node2Vec
70,0.448,Unfolded Node2Vec
78,0.152,Unfolded Node2Vec
86,0.487,Unfolded Node2Vec
94,0.489,Unfolded Node2Vec
102,0.583,Unfolded Node2Vec
110,0.59,Unfolded Node2Vec
118,0.047,Unfolded Node2Vec
126,0.882,Unfolded Node2Vec
134,0.043000000000000003,Unfolded Node2Vec
142,0.08600000000000001,Unfolded Node2Vec
150,0.106,Unfolded Node2Vec
158,0.629,Unfolded Node2Vec
166,0.405,Unfolded Node2Vec
174,0.451,Unfolded Node2Vec
182,0.47200000000000003,Unfolded Node2Vec
190,0.518,Unfolded Node2Vec
198,0.124,Unfolded Node2Vec
206,0.8310000000000001,Unfolded Node2Vec
214,0.7030000000000001,Unfolded Node2Vec
222,0.373,Unfolded Node2Vec
230,0.095,Unfolded Node2Vec
238,0.20500000000000002,Unfolded Node2Vec
246,0.923,Unfolded Node2Vec
254,0.768,Unfolded Node2Vec
262,0.451,Unfolded Node2Vec
270,0.53,Unfolded Node2Vec
278,0.795,Unfolded Node2Vec
286,0.638,Unfolded Node2Vec
294,0.873,Unfolded Node2Vec
302,0.306,Unfolded Node2Vec
310,0.063,Unfolded Node2Vec
318,0.844,Unfolded Node2Vec
326,0.091,Unfolded Node2Vec
334,0.446,Unfolded Node2Vec
342,0.198,Unfolded Node2Vec
350,0.367,Unfolded Node2Vec
358,0.04,Unfolded Node2Vec
366,0.329,Unfolded Node2Vec
374,0.361,Unfolded Node2Vec
382,0.534,Unfolded Node2Vec
390,0.316,Unfolded Node2Vec
398,0.905,Unfolded Node2Vec
406,0.099,Unfolded Node2Vec
414,0.585,Unfolded Node2Vec
422,0.525,Unfolded Node2Vec
430,0.067,Unfolded Node2Vec
438,0.551,Unfolded Node2Vec
446,0.8,Unfolded Node2Vec
454,0.887,Unfolded Node2Vec
462,0.629,Unfolded Node2Vec
470,0.744,Unfolded Node2Vec
478,0.278,Unfolded Node2Vec
486,0.378,Unfolded Node2Vec
494,0.861,Unfolded Node2Vec
502,0.605,Unfolded Node2Vec
510,0.41600000000000004,Unfolded Node2Vec
518,0.807,Unfolded Node2Vec
526,0.28200000000000003,Unfolded Node2Vec
534,0.877,Unfolded Node2Vec
542,0.85,Unfolded Node2Vec
550,0.47100000000000003,Unfolded Node2Vec
558,0.845,Unfolded Node2Vec
566,0.276,Unfolded Node2Vec
574,0.525,Unfolded Node2Vec
582,0.003,Unfolded Node2Vec
590,0.352,Unfolded Node2Vec
598,0.962,Unfolded Node2Vec
606,0.231,Unfolded Node2Vec
