,p_hat,method
0,0.372,GloDyNE
1,0.393,GloDyNE
2,0.293,GloDyNE
3,0.519,GloDyNE
4,0.40900000000000003,GloDyNE
5,0.323,GloDyNE
6,0.334,GloDyNE
7,0.302,GloDyNE
8,0.438,GloDyNE
9,0.354,GloDyNE
10,0.366,GloDyNE
11,0.503,GloDyNE
12,0.297,GloDyNE
13,0.336,GloDyNE
14,0.317,GloDyNE
15,0.455,GloDyNE
16,0.28700000000000003,GloDyNE
17,0.363,GloDyNE
18,0.424,GloDyNE
19,0.231,GloDyNE
20,0.366,GloDyNE
21,0.308,GloDyNE
22,0.353,GloDyNE
23,0.605,GloDyNE
24,0.468,GloDyNE
25,0.453,GloDyNE
26,0.545,GloDyNE
27,0.422,GloDyNE
28,0.355,GloDyNE
29,0.395,GloDyNE
30,0.39,GloDyNE
31,0.46900000000000003,GloDyNE
32,0.5,GloDyNE
33,0.425,GloDyNE
34,0.356,GloDyNE
35,0.423,GloDyNE
36,0.333,GloDyNE
37,0.379,GloDyNE
38,0.37,GloDyNE
39,0.353,GloDyNE
40,0.371,GloDyNE
41,0.229,GloDyNE
42,0.604,GloDyNE
43,0.384,GloDyNE
44,0.306,GloDyNE
45,0.465,GloDyNE
46,0.277,GloDyNE
47,0.402,GloDyNE
48,0.324,GloDyNE
49,0.295,GloDyNE
50,0.436,GloDyNE
51,0.312,GloDyNE
52,0.398,GloDyNE
53,0.363,GloDyNE
54,0.399,GloDyNE
55,0.387,GloDyNE
56,0.255,GloDyNE
57,0.272,GloDyNE
58,0.363,GloDyNE
59,0.47600000000000003,GloDyNE
60,0.405,GloDyNE
61,0.41100000000000003,GloDyNE
62,0.536,GloDyNE
63,0.512,GloDyNE
64,0.322,GloDyNE
65,0.38,GloDyNE
66,0.47100000000000003,GloDyNE
67,0.509,GloDyNE
68,0.391,GloDyNE
69,0.337,GloDyNE
70,0.377,GloDyNE
71,0.40900000000000003,GloDyNE
72,0.335,GloDyNE
73,0.37,GloDyNE
74,0.28300000000000003,GloDyNE
75,0.37,GloDyNE
76,0.438,GloDyNE
77,0.434,GloDyNE
78,0.34600000000000003,GloDyNE
79,0.262,GloDyNE
80,0.313,GloDyNE
81,0.40800000000000003,GloDyNE
82,0.455,GloDyNE
83,0.338,GloDyNE
84,0.334,GloDyNE
85,0.457,GloDyNE
86,0.318,GloDyNE
87,0.392,GloDyNE
88,0.303,GloDyNE
89,0.462,GloDyNE
90,0.404,GloDyNE
91,0.307,GloDyNE
92,0.47200000000000003,GloDyNE
93,0.377,GloDyNE
94,0.47700000000000004,GloDyNE
95,0.36,GloDyNE
96,0.461,GloDyNE
97,0.424,GloDyNE
98,0.466,GloDyNE
99,0.422,GloDyNE
100,0.318,GloDyNE
101,0.27,GloDyNE
102,0.297,GloDyNE
103,0.428,GloDyNE
104,0.375,GloDyNE
105,0.436,GloDyNE
106,0.336,GloDyNE
107,0.305,GloDyNE
108,0.361,GloDyNE
109,0.403,GloDyNE
110,0.299,GloDyNE
111,0.388,GloDyNE
112,0.481,GloDyNE
113,0.518,GloDyNE
114,0.39,GloDyNE
115,0.441,GloDyNE
116,0.453,GloDyNE
117,0.393,GloDyNE
118,0.428,GloDyNE
119,0.305,GloDyNE
120,0.379,GloDyNE
121,0.382,GloDyNE
122,0.418,GloDyNE
123,0.43,GloDyNE
124,0.536,GloDyNE
125,0.23500000000000001,GloDyNE
126,0.304,GloDyNE
127,0.319,GloDyNE
128,0.386,GloDyNE
129,0.421,GloDyNE
130,0.396,GloDyNE
131,0.454,GloDyNE
132,0.43,GloDyNE
133,0.387,GloDyNE
134,0.431,GloDyNE
135,0.34800000000000003,GloDyNE
136,0.38,GloDyNE
137,0.387,GloDyNE
138,0.445,GloDyNE
139,0.438,GloDyNE
140,0.314,GloDyNE
141,0.35000000000000003,GloDyNE
142,0.385,GloDyNE
143,0.248,GloDyNE
144,0.546,GloDyNE
145,0.425,GloDyNE
146,0.455,GloDyNE
147,0.293,GloDyNE
148,0.526,GloDyNE
149,0.388,GloDyNE
150,0.393,GloDyNE
151,0.34600000000000003,GloDyNE
152,0.397,GloDyNE
153,0.46900000000000003,GloDyNE
154,0.303,GloDyNE
155,0.356,GloDyNE
156,0.397,GloDyNE
157,0.484,GloDyNE
158,0.337,GloDyNE
159,0.434,GloDyNE
160,0.34900000000000003,GloDyNE
161,0.444,GloDyNE
162,0.212,GloDyNE
163,0.464,GloDyNE
164,0.376,GloDyNE
165,0.442,GloDyNE
166,0.377,GloDyNE
167,0.311,GloDyNE
168,0.426,GloDyNE
169,0.491,GloDyNE
170,0.47200000000000003,GloDyNE
171,0.38,GloDyNE
172,0.482,GloDyNE
173,0.371,GloDyNE
174,0.34,GloDyNE
175,0.445,GloDyNE
176,0.528,GloDyNE
177,0.435,GloDyNE
178,0.399,GloDyNE
179,0.548,GloDyNE
180,0.358,GloDyNE
181,0.426,GloDyNE
182,0.42,GloDyNE
183,0.259,GloDyNE
184,0.404,GloDyNE
185,0.47500000000000003,GloDyNE
186,0.252,GloDyNE
187,0.461,GloDyNE
188,0.55,GloDyNE
189,0.467,GloDyNE
190,0.458,GloDyNE
191,0.338,GloDyNE
192,0.398,GloDyNE
193,0.406,GloDyNE
194,0.41300000000000003,GloDyNE
195,0.312,GloDyNE
196,0.34400000000000003,GloDyNE
197,0.341,GloDyNE
198,0.338,GloDyNE
199,0.313,GloDyNE
