,p_hat,method
2,0.0,OMNI
7,0.02,OMNI
12,0.0,OMNI
17,0.021,OMNI
22,0.092,OMNI
27,0.0,OMNI
32,0.055,OMNI
37,0.105,OMNI
42,0.0,OMNI
47,0.021,OMNI
52,0.001,OMNI
57,0.082,OMNI
62,0.015,OMNI
67,0.035,OMNI
72,0.0,OMNI
77,0.019,OMNI
82,0.002,OMNI
87,0.0,OMNI
92,0.027,OMNI
97,0.552,OMNI
102,0.07100000000000001,OMNI
107,0.0,OMNI
112,0.004,OMNI
117,0.139,OMNI
122,0.069,OMNI
127,0.0,OMNI
132,0.0,OMNI
137,0.009000000000000001,OMNI
142,0.158,OMNI
147,0.0,OMNI
152,0.008,OMNI
157,0.045,OMNI
162,0.001,OMNI
167,0.003,OMNI
172,0.002,OMNI
177,0.266,OMNI
182,0.018000000000000002,OMNI
187,0.011,OMNI
192,0.056,OMNI
197,0.019,OMNI
202,0.007,OMNI
207,0.001,OMNI
212,0.0,OMNI
217,0.01,OMNI
222,0.0,OMNI
227,0.015,OMNI
232,0.0,OMNI
237,0.342,OMNI
242,0.001,OMNI
247,0.353,OMNI
252,0.114,OMNI
257,0.018000000000000002,OMNI
262,0.0,OMNI
267,0.027,OMNI
272,0.005,OMNI
277,0.156,OMNI
282,0.03,OMNI
287,0.011,OMNI
292,0.001,OMNI
297,0.006,OMNI
302,0.001,OMNI
307,0.02,OMNI
312,0.045,OMNI
317,0.037,OMNI
322,0.0,OMNI
327,0.024,OMNI
332,0.002,OMNI
337,0.009000000000000001,OMNI
342,0.073,OMNI
347,0.015,OMNI
352,0.007,OMNI
357,0.116,OMNI
362,0.01,OMNI
367,0.0,OMNI
372,0.004,OMNI
377,0.08700000000000001,OMNI
382,0.006,OMNI
387,0.074,OMNI
392,0.005,OMNI
397,0.009000000000000001,OMNI
402,0.003,OMNI
407,0.001,OMNI
412,0.01,OMNI
417,0.015,OMNI
422,0.023,OMNI
427,0.0,OMNI
432,0.001,OMNI
437,0.162,OMNI
442,0.021,OMNI
447,0.004,OMNI
452,0.004,OMNI
457,0.03,OMNI
462,0.045,OMNI
467,0.001,OMNI
472,0.029,OMNI
477,0.032,OMNI
482,0.002,OMNI
487,0.0,OMNI
492,0.34900000000000003,OMNI
497,0.0,OMNI
502,0.006,OMNI
507,0.011,OMNI
512,0.062,OMNI
517,0.015,OMNI
522,0.0,OMNI
527,0.001,OMNI
532,0.001,OMNI
537,0.024,OMNI
542,0.021,OMNI
547,0.001,OMNI
552,0.027,OMNI
557,0.006,OMNI
562,0.003,OMNI
567,0.074,OMNI
572,0.525,OMNI
577,0.157,OMNI
582,0.009000000000000001,OMNI
587,0.017,OMNI
592,0.0,OMNI
597,0.0,OMNI
602,0.0,OMNI
607,0.022,OMNI
612,0.0,OMNI
617,0.003,OMNI
622,0.009000000000000001,OMNI
627,0.003,OMNI
632,0.195,OMNI
637,0.048,OMNI
642,0.001,OMNI
647,0.004,OMNI
652,0.0,OMNI
657,0.0,OMNI
662,0.028,OMNI
667,0.018000000000000002,OMNI
672,0.0,OMNI
677,0.0,OMNI
682,0.009000000000000001,OMNI
687,0.0,OMNI
692,0.005,OMNI
697,0.001,OMNI
702,0.017,OMNI
707,0.005,OMNI
712,0.34500000000000003,OMNI
717,0.0,OMNI
722,0.096,OMNI
727,0.043000000000000003,OMNI
732,0.0,OMNI
737,0.009000000000000001,OMNI
742,0.004,OMNI
747,0.0,OMNI
752,0.001,OMNI
757,0.01,OMNI
762,0.0,OMNI
767,0.0,OMNI
772,0.002,OMNI
777,0.013000000000000001,OMNI
782,0.004,OMNI
787,0.049,OMNI
792,0.01,OMNI
797,0.068,OMNI
802,0.001,OMNI
807,0.003,OMNI
812,0.209,OMNI
817,0.01,OMNI
822,0.002,OMNI
827,0.293,OMNI
832,0.009000000000000001,OMNI
837,0.0,OMNI
842,0.053,OMNI
847,0.013000000000000001,OMNI
852,0.004,OMNI
857,0.027,OMNI
862,0.005,OMNI
867,0.002,OMNI
872,0.004,OMNI
877,0.007,OMNI
882,0.079,OMNI
887,0.006,OMNI
892,0.002,OMNI
897,0.005,OMNI
902,0.0,OMNI
907,0.0,OMNI
912,0.209,OMNI
917,0.023,OMNI
922,0.094,OMNI
927,0.022,OMNI
932,0.053,OMNI
937,0.139,OMNI
942,0.109,OMNI
947,0.004,OMNI
952,0.129,OMNI
957,0.0,OMNI
962,0.0,OMNI
967,0.006,OMNI
972,0.0,OMNI
977,0.005,OMNI
982,0.003,OMNI
987,0.28300000000000003,OMNI
992,0.007,OMNI
997,0.07200000000000001,OMNI
