,p_hat,method
1,0.3,SSE Procrustes
6,0.675,SSE Procrustes
11,0.21,SSE Procrustes
16,0.309,SSE Procrustes
21,0.432,SSE Procrustes
26,0.371,SSE Procrustes
31,0.424,SSE Procrustes
36,0.41200000000000003,SSE Procrustes
41,0.302,SSE Procrustes
46,0.427,SSE Procrustes
51,0.5760000000000001,SSE Procrustes
56,0.737,SSE Procrustes
61,0.433,SSE Procrustes
66,0.438,SSE Procrustes
71,0.19,SSE Procrustes
76,0.637,SSE Procrustes
81,0.108,SSE Procrustes
86,0.321,SSE Procrustes
91,0.5,SSE Procrustes
96,0.805,SSE Procrustes
101,0.47000000000000003,SSE Procrustes
106,0.129,SSE Procrustes
111,0.305,SSE Procrustes
116,0.488,SSE Procrustes
121,0.332,SSE Procrustes
126,0.281,SSE Procrustes
131,0.233,SSE Procrustes
136,0.484,SSE Procrustes
141,0.405,SSE Procrustes
146,0.39,SSE Procrustes
151,0.462,SSE Procrustes
156,0.503,SSE Procrustes
161,0.497,SSE Procrustes
166,0.215,SSE Procrustes
171,0.322,SSE Procrustes
176,0.529,SSE Procrustes
181,0.456,SSE Procrustes
186,0.392,SSE Procrustes
191,0.561,SSE Procrustes
196,0.372,SSE Procrustes
201,0.363,SSE Procrustes
206,0.272,SSE Procrustes
211,0.267,SSE Procrustes
216,0.91,SSE Procrustes
221,0.366,SSE Procrustes
226,0.465,SSE Procrustes
231,0.47800000000000004,SSE Procrustes
236,0.978,SSE Procrustes
241,0.162,SSE Procrustes
246,0.72,SSE Procrustes
251,0.528,SSE Procrustes
256,0.384,SSE Procrustes
261,0.219,SSE Procrustes
266,0.387,SSE Procrustes
271,0.352,SSE Procrustes
276,0.592,SSE Procrustes
281,0.63,SSE Procrustes
286,0.40900000000000003,SSE Procrustes
291,0.296,SSE Procrustes
296,0.41200000000000003,SSE Procrustes
301,0.383,SSE Procrustes
306,0.682,SSE Procrustes
311,0.686,SSE Procrustes
316,0.459,SSE Procrustes
321,0.10400000000000001,SSE Procrustes
326,0.383,SSE Procrustes
331,0.489,SSE Procrustes
336,0.768,SSE Procrustes
341,0.705,SSE Procrustes
346,0.21,SSE Procrustes
351,0.6890000000000001,SSE Procrustes
356,0.5670000000000001,SSE Procrustes
361,0.367,SSE Procrustes
366,0.184,SSE Procrustes
371,0.343,SSE Procrustes
376,0.636,SSE Procrustes
381,0.218,SSE Procrustes
386,0.801,SSE Procrustes
391,0.498,SSE Procrustes
396,0.63,SSE Procrustes
401,0.312,SSE Procrustes
406,0.245,SSE Procrustes
411,0.328,SSE Procrustes
416,0.387,SSE Procrustes
421,0.467,SSE Procrustes
426,0.155,SSE Procrustes
431,0.397,SSE Procrustes
436,0.602,SSE Procrustes
441,0.64,SSE Procrustes
446,0.26,SSE Procrustes
451,0.528,SSE Procrustes
456,0.489,SSE Procrustes
461,0.848,SSE Procrustes
466,0.39,SSE Procrustes
471,0.355,SSE Procrustes
476,0.646,SSE Procrustes
481,0.373,SSE Procrustes
486,0.194,SSE Procrustes
491,0.727,SSE Procrustes
496,0.707,SSE Procrustes
501,0.379,SSE Procrustes
506,0.485,SSE Procrustes
511,0.738,SSE Procrustes
516,0.386,SSE Procrustes
521,0.339,SSE Procrustes
526,0.398,SSE Procrustes
531,0.459,SSE Procrustes
536,0.441,SSE Procrustes
541,0.421,SSE Procrustes
546,0.23800000000000002,SSE Procrustes
551,0.328,SSE Procrustes
556,0.586,SSE Procrustes
561,0.595,SSE Procrustes
566,0.444,SSE Procrustes
571,0.646,SSE Procrustes
576,0.62,SSE Procrustes
581,0.378,SSE Procrustes
586,0.5650000000000001,SSE Procrustes
591,0.356,SSE Procrustes
596,0.28300000000000003,SSE Procrustes
601,0.225,SSE Procrustes
606,0.422,SSE Procrustes
611,0.481,SSE Procrustes
616,0.579,SSE Procrustes
621,0.543,SSE Procrustes
626,0.229,SSE Procrustes
631,0.672,SSE Procrustes
636,0.556,SSE Procrustes
641,0.28400000000000003,SSE Procrustes
646,0.552,SSE Procrustes
651,0.387,SSE Procrustes
656,0.232,SSE Procrustes
661,0.448,SSE Procrustes
666,0.532,SSE Procrustes
671,0.273,SSE Procrustes
