,p_hat,method
0,0.802,SSE
5,0.215,SSE
10,0.05,SSE
15,0.10400000000000001,SSE
20,0.811,SSE
25,0.802,SSE
30,0.023,SSE
35,0.789,SSE
40,0.745,SSE
45,0.117,SSE
50,0.931,SSE
55,0.275,SSE
60,0.052000000000000005,SSE
65,0.358,SSE
70,0.803,SSE
75,0.34400000000000003,SSE
80,0.8140000000000001,SSE
85,0.899,SSE
90,0.21,SSE
95,0.373,SSE
100,0.802,SSE
105,0.793,SSE
110,0.023,SSE
115,0.384,SSE
120,0.189,SSE
125,0.84,SSE
130,0.745,SSE
135,0.809,SSE
140,0.024,SSE
145,0.911,SSE
150,0.785,SSE
155,0.8,SSE
160,0.10400000000000001,SSE
165,0.726,SSE
170,0.875,SSE
175,0.812,SSE
180,0.2,SSE
185,0.804,SSE
190,0.445,SSE
195,0.067,SSE
200,0.047,SSE
205,0.852,SSE
210,0.23900000000000002,SSE
215,0.804,SSE
220,0.923,SSE
225,0.775,SSE
230,0.794,SSE
235,0.9520000000000001,SSE
240,0.811,SSE
245,0.647,SSE
250,0.394,SSE
255,0.796,SSE
260,0.8290000000000001,SSE
265,0.042,SSE
270,0.9550000000000001,SSE
275,0.851,SSE
280,0.355,SSE
285,0.8240000000000001,SSE
290,0.754,SSE
295,0.897,SSE
300,0.022,SSE
305,0.844,SSE
310,0.8180000000000001,SSE
315,0.861,SSE
320,0.8180000000000001,SSE
325,0.313,SSE
330,0.123,SSE
335,0.23500000000000001,SSE
340,0.43,SSE
345,0.046,SSE
350,0.9500000000000001,SSE
355,0.833,SSE
360,0.751,SSE
365,0.733,SSE
370,0.089,SSE
375,0.14,SSE
380,0.707,SSE
385,0.626,SSE
390,0.877,SSE
395,0.081,SSE
400,0.6950000000000001,SSE
405,0.163,SSE
410,0.193,SSE
415,0.083,SSE
420,0.8180000000000001,SSE
425,0.146,SSE
430,0.068,SSE
435,0.088,SSE
440,0.28300000000000003,SSE
445,0.711,SSE
450,0.806,SSE
455,0.037,SSE
460,0.396,SSE
465,0.074,SSE
470,0.084,SSE
475,0.917,SSE
480,0.066,SSE
485,0.776,SSE
490,0.537,SSE
495,0.789,SSE
500,0.042,SSE
505,0.706,SSE
510,0.845,SSE
515,0.728,SSE
520,0.045,SSE
525,0.744,SSE
530,0.746,SSE
535,0.795,SSE
540,0.14200000000000002,SSE
545,0.789,SSE
550,0.07,SSE
555,0.808,SSE
560,0.17200000000000001,SSE
565,0.8320000000000001,SSE
570,0.154,SSE
575,0.521,SSE
580,0.8140000000000001,SSE
585,0.487,SSE
590,0.021,SSE
595,0.063,SSE
600,0.756,SSE
605,0.873,SSE
610,0.046,SSE
615,0.845,SSE
620,0.046,SSE
625,0.807,SSE
630,0.343,SSE
635,0.47000000000000003,SSE
640,0.059000000000000004,SSE
645,0.191,SSE
650,0.8310000000000001,SSE
655,0.885,SSE
660,0.8130000000000001,SSE
665,0.886,SSE
670,0.78,SSE
675,0.841,SSE
680,0.037,SSE
685,0.865,SSE
690,0.746,SSE
695,0.777,SSE
700,0.036000000000000004,SSE
705,0.021,SSE
710,0.597,SSE
715,0.389,SSE
720,0.963,SSE
725,0.187,SSE
730,0.771,SSE
735,0.219,SSE
740,0.761,SSE
745,0.883,SSE
750,0.12,SSE
755,0.747,SSE
760,0.91,SSE
765,0.8230000000000001,SSE
770,0.737,SSE
775,0.8290000000000001,SSE
780,0.81,SSE
785,0.234,SSE
790,0.128,SSE
795,0.899,SSE
800,0.8260000000000001,SSE
805,0.8290000000000001,SSE
810,0.767,SSE
815,0.89,SSE
820,0.10400000000000001,SSE
825,0.265,SSE
830,0.803,SSE
835,0.8320000000000001,SSE
840,0.091,SSE
845,0.039,SSE
850,0.09,SSE
855,0.808,SSE
860,0.908,SSE
865,0.768,SSE
870,0.31,SSE
875,0.838,SSE
880,0.40900000000000003,SSE
885,0.035,SSE
890,0.8290000000000001,SSE
895,0.862,SSE
900,0.05,SSE
905,0.767,SSE
910,0.241,SSE
915,0.593,SSE
920,0.314,SSE
925,0.794,SSE
930,0.913,SSE
935,0.20600000000000002,SSE
940,0.076,SSE
945,0.812,SSE
950,0.768,SSE
955,0.926,SSE
960,0.766,SSE
965,0.883,SSE
970,0.731,SSE
975,0.803,SSE
980,0.704,SSE
985,0.182,SSE
990,0.074,SSE
995,0.153,SSE
