,p_hat,method
0,0.044,UASE
2,0.002,UASE
4,0.006,UASE
6,0.108,UASE
8,0.022,UASE
10,0.064,UASE
12,0.009000000000000001,UASE
14,0.003,UASE
16,0.003,UASE
18,0.025,UASE
20,0.216,UASE
22,0.033,UASE
24,0.009000000000000001,UASE
26,0.026000000000000002,UASE
28,0.019,UASE
30,0.01,UASE
32,0.016,UASE
34,0.0,UASE
36,0.003,UASE
38,0.007,UASE
40,0.011,UASE
42,0.003,UASE
44,0.023,UASE
46,0.0,UASE
48,0.0,UASE
50,0.0,UASE
52,0.07100000000000001,UASE
54,0.006,UASE
56,0.017,UASE
58,0.065,UASE
60,0.001,UASE
62,0.042,UASE
64,0.0,UASE
66,0.138,UASE
68,0.07100000000000001,UASE
70,0.002,UASE
72,0.0,UASE
74,0.128,UASE
76,0.009000000000000001,UASE
78,0.014,UASE
80,0.016,UASE
82,0.076,UASE
84,0.001,UASE
86,0.11800000000000001,UASE
88,0.02,UASE
90,0.011,UASE
92,0.28200000000000003,UASE
94,0.0,UASE
96,0.10300000000000001,UASE
98,0.081,UASE
100,0.043000000000000003,UASE
102,0.0,UASE
104,0.0,UASE
106,0.096,UASE
108,0.02,UASE
110,0.042,UASE
112,0.006,UASE
114,0.005,UASE
116,0.003,UASE
118,0.006,UASE
120,0.03,UASE
122,0.021,UASE
124,0.029,UASE
126,0.024,UASE
128,0.0,UASE
130,0.0,UASE
132,0.003,UASE
134,0.04,UASE
136,0.12,UASE
138,0.002,UASE
140,0.0,UASE
142,0.076,UASE
144,0.061,UASE
146,0.002,UASE
148,0.006,UASE
150,0.02,UASE
152,0.056,UASE
154,0.157,UASE
156,0.005,UASE
158,0.012,UASE
160,0.001,UASE
162,0.20500000000000002,UASE
164,0.0,UASE
166,0.001,UASE
168,0.014,UASE
170,0.002,UASE
172,0.041,UASE
174,0.0,UASE
176,0.0,UASE
178,0.0,UASE
180,0.014,UASE
182,0.01,UASE
184,0.0,UASE
186,0.005,UASE
188,0.0,UASE
190,0.004,UASE
192,0.106,UASE
194,0.03,UASE
196,0.14300000000000002,UASE
198,0.005,UASE
200,0.025,UASE
202,0.015,UASE
204,0.065,UASE
206,0.003,UASE
208,0.0,UASE
210,0.014,UASE
212,0.001,UASE
214,0.0,UASE
216,0.042,UASE
218,0.08600000000000001,UASE
220,0.0,UASE
222,0.0,UASE
224,0.014,UASE
226,0.244,UASE
228,0.0,UASE
230,0.014,UASE
232,0.015,UASE
234,0.001,UASE
236,0.0,UASE
238,0.0,UASE
240,0.007,UASE
242,0.002,UASE
244,0.244,UASE
246,0.001,UASE
248,0.0,UASE
250,0.0,UASE
252,0.34600000000000003,UASE
254,0.241,UASE
256,0.005,UASE
258,0.001,UASE
260,0.069,UASE
262,0.014,UASE
264,0.006,UASE
266,0.004,UASE
268,0.002,UASE
270,0.429,UASE
272,0.012,UASE
274,0.002,UASE
276,0.005,UASE
278,0.048,UASE
280,0.047,UASE
282,0.14200000000000002,UASE
284,0.002,UASE
286,0.33,UASE
288,0.01,UASE
290,0.06,UASE
292,0.308,UASE
294,0.001,UASE
296,0.001,UASE
298,0.062,UASE
300,0.448,UASE
302,0.001,UASE
304,0.178,UASE
306,0.054,UASE
308,0.001,UASE
310,0.0,UASE
312,0.0,UASE
314,0.109,UASE
316,0.062,UASE
318,0.004,UASE
320,0.002,UASE
322,0.002,UASE
324,0.023,UASE
326,0.005,UASE
328,0.004,UASE
330,0.0,UASE
332,0.016,UASE
334,0.016,UASE
336,0.0,UASE
338,0.004,UASE
340,0.016,UASE
342,0.014,UASE
344,0.0,UASE
346,0.001,UASE
348,0.017,UASE
350,0.062,UASE
352,0.393,UASE
354,0.176,UASE
356,0.011,UASE
358,0.006,UASE
360,0.0,UASE
362,0.001,UASE
364,0.0,UASE
366,0.0,UASE
368,0.14100000000000001,UASE
370,0.0,UASE
372,0.218,UASE
374,0.002,UASE
376,0.008,UASE
378,0.009000000000000001,UASE
380,0.048,UASE
382,0.001,UASE
384,0.048,UASE
386,0.002,UASE
388,0.042,UASE
390,0.025,UASE
392,0.28200000000000003,UASE
394,0.012,UASE
396,0.003,UASE
398,0.277,UASE
