,p_hat,method
1,0.053,URLSE
3,0.0,URLSE
5,0.007,URLSE
7,0.125,URLSE
9,0.016,URLSE
11,0.10400000000000001,URLSE
13,0.005,URLSE
15,0.001,URLSE
17,0.006,URLSE
19,0.027,URLSE
21,0.213,URLSE
23,0.03,URLSE
25,0.008,URLSE
27,0.031,URLSE
29,0.01,URLSE
31,0.022,URLSE
33,0.008,URLSE
35,0.001,URLSE
37,0.003,URLSE
39,0.003,URLSE
41,0.012,URLSE
43,0.005,URLSE
45,0.021,URLSE
47,0.0,URLSE
49,0.0,URLSE
51,0.0,URLSE
53,0.066,URLSE
55,0.011,URLSE
57,0.015,URLSE
59,0.078,URLSE
61,0.0,URLSE
63,0.05,URLSE
65,0.0,URLSE
67,0.14100000000000001,URLSE
69,0.058,URLSE
71,0.002,URLSE
73,0.0,URLSE
75,0.126,URLSE
77,0.01,URLSE
79,0.024,URLSE
81,0.019,URLSE
83,0.077,URLSE
85,0.003,URLSE
87,0.122,URLSE
89,0.024,URLSE
91,0.012,URLSE
93,0.279,URLSE
95,0.0,URLSE
97,0.113,URLSE
99,0.088,URLSE
101,0.038,URLSE
103,0.001,URLSE
105,0.0,URLSE
107,0.078,URLSE
109,0.029,URLSE
111,0.039,URLSE
113,0.013000000000000001,URLSE
115,0.004,URLSE
117,0.007,URLSE
119,0.006,URLSE
121,0.03,URLSE
123,0.016,URLSE
125,0.03,URLSE
127,0.013000000000000001,URLSE
129,0.001,URLSE
131,0.001,URLSE
133,0.005,URLSE
135,0.031,URLSE
137,0.125,URLSE
139,0.001,URLSE
141,0.0,URLSE
143,0.084,URLSE
145,0.069,URLSE
147,0.001,URLSE
149,0.0,URLSE
151,0.025,URLSE
153,0.048,URLSE
155,0.14200000000000002,URLSE
157,0.006,URLSE
159,0.015,URLSE
161,0.002,URLSE
163,0.21,URLSE
165,0.0,URLSE
167,0.001,URLSE
169,0.021,URLSE
171,0.001,URLSE
173,0.037,URLSE
175,0.0,URLSE
177,0.001,URLSE
179,0.0,URLSE
181,0.019,URLSE
183,0.011,URLSE
185,0.0,URLSE
187,0.005,URLSE
189,0.0,URLSE
191,0.012,URLSE
193,0.092,URLSE
195,0.027,URLSE
197,0.17,URLSE
199,0.004,URLSE
201,0.027,URLSE
203,0.018000000000000002,URLSE
205,0.07,URLSE
207,0.001,URLSE
209,0.0,URLSE
211,0.015,URLSE
213,0.0,URLSE
215,0.0,URLSE
217,0.045,URLSE
219,0.074,URLSE
221,0.0,URLSE
223,0.0,URLSE
225,0.013000000000000001,URLSE
227,0.268,URLSE
229,0.001,URLSE
231,0.012,URLSE
233,0.027,URLSE
235,0.0,URLSE
237,0.0,URLSE
239,0.001,URLSE
241,0.006,URLSE
243,0.002,URLSE
245,0.242,URLSE
247,0.0,URLSE
249,0.0,URLSE
251,0.0,URLSE
253,0.329,URLSE
255,0.247,URLSE
257,0.002,URLSE
259,0.001,URLSE
261,0.063,URLSE
263,0.007,URLSE
265,0.007,URLSE
267,0.004,URLSE
269,0.002,URLSE
271,0.445,URLSE
273,0.012,URLSE
275,0.003,URLSE
277,0.007,URLSE
279,0.049,URLSE
281,0.054,URLSE
283,0.116,URLSE
285,0.001,URLSE
287,0.331,URLSE
289,0.013000000000000001,URLSE
291,0.073,URLSE
293,0.332,URLSE
295,0.0,URLSE
297,0.002,URLSE
299,0.049,URLSE
301,0.394,URLSE
303,0.001,URLSE
305,0.18,URLSE
307,0.065,URLSE
309,0.0,URLSE
311,0.001,URLSE
313,0.001,URLSE
315,0.117,URLSE
317,0.061,URLSE
319,0.001,URLSE
321,0.003,URLSE
323,0.0,URLSE
325,0.025,URLSE
327,0.007,URLSE
329,0.002,URLSE
331,0.0,URLSE
333,0.02,URLSE
335,0.014,URLSE
337,0.0,URLSE
339,0.002,URLSE
341,0.016,URLSE
343,0.015,URLSE
345,0.0,URLSE
347,0.0,URLSE
349,0.024,URLSE
351,0.07100000000000001,URLSE
353,0.379,URLSE
355,0.179,URLSE
357,0.013000000000000001,URLSE
359,0.006,URLSE
361,0.001,URLSE
363,0.001,URLSE
365,0.0,URLSE
367,0.0,URLSE
369,0.151,URLSE
371,0.002,URLSE
373,0.23800000000000002,URLSE
375,0.001,URLSE
377,0.017,URLSE
379,0.007,URLSE
381,0.044,URLSE
383,0.001,URLSE
385,0.063,URLSE
387,0.0,URLSE
389,0.047,URLSE
391,0.022,URLSE
393,0.246,URLSE
395,0.021,URLSE
397,0.001,URLSE
399,0.268,URLSE
