,p_hat,method
1,0.025,Unfolded Node2Vec
3,0.095,Unfolded Node2Vec
5,0.107,Unfolded Node2Vec
7,0.545,Unfolded Node2Vec
9,0.386,Unfolded Node2Vec
11,0.213,Unfolded Node2Vec
13,0.007,Unfolded Node2Vec
15,0.054,Unfolded Node2Vec
17,0.874,Unfolded Node2Vec
19,0.11900000000000001,Unfolded Node2Vec
21,0.257,Unfolded Node2Vec
23,0.128,Unfolded Node2Vec
25,0.37,Unfolded Node2Vec
27,0.078,Unfolded Node2Vec
29,0.046,Unfolded Node2Vec
31,0.801,Unfolded Node2Vec
33,0.19,Unfolded Node2Vec
35,0.358,Unfolded Node2Vec
37,0.108,Unfolded Node2Vec
39,0.015,Unfolded Node2Vec
41,0.212,Unfolded Node2Vec
43,0.434,Unfolded Node2Vec
45,0.52,Unfolded Node2Vec
47,0.298,Unfolded Node2Vec
49,0.09,Unfolded Node2Vec
51,0.155,Unfolded Node2Vec
53,0.494,Unfolded Node2Vec
55,0.28400000000000003,Unfolded Node2Vec
57,0.931,Unfolded Node2Vec
59,0.028,Unfolded Node2Vec
61,0.023,Unfolded Node2Vec
63,0.771,Unfolded Node2Vec
65,0.562,Unfolded Node2Vec
67,0.041,Unfolded Node2Vec
69,0.34500000000000003,Unfolded Node2Vec
71,0.244,Unfolded Node2Vec
73,0.7020000000000001,Unfolded Node2Vec
75,0.105,Unfolded Node2Vec
77,0.512,Unfolded Node2Vec
79,0.518,Unfolded Node2Vec
81,0.002,Unfolded Node2Vec
83,0.212,Unfolded Node2Vec
85,0.43,Unfolded Node2Vec
87,0.47400000000000003,Unfolded Node2Vec
89,0.095,Unfolded Node2Vec
91,0.20400000000000001,Unfolded Node2Vec
93,0.302,Unfolded Node2Vec
95,0.185,Unfolded Node2Vec
97,0.002,Unfolded Node2Vec
99,0.084,Unfolded Node2Vec
101,0.041,Unfolded Node2Vec
103,0.635,Unfolded Node2Vec
105,0.217,Unfolded Node2Vec
107,0.292,Unfolded Node2Vec
109,0.066,Unfolded Node2Vec
111,0.34500000000000003,Unfolded Node2Vec
113,0.782,Unfolded Node2Vec
115,0.88,Unfolded Node2Vec
117,0.105,Unfolded Node2Vec
119,0.154,Unfolded Node2Vec
121,0.19,Unfolded Node2Vec
123,0.444,Unfolded Node2Vec
125,0.8230000000000001,Unfolded Node2Vec
127,0.159,Unfolded Node2Vec
129,0.596,Unfolded Node2Vec
131,0.842,Unfolded Node2Vec
133,0.87,Unfolded Node2Vec
135,0.216,Unfolded Node2Vec
137,0.018000000000000002,Unfolded Node2Vec
139,0.01,Unfolded Node2Vec
141,0.061,Unfolded Node2Vec
143,0.12,Unfolded Node2Vec
145,0.669,Unfolded Node2Vec
147,0.041,Unfolded Node2Vec
149,0.11,Unfolded Node2Vec
151,0.011,Unfolded Node2Vec
153,0.01,Unfolded Node2Vec
155,0.35000000000000003,Unfolded Node2Vec
157,0.7030000000000001,Unfolded Node2Vec
159,0.989,Unfolded Node2Vec
161,0.802,Unfolded Node2Vec
163,0.10300000000000001,Unfolded Node2Vec
165,0.069,Unfolded Node2Vec
167,0.611,Unfolded Node2Vec
169,0.151,Unfolded Node2Vec
171,0.132,Unfolded Node2Vec
173,0.074,Unfolded Node2Vec
175,0.884,Unfolded Node2Vec
177,0.053,Unfolded Node2Vec
179,0.019,Unfolded Node2Vec
181,0.686,Unfolded Node2Vec
183,0.004,Unfolded Node2Vec
185,0.47000000000000003,Unfolded Node2Vec
187,0.579,Unfolded Node2Vec
189,0.24,Unfolded Node2Vec
191,0.092,Unfolded Node2Vec
193,0.128,Unfolded Node2Vec
195,0.26,Unfolded Node2Vec
197,0.229,Unfolded Node2Vec
199,0.28700000000000003,Unfolded Node2Vec
201,0.41500000000000004,Unfolded Node2Vec
203,0.001,Unfolded Node2Vec
205,0.373,Unfolded Node2Vec
207,0.434,Unfolded Node2Vec
209,0.0,Unfolded Node2Vec
211,0.303,Unfolded Node2Vec
213,0.367,Unfolded Node2Vec
215,0.611,Unfolded Node2Vec
217,0.803,Unfolded Node2Vec
219,0.193,Unfolded Node2Vec
221,0.25,Unfolded Node2Vec
223,0.037,Unfolded Node2Vec
225,0.004,Unfolded Node2Vec
227,0.011,Unfolded Node2Vec
229,0.19,Unfolded Node2Vec
231,0.033,Unfolded Node2Vec
233,0.524,Unfolded Node2Vec
235,0.37,Unfolded Node2Vec
237,0.499,Unfolded Node2Vec
239,0.312,Unfolded Node2Vec
241,0.162,Unfolded Node2Vec
243,0.017,Unfolded Node2Vec
245,0.529,Unfolded Node2Vec
247,0.254,Unfolded Node2Vec
249,0.126,Unfolded Node2Vec
251,0.20400000000000001,Unfolded Node2Vec
253,0.744,Unfolded Node2Vec
255,0.006,Unfolded Node2Vec
257,0.732,Unfolded Node2Vec
259,0.08,Unfolded Node2Vec
261,0.15,Unfolded Node2Vec
263,0.271,Unfolded Node2Vec
265,0.015,Unfolded Node2Vec
267,0.05,Unfolded Node2Vec
269,0.248,Unfolded Node2Vec
271,0.069,Unfolded Node2Vec
273,0.052000000000000005,Unfolded Node2Vec
275,0.097,Unfolded Node2Vec
277,0.669,Unfolded Node2Vec
279,0.898,Unfolded Node2Vec
281,0.184,Unfolded Node2Vec
283,0.867,Unfolded Node2Vec
285,0.077,Unfolded Node2Vec
287,0.272,Unfolded Node2Vec
289,0.723,Unfolded Node2Vec
291,0.012,Unfolded Node2Vec
293,0.486,Unfolded Node2Vec
295,0.41500000000000004,Unfolded Node2Vec
297,0.496,Unfolded Node2Vec
299,0.0,Unfolded Node2Vec
301,0.343,Unfolded Node2Vec
303,0.22,Unfolded Node2Vec
305,0.042,Unfolded Node2Vec
307,0.046,Unfolded Node2Vec
309,0.202,Unfolded Node2Vec
311,0.8220000000000001,Unfolded Node2Vec
313,0.245,Unfolded Node2Vec
315,0.368,Unfolded Node2Vec
317,0.074,Unfolded Node2Vec
319,0.23500000000000001,Unfolded Node2Vec
321,0.502,Unfolded Node2Vec
323,0.129,Unfolded Node2Vec
325,0.016,Unfolded Node2Vec
327,0.066,Unfolded Node2Vec
329,0.714,Unfolded Node2Vec
331,0.606,Unfolded Node2Vec
