,p_hat,method
6,0.001,Dynamic Skip Gram
13,0.0,Dynamic Skip Gram
20,0.0,Dynamic Skip Gram
27,0.012,Dynamic Skip Gram
34,0.0,Dynamic Skip Gram
41,0.0,Dynamic Skip Gram
48,0.0,Dynamic Skip Gram
55,0.0,Dynamic Skip Gram
62,0.0,Dynamic Skip Gram
69,0.0,Dynamic Skip Gram
76,0.0,Dynamic Skip Gram
83,0.0,Dynamic Skip Gram
90,0.0,Dynamic Skip Gram
97,0.0,Dynamic Skip Gram
104,0.032,Dynamic Skip Gram
111,0.0,Dynamic Skip Gram
118,0.0,Dynamic Skip Gram
125,0.0,Dynamic Skip Gram
132,0.0,Dynamic Skip Gram
139,0.0,Dynamic Skip Gram
146,0.0,Dynamic Skip Gram
153,0.0,Dynamic Skip Gram
160,0.0,Dynamic Skip Gram
167,0.0,Dynamic Skip Gram
174,0.0,Dynamic Skip Gram
181,0.0,Dynamic Skip Gram
188,0.0,Dynamic Skip Gram
195,0.0,Dynamic Skip Gram
202,0.0,Dynamic Skip Gram
209,0.0,Dynamic Skip Gram
216,0.0,Dynamic Skip Gram
223,0.0,Dynamic Skip Gram
230,0.0,Dynamic Skip Gram
237,0.332,Dynamic Skip Gram
244,0.0,Dynamic Skip Gram
251,0.0,Dynamic Skip Gram
258,0.0,Dynamic Skip Gram
265,0.0,Dynamic Skip Gram
272,0.0,Dynamic Skip Gram
279,0.0,Dynamic Skip Gram
286,0.0,Dynamic Skip Gram
293,0.0,Dynamic Skip Gram
300,0.0,Dynamic Skip Gram
307,0.0,Dynamic Skip Gram
314,0.0,Dynamic Skip Gram
321,0.0,Dynamic Skip Gram
328,0.0,Dynamic Skip Gram
335,0.0,Dynamic Skip Gram
342,0.0,Dynamic Skip Gram
349,0.0,Dynamic Skip Gram
356,0.537,Dynamic Skip Gram
363,0.0,Dynamic Skip Gram
370,0.0,Dynamic Skip Gram
377,0.0,Dynamic Skip Gram
384,0.0,Dynamic Skip Gram
391,0.0,Dynamic Skip Gram
398,0.135,Dynamic Skip Gram
405,0.0,Dynamic Skip Gram
412,0.43,Dynamic Skip Gram
419,0.0,Dynamic Skip Gram
426,0.0,Dynamic Skip Gram
433,0.0,Dynamic Skip Gram
440,0.0,Dynamic Skip Gram
447,0.0,Dynamic Skip Gram
454,0.0,Dynamic Skip Gram
461,0.0,Dynamic Skip Gram
468,0.0,Dynamic Skip Gram
475,0.0,Dynamic Skip Gram
482,0.0,Dynamic Skip Gram
489,0.0,Dynamic Skip Gram
496,0.0,Dynamic Skip Gram
503,0.0,Dynamic Skip Gram
510,0.0,Dynamic Skip Gram
517,0.0,Dynamic Skip Gram
524,0.0,Dynamic Skip Gram
531,0.0,Dynamic Skip Gram
538,0.0,Dynamic Skip Gram
545,0.0,Dynamic Skip Gram
552,0.0,Dynamic Skip Gram
559,0.0,Dynamic Skip Gram
566,0.0,Dynamic Skip Gram
573,0.0,Dynamic Skip Gram
580,0.0,Dynamic Skip Gram
587,0.0,Dynamic Skip Gram
594,0.0,Dynamic Skip Gram
601,0.0,Dynamic Skip Gram
608,0.0,Dynamic Skip Gram
615,0.0,Dynamic Skip Gram
622,0.0,Dynamic Skip Gram
629,0.0,Dynamic Skip Gram
636,0.0,Dynamic Skip Gram
643,0.0,Dynamic Skip Gram
650,0.0,Dynamic Skip Gram
657,0.0,Dynamic Skip Gram
664,0.0,Dynamic Skip Gram
671,0.0,Dynamic Skip Gram
678,0.0,Dynamic Skip Gram
685,0.08600000000000001,Dynamic Skip Gram
692,0.0,Dynamic Skip Gram
699,0.0,Dynamic Skip Gram
706,0.0,Dynamic Skip Gram
713,0.498,Dynamic Skip Gram
720,0.0,Dynamic Skip Gram
727,0.0,Dynamic Skip Gram
734,0.0,Dynamic Skip Gram
741,0.0,Dynamic Skip Gram
748,0.0,Dynamic Skip Gram
755,0.0,Dynamic Skip Gram
762,0.0,Dynamic Skip Gram
769,0.0,Dynamic Skip Gram
776,0.0,Dynamic Skip Gram
783,0.0,Dynamic Skip Gram
790,0.0,Dynamic Skip Gram
797,0.0,Dynamic Skip Gram
804,0.0,Dynamic Skip Gram
811,0.0,Dynamic Skip Gram
818,0.007,Dynamic Skip Gram
825,0.125,Dynamic Skip Gram
832,0.0,Dynamic Skip Gram
839,0.0,Dynamic Skip Gram
846,0.0,Dynamic Skip Gram
853,0.129,Dynamic Skip Gram
860,0.0,Dynamic Skip Gram
867,0.0,Dynamic Skip Gram
874,0.0,Dynamic Skip Gram
881,0.001,Dynamic Skip Gram
888,0.0,Dynamic Skip Gram
895,0.0,Dynamic Skip Gram
902,0.0,Dynamic Skip Gram
909,0.0,Dynamic Skip Gram
916,0.0,Dynamic Skip Gram
923,0.0,Dynamic Skip Gram
930,0.0,Dynamic Skip Gram
937,0.0,Dynamic Skip Gram
944,0.0,Dynamic Skip Gram
951,0.0,Dynamic Skip Gram
958,0.0,Dynamic Skip Gram
965,0.0,Dynamic Skip Gram
972,0.0,Dynamic Skip Gram
979,0.0,Dynamic Skip Gram
986,0.0,Dynamic Skip Gram
993,0.0,Dynamic Skip Gram
1000,0.0,Dynamic Skip Gram
1007,0.0,Dynamic Skip Gram
1014,0.0,Dynamic Skip Gram
1021,0.0,Dynamic Skip Gram
1028,0.0,Dynamic Skip Gram
1035,0.0,Dynamic Skip Gram
1042,0.0,Dynamic Skip Gram
1049,0.0,Dynamic Skip Gram
1056,0.0,Dynamic Skip Gram
1063,0.0,Dynamic Skip Gram
1070,0.0,Dynamic Skip Gram
1077,0.458,Dynamic Skip Gram
1084,0.0,Dynamic Skip Gram
1091,0.0,Dynamic Skip Gram
1098,0.0,Dynamic Skip Gram
1105,0.0,Dynamic Skip Gram
1112,0.0,Dynamic Skip Gram
1119,0.0,Dynamic Skip Gram
1126,0.058,Dynamic Skip Gram
1133,0.0,Dynamic Skip Gram
1140,0.0,Dynamic Skip Gram
1147,0.0,Dynamic Skip Gram
1154,0.0,Dynamic Skip Gram
1161,0.0,Dynamic Skip Gram
1168,0.0,Dynamic Skip Gram
1175,0.0,Dynamic Skip Gram
1182,0.0,Dynamic Skip Gram
1189,0.0,Dynamic Skip Gram
1196,0.0,Dynamic Skip Gram
1203,0.0,Dynamic Skip Gram
1210,0.0,Dynamic Skip Gram
1217,0.0,Dynamic Skip Gram
1224,0.0,Dynamic Skip Gram
1231,0.0,Dynamic Skip Gram
1238,0.0,Dynamic Skip Gram
1245,0.0,Dynamic Skip Gram
1252,0.0,Dynamic Skip Gram
1259,0.0,Dynamic Skip Gram
1266,0.0,Dynamic Skip Gram
1273,0.0,Dynamic Skip Gram
1280,0.0,Dynamic Skip Gram
1287,0.0,Dynamic Skip Gram
1294,0.0,Dynamic Skip Gram
1301,0.0,Dynamic Skip Gram
1308,0.0,Dynamic Skip Gram
1315,0.0,Dynamic Skip Gram
1322,0.0,Dynamic Skip Gram
1329,0.0,Dynamic Skip Gram
1336,0.0,Dynamic Skip Gram
1343,0.0,Dynamic Skip Gram
1350,0.0,Dynamic Skip Gram
1357,0.0,Dynamic Skip Gram
1364,0.037,Dynamic Skip Gram
1371,0.0,Dynamic Skip Gram
1378,0.0,Dynamic Skip Gram
1385,0.0,Dynamic Skip Gram
1392,0.0,Dynamic Skip Gram
1399,0.0,Dynamic Skip Gram
