,p_hat,method
7,0.0,GloDyNE
15,0.001,GloDyNE
23,0.012,GloDyNE
31,0.0,GloDyNE
39,0.0,GloDyNE
47,0.0,GloDyNE
55,0.007,GloDyNE
63,0.006,GloDyNE
71,0.004,GloDyNE
79,0.001,GloDyNE
87,0.0,GloDyNE
95,0.0,GloDyNE
103,0.0,GloDyNE
111,0.0,GloDyNE
119,0.0,GloDyNE
127,0.006,GloDyNE
135,0.001,GloDyNE
143,0.002,GloDyNE
151,0.0,GloDyNE
159,0.0,GloDyNE
167,0.0,GloDyNE
175,0.001,GloDyNE
183,0.006,GloDyNE
191,0.0,GloDyNE
199,0.0,GloDyNE
207,0.0,GloDyNE
215,0.0,GloDyNE
223,0.001,GloDyNE
231,0.004,GloDyNE
239,0.001,GloDyNE
247,0.002,GloDyNE
255,0.0,GloDyNE
263,0.002,GloDyNE
271,0.0,GloDyNE
279,0.0,GloDyNE
287,0.002,GloDyNE
295,0.001,GloDyNE
303,0.001,GloDyNE
311,0.0,GloDyNE
319,0.001,GloDyNE
327,0.0,GloDyNE
335,0.0,GloDyNE
343,0.0,GloDyNE
351,0.0,GloDyNE
359,0.001,GloDyNE
367,0.003,GloDyNE
375,0.001,GloDyNE
383,0.0,GloDyNE
391,0.0,GloDyNE
399,0.0,GloDyNE
407,0.0,GloDyNE
415,0.003,GloDyNE
423,0.0,GloDyNE
431,0.0,GloDyNE
439,0.0,GloDyNE
447,0.0,GloDyNE
455,0.0,GloDyNE
463,0.0,GloDyNE
471,0.006,GloDyNE
479,0.001,GloDyNE
487,0.053,GloDyNE
495,0.002,GloDyNE
503,0.008,GloDyNE
511,0.0,GloDyNE
519,0.005,GloDyNE
527,0.0,GloDyNE
535,0.0,GloDyNE
543,0.001,GloDyNE
551,0.0,GloDyNE
559,0.0,GloDyNE
567,0.009000000000000001,GloDyNE
575,0.0,GloDyNE
583,0.006,GloDyNE
591,0.009000000000000001,GloDyNE
599,0.002,GloDyNE
607,0.0,GloDyNE
615,0.0,GloDyNE
623,0.0,GloDyNE
631,0.0,GloDyNE
639,0.016,GloDyNE
647,0.002,GloDyNE
655,0.0,GloDyNE
663,0.001,GloDyNE
671,0.003,GloDyNE
679,0.0,GloDyNE
687,0.0,GloDyNE
695,0.001,GloDyNE
703,0.001,GloDyNE
711,0.008,GloDyNE
719,0.0,GloDyNE
727,0.0,GloDyNE
735,0.004,GloDyNE
743,0.001,GloDyNE
751,0.001,GloDyNE
759,0.0,GloDyNE
767,0.001,GloDyNE
775,0.0,GloDyNE
783,0.001,GloDyNE
791,0.003,GloDyNE
799,0.0,GloDyNE
807,0.001,GloDyNE
815,0.0,GloDyNE
823,0.0,GloDyNE
831,0.0,GloDyNE
839,0.0,GloDyNE
847,0.006,GloDyNE
855,0.0,GloDyNE
863,0.001,GloDyNE
871,0.0,GloDyNE
879,0.0,GloDyNE
887,0.002,GloDyNE
895,0.0,GloDyNE
903,0.013000000000000001,GloDyNE
911,0.0,GloDyNE
919,0.0,GloDyNE
927,0.0,GloDyNE
935,0.0,GloDyNE
943,0.007,GloDyNE
951,0.007,GloDyNE
959,0.0,GloDyNE
967,0.001,GloDyNE
975,0.001,GloDyNE
983,0.001,GloDyNE
991,0.0,GloDyNE
999,0.002,GloDyNE
1007,0.0,GloDyNE
1015,0.0,GloDyNE
1023,0.0,GloDyNE
1031,0.002,GloDyNE
1039,0.0,GloDyNE
1047,0.0,GloDyNE
1055,0.0,GloDyNE
1063,0.002,GloDyNE
1071,0.0,GloDyNE
1079,0.0,GloDyNE
1087,0.008,GloDyNE
1095,0.0,GloDyNE
1103,0.0,GloDyNE
1111,0.005,GloDyNE
1119,0.0,GloDyNE
1127,0.0,GloDyNE
1135,0.0,GloDyNE
1143,0.0,GloDyNE
1151,0.001,GloDyNE
1159,0.0,GloDyNE
1167,0.0,GloDyNE
1175,0.0,GloDyNE
1183,0.0,GloDyNE
1191,0.0,GloDyNE
1199,0.0,GloDyNE
1207,0.001,GloDyNE
1215,0.0,GloDyNE
1223,0.0,GloDyNE
1231,0.017,GloDyNE
1239,0.0,GloDyNE
1247,0.002,GloDyNE
1255,0.004,GloDyNE
1263,0.006,GloDyNE
1271,0.0,GloDyNE
1279,0.002,GloDyNE
1287,0.003,GloDyNE
1295,0.0,GloDyNE
1303,0.0,GloDyNE
1311,0.0,GloDyNE
1319,0.0,GloDyNE
1327,0.0,GloDyNE
1335,0.0,GloDyNE
1343,0.0,GloDyNE
1351,0.004,GloDyNE
1359,0.0,GloDyNE
1367,0.007,GloDyNE
1375,0.0,GloDyNE
1383,0.0,GloDyNE
1391,0.0,GloDyNE
1399,0.001,GloDyNE
1407,0.0,GloDyNE
1415,0.009000000000000001,GloDyNE
1423,0.0,GloDyNE
1431,0.0,GloDyNE
1439,0.0,GloDyNE
1447,0.0,GloDyNE
1455,0.009000000000000001,GloDyNE
1463,0.008,GloDyNE
1471,0.001,GloDyNE
1479,0.002,GloDyNE
1487,0.0,GloDyNE
1495,0.002,GloDyNE
1503,0.0,GloDyNE
1511,0.006,GloDyNE
1519,0.002,GloDyNE
1527,0.0,GloDyNE
1535,0.0,GloDyNE
1543,0.004,GloDyNE
1551,0.0,GloDyNE
1559,0.004,GloDyNE
1567,0.002,GloDyNE
1575,0.0,GloDyNE
1583,0.007,GloDyNE
1591,0.0,GloDyNE
1599,0.005,GloDyNE
