,p_hat,method
5,0.8300000000000001,Independent Node2Vec
13,0.6920000000000001,Independent Node2Vec
21,0.523,Independent Node2Vec
29,0.93,Independent Node2Vec
37,0.101,Independent Node2Vec
45,0.182,Independent Node2Vec
53,0.089,Independent Node2Vec
61,0.862,Independent Node2Vec
69,0.234,Independent Node2Vec
77,0.341,Independent Node2Vec
85,0.443,Independent Node2Vec
93,0.604,Independent Node2Vec
101,0.842,Independent Node2Vec
109,0.843,Independent Node2Vec
117,0.038,Independent Node2Vec
125,0.71,Independent Node2Vec
133,0.794,Independent Node2Vec
141,0.485,Independent Node2Vec
149,0.022,Independent Node2Vec
157,0.46900000000000003,Independent Node2Vec
165,0.926,Independent Node2Vec
173,0.754,Independent Node2Vec
181,0.605,Independent Node2Vec
189,0.662,Independent Node2Vec
197,0.9490000000000001,Independent Node2Vec
205,0.75,Independent Node2Vec
213,0.971,Independent Node2Vec
221,0.8140000000000001,Independent Node2Vec
229,0.678,Independent Node2Vec
237,0.811,Independent Node2Vec
245,0.093,Independent Node2Vec
253,0.28300000000000003,Independent Node2Vec
261,0.847,Independent Node2Vec
269,0.281,Independent Node2Vec
277,0.138,Independent Node2Vec
285,0.78,Independent Node2Vec
293,0.28300000000000003,Independent Node2Vec
301,0.525,Independent Node2Vec
309,0.889,Independent Node2Vec
317,0.423,Independent Node2Vec
325,0.759,Independent Node2Vec
333,0.432,Independent Node2Vec
341,0.069,Independent Node2Vec
349,0.21,Independent Node2Vec
357,0.537,Independent Node2Vec
365,0.806,Independent Node2Vec
373,0.981,Independent Node2Vec
381,0.6,Independent Node2Vec
389,0.44,Independent Node2Vec
397,0.751,Independent Node2Vec
405,0.795,Independent Node2Vec
413,0.704,Independent Node2Vec
421,0.243,Independent Node2Vec
429,0.06,Independent Node2Vec
437,0.5700000000000001,Independent Node2Vec
445,0.743,Independent Node2Vec
453,0.488,Independent Node2Vec
461,0.075,Independent Node2Vec
469,0.28,Independent Node2Vec
477,0.189,Independent Node2Vec
485,0.324,Independent Node2Vec
493,0.354,Independent Node2Vec
501,0.332,Independent Node2Vec
509,0.794,Independent Node2Vec
517,0.4,Independent Node2Vec
525,0.121,Independent Node2Vec
533,0.23700000000000002,Independent Node2Vec
541,0.436,Independent Node2Vec
549,0.293,Independent Node2Vec
557,0.262,Independent Node2Vec
565,0.217,Independent Node2Vec
573,0.083,Independent Node2Vec
581,0.765,Independent Node2Vec
589,0.465,Independent Node2Vec
597,0.11,Independent Node2Vec
605,0.314,Independent Node2Vec
613,0.447,Independent Node2Vec
621,0.1,Independent Node2Vec
629,0.725,Independent Node2Vec
637,0.375,Independent Node2Vec
645,0.646,Independent Node2Vec
653,0.442,Independent Node2Vec
661,0.166,Independent Node2Vec
669,0.443,Independent Node2Vec
677,0.8270000000000001,Independent Node2Vec
685,0.018000000000000002,Independent Node2Vec
693,0.275,Independent Node2Vec
701,0.802,Independent Node2Vec
709,0.453,Independent Node2Vec
717,0.47000000000000003,Independent Node2Vec
725,0.149,Independent Node2Vec
733,0.5680000000000001,Independent Node2Vec
741,0.681,Independent Node2Vec
749,0.879,Independent Node2Vec
757,0.014,Independent Node2Vec
765,0.209,Independent Node2Vec
773,0.299,Independent Node2Vec
781,0.155,Independent Node2Vec
789,0.8280000000000001,Independent Node2Vec
797,0.858,Independent Node2Vec
805,0.289,Independent Node2Vec
813,0.31,Independent Node2Vec
821,0.47900000000000004,Independent Node2Vec
829,0.432,Independent Node2Vec
837,0.064,Independent Node2Vec
845,0.707,Independent Node2Vec
853,0.772,Independent Node2Vec
861,0.58,Independent Node2Vec
869,0.874,Independent Node2Vec
877,0.68,Independent Node2Vec
885,0.9530000000000001,Independent Node2Vec
893,0.742,Independent Node2Vec
901,0.35100000000000003,Independent Node2Vec
909,0.355,Independent Node2Vec
917,0.8280000000000001,Independent Node2Vec
925,0.914,Independent Node2Vec
933,0.292,Independent Node2Vec
941,0.158,Independent Node2Vec
949,0.777,Independent Node2Vec
957,0.723,Independent Node2Vec
965,0.7000000000000001,Independent Node2Vec
973,0.044,Independent Node2Vec
981,0.61,Independent Node2Vec
989,0.052000000000000005,Independent Node2Vec
997,0.352,Independent Node2Vec
1005,0.929,Independent Node2Vec
1013,0.9570000000000001,Independent Node2Vec
1021,0.889,Independent Node2Vec
1029,0.867,Independent Node2Vec
1037,0.934,Independent Node2Vec
1045,0.6890000000000001,Independent Node2Vec
1053,0.34,Independent Node2Vec
1061,0.869,Independent Node2Vec
1069,0.151,Independent Node2Vec
1077,0.116,Independent Node2Vec
1085,0.36,Independent Node2Vec
1093,0.835,Independent Node2Vec
1101,0.931,Independent Node2Vec
1109,0.26,Independent Node2Vec
1117,0.742,Independent Node2Vec
1125,0.064,Independent Node2Vec
1133,0.298,Independent Node2Vec
1141,0.8210000000000001,Independent Node2Vec
1149,0.34600000000000003,Independent Node2Vec
1157,0.969,Independent Node2Vec
1165,0.193,Independent Node2Vec
1173,0.549,Independent Node2Vec
1181,0.381,Independent Node2Vec
1189,0.676,Independent Node2Vec
1197,0.128,Independent Node2Vec
1205,0.622,Independent Node2Vec
1213,0.629,Independent Node2Vec
1221,0.845,Independent Node2Vec
1229,0.033,Independent Node2Vec
1237,0.342,Independent Node2Vec
1245,0.906,Independent Node2Vec
1253,0.664,Independent Node2Vec
1261,0.546,Independent Node2Vec
1269,0.232,Independent Node2Vec
1277,0.891,Independent Node2Vec
1285,0.999,Independent Node2Vec
1293,0.687,Independent Node2Vec
1301,0.594,Independent Node2Vec
1309,0.652,Independent Node2Vec
1317,0.925,Independent Node2Vec
1325,0.538,Independent Node2Vec
1333,0.865,Independent Node2Vec
1341,0.525,Independent Node2Vec
1349,0.855,Independent Node2Vec
1357,0.10200000000000001,Independent Node2Vec
1365,0.562,Independent Node2Vec
1373,0.556,Independent Node2Vec
1381,0.177,Independent Node2Vec
1389,0.5670000000000001,Independent Node2Vec
1397,0.14,Independent Node2Vec
1405,0.6960000000000001,Independent Node2Vec
1413,0.08,Independent Node2Vec
1421,0.251,Independent Node2Vec
1429,0.607,Independent Node2Vec
1437,0.298,Independent Node2Vec
